place_id,place_name,about,link
ChIJ9_Cq925EHToRyHQKzKoEKk4,Kharagpur Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMAMZYNS3CdQJ5gTNHNz7OU6JyVHSTb2TLSbWm-=w529-h298-k-no
ChIJ9_Cq925EHToRyHQKzKoEKk4,Kharagpur Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNpA8lmvdt92uAOXZx6O_ROFQw4QSRbDD8CASe3=w379-h298-k-no
ChIJ9_Cq925EHToRyHQKzKoEKk4,Kharagpur Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMiTI3hyT09eIwtIipZJkncFRIWhxJHaBd9BKH5=w529-h298-k-no
ChIJ9_Cq925EHToRyHQKzKoEKk4,Kharagpur Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPsjh5zTU4KK_socmZdP3i3ZX7njSFPOeZciUel=w224-h298-k-no-pi-10-ya336-ro0-fo100
ChIJjV4bs0JEHToRaSQTt198UjQ,Noorani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOs9TZ8uiU8fwfy-hnIq0eo9OCXNBfLLsjGsbYe=w224-h432-k-no
ChIJjV4bs0JEHToRaSQTt198UjQ,Noorani Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOd5hFO09pt4sLJDxkfvy9AwiRpqI5jsAqjekjT=w397-h298-k-no
ChIJjV4bs0JEHToRaSQTt198UjQ,Noorani Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNen4DbJFxn7ZZuQqCUDlfpqobcTDbpLRGevH4U=w224-h398-k-no
ChIJjV4bs0JEHToRaSQTt198UjQ,Noorani Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=82vzcLP1V9sgy4t6piEd1w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=130.34451&pitch=0&thumbfov=100
ChIJvQDTykREHToRpNkI8qqyk5I,LOHANIA JAMA MASJID (Sunni Hanafi Masjid),All,https://lh5.googleusercontent.com/p/AF1QipPGlfvLZo1HVT74_9a0A_0vf7nsPf2C4nsLy2_L=w397-h298-k-no
ChIJvQDTykREHToRpNkI8qqyk5I,LOHANIA JAMA MASJID (Sunni Hanafi Masjid),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ezd1hChAGSgcHrE7oz6jhg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=25.67676&pitch=0&thumbfov=100
ChIJvQDTykREHToRpNkI8qqyk5I,LOHANIA JAMA MASJID (Sunni Hanafi Masjid),Videos,https://lh5.googleusercontent.com/p/AF1QipNehD1D3-MKfuZJumJU8sUwFfU3y5Ig_rfC5h6L=w224-h398-k-no
ChIJhfzDylFEHToRHNm-kGWgjOQ,Pir Baba Mosque,All,https://lh5.googleusercontent.com/p/AF1QipNsV2TrREc41GKadFisXx80HeRTar6Pf2adKlJq=w224-h298-k-no
ChIJhfzDylFEHToRHNm-kGWgjOQ,Pir Baba Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipNGvkC5pZ6bDypg_vOXFOw5GuKHNSxNVaDTqjuN=w397-h298-k-no
ChIJkbdgL0NEHToRXCrFRmNZB2U,Ghausia Masjid msjd (Sunni Masjid),All,https://lh5.googleusercontent.com/p/AF1QipMBFKgIcKMTFQie15buh-5kiZJN0v2EYMweBRMx=w663-h298-k-no
ChIJkbdgL0NEHToRXCrFRmNZB2U,Ghausia Masjid msjd (Sunni Masjid),Videos,https://lh5.googleusercontent.com/p/AF1QipObfIoB3_MrA3IkEPGkg5MQUNwYVXYm40IDe2G2=w224-h398-k-no
ChIJ_4n4Z0lEHToRwmYIbUmcHdo,Puratan Bazar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPKqpqMJsns30VIBleg_Z6XHd6qkcNoA3TaxC6K=w529-h298-k-no
ChIJ_4n4Z0lEHToRwmYIbUmcHdo,Puratan Bazar Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPcSPDzcGV-nscMLwMzpH7MnsdhJz7w2WUZhrpa=w224-h477-k-no
ChIJ_4n4Z0lEHToRwmYIbUmcHdo,Puratan Bazar Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMULi8_kz3WPhVNi2v7xV5tBDurD-dvbBCRmq6-=w224-h398-k-no
ChIJ_4n4Z0lEHToRwmYIbUmcHdo,Puratan Bazar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=72LhHIRLCBTK64UUaDwdpw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=129.99905&pitch=0&thumbfov=100
