name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Jama Masjid Kasba Kheri (Dargah Shareef Chheda Miyan),Mosque,"Jama Masjid Kasba Kheri (Dargah Shareef Chheda Miyan), MDR 75C, Mohalla Sayyed Wada, Kheri, Uttar Pradesh 262701",Mohalla Sayyed Wada,MDR 75C,Kheri,262701,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Kasba+Kheri+%28Dargah+Shareef+Chheda+Miyan%29/data=!4m7!3m6!1s0x399f34a8b655d48f:0x4eba76ab09bf9215!8m2!3d27.9033061!4d80.8002403!16s%2Fg%2F1hm5gf351!19sChIJj9RVtqg0nzkRFZK_Cat2uk4?authuser=0&hl=en&rclk=1,"27.9033061,80.8002403"
Lal Masjid,Mosque,"Lal Masjid, BHIWANI STAND, Quilla Rd, Babra Mohalla, Rohtak, Haryana 124001",Babra Mohalla,"BHIWANI STAND, Quilla Rd",Rohtak,124001,Haryana,IN,https://www.google.com/maps/place/Lal+Masjid/data=!4m7!3m6!1s0x390d85bb93c615c1:0xb2b4dbf78f3f80f1!8m2!3d28.897572!4d76.5794456!16s%2Fg%2F1hjh6p95f!19sChIJwRXGk7uFDTkR8YA_j_fbtLI?authuser=0&hl=en&rclk=1,"28.897572,76.5794456"
Masjid Umar,Mosque,"Masjid Umar, H Block, Abul Fazal Enclave, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Abul Fazal Enclave, Jamia Nagar, Okhla",H Block,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Umar/data=!4m7!3m6!1s0x390ce40e52efde7f:0x5e0487c814d4c357!8m2!3d28.5535005!4d77.2956955!16s%2Fg%2F11b6snzn79!19sChIJf97vUg7kDDkRV8PUFMiHBF4?authuser=0&hl=en&rclk=1,"28.5535005,77.2956955"
Bilal Masjid Kanchan Kunj,Mosque,"G8P7+PMQ Bilal Masjid Kanchan Kunj, B Block, Kanchan Kunj Rd, Madanpur Khadar, New Delhi, Delhi 110076",Madanpur Khadar,"G8P7+PMQ, B Block, Kanchan Kunj Rd",New Delhi,110076,Delhi,IN,https://www.google.com/maps/place/Bilal+Masjid+Kanchan+Kunj/data=!4m7!3m6!1s0x390ce69e96b88007:0x4d33fa96165f2195!8m2!3d28.5368253!4d77.3142368!16s%2Fg%2F11c6qdv7tb!19sChIJB4C4lp7mDDkRlSFfFpb6M00?authuser=0&hl=en&rclk=1,"28.5368253,77.3142368"
Masjid Al Hidayah (Ahle Hadees),Mosque,"G8X3+83X Masjid Al Hidayah (Ahle Hadees), Thokar No 8, Shaheen Bagh, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Thokar No 8, Shaheen Bagh, Jamia Nagar, Okhla",G8X3+83X,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Al+Hidayah+%28Ahle+Hadees%29/data=!4m7!3m6!1s0x390ce41a2d3fdd2f:0xb2247703c6448a76!8m2!3d28.548359!4d77.3027282!16s%2Fg%2F11g6rfqqmp!19sChIJL90_LRrkDDkRdopExgN3JLI?authuser=0&hl=en&rclk=1,"28.548358999999998,77.30272819999999"
MAKKI MASJID,Mosque,"MAKKI MASJID, Madanpur Khadar Phase 3, Madanpur Khadar, New Delhi, Delhi 110076","Madanpur Khadar Phase 3, Madanpur Khadar",,New Delhi,110076,Delhi,IN,https://www.google.com/maps/place/MAKKI+MASJID/data=!4m7!3m6!1s0x390ce68f0ccaece9:0x1faeec3feeae38b2!8m2!3d28.5288025!4d77.3242821!16s%2Fg%2F11dyzbp8k1!19sChIJ6ezKDI_mDDkRsjiu7j_srh8?authuser=0&hl=en&rclk=1,"28.528802499999998,77.32428209999999"
Khajuri Masjid,Mosque,"H82R+WPM Khajuri Masjid, Street Number - 39, Khajur Colony, Block D, Sector 44, Noida, Uttar Pradesh 201301","Khajur Colony, Block D, Sector 44","H82R+WPM, Street Number - 39",Noida,201301,Uttar Pradesh,IN,https://www.google.com/maps/place/Khajuri+Masjid/data=!4m7!3m6!1s0x390ce5d0f679a0a1:0x5cf9f3b35114cd12!8m2!3d28.5523449!4d77.3417993!16s%2Fg%2F11dxd4yxlm!19sChIJoaB59tDlDDkREs0UUbPz-Vw?authuser=0&hl=en&rclk=1,"28.552344899999998,77.34179929999999"
Kalimullah Masjid,Mosque,"Kalimullah Masjid, Makki Masjid, 145, Gali Number B, Block 2, Madanpur Khadar Phase 3, Madanpur Khadar, New Delhi, Delhi 110076","Block 2, Madanpur Khadar Phase 3, Madanpur Khadar","Makki Masjid, 145, Gali Number B",New Delhi,110076,Delhi,IN,https://www.google.com/maps/place/Kalimullah+Masjid/data=!4m7!3m6!1s0x390ce6897ef8478d:0x2304370c8a3d48bf!8m2!3d28.525354!4d77.3294863!16s%2Fg%2F11gckhfvpp!19sChIJjUf4fonmDDkRv0g9igw3BCM?authuser=0&hl=en&rclk=1,"28.525354,77.3294863"
mrkjii msjid kheddii,Mosque,"5W76+HCM mrkjii msjid kheddii, Kheri, Rajasthan 301018",,5W76+HCM,Kheri,,Rajasthan,IN,https://www.google.com/maps/place/%E0%A4%AE%E0%A4%B0%E0%A4%95%E0%A4%9C%E0%A5%80+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6+%E0%A4%96%E0%A5%87%E0%A4%A1%E0%A5%80/data=!4m7!3m6!1s0x390d36ceb64a7cb1:0x601f07093e79f0a7!8m2!3d28.1639552!4d76.9110528!16s%2Fg%2F11hctyzfw8!19sChIJsXxKts42DTkRp_B5PgkHH2A?authuser=0&hl=en&rclk=1,"28.1639552,76.9110528"
Masjid,Mosque,"X2WF+G66 Masjid, sonipat, Bus Stand Rd, Sukhdev Nagar, Old Housing Board Colony, Panipat, Haryana 132103","Sukhdev Nagar, Old Housing Board Colony","X2WF+G66, sonipat, Bus Stand Rd","Panipat, Sonipat",132103,Haryana,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x390db06d7189a905:0xea553834564f78f7!8m2!3d28.996292!4d77.0230012!16s%2Fg%2F11g6xspltl!19sChIJBamJcW2wDTkR93hPVjQ4Veo?authuser=0&hl=en&rclk=1,"28.996292,77.0230012"
Selakhari Umar Masjid,Mosque,"956V+6X4 Selakhari Umar Masjid, village :-silakhri, post:-dhauj, dist:, Haryana 121004",,"956V+6X4, village :-silakhri, post:-dhauj, dist:",Selakhari,121004,Haryana,IN,https://www.google.com/maps/place/Selakhari+Umar+Masjid/data=!4m7!3m6!1s0x390cdfa6d459a051:0xfcb3b7f54538c32e!8m2!3d28.3605013!4d77.1949668!16s%2Fg%2F11h2hdpfg_!19sChIJUaBZ1KbfDDkRLsM4RfW3s_w?authuser=0&hl=en&rclk=1,"28.3605013,77.1949668"
Gousia Masjid Khairi,Mosque,"4VWQ+HFF Gousia Masjid Khairi, SH 51, Khairi, Uttar Pradesh 243633",,"4VWQ+HFF, SH 51",Khairi,243633,Uttar Pradesh,IN,https://www.google.com/maps/place/Gousia+Masjid+Khairi/data=!4m7!3m6!1s0x3975336e2629d025:0xe370ccd4d1b72f7e!8m2!3d28.1464306!4d78.8886779!16s%2Fg%2F11gy26l7nk!19sChIJJdApJm4zdTkRfi-30dTMcOM?authuser=0&hl=en&rclk=1,"28.1464306,78.88867789999999"
Iqra Masjid,Mosque,"7W8R+84P Iqra Masjid, Bhoomma, Uttar Pradesh 251315",,7W8R+84P,Bhoomma,,Uttar Pradesh,IN,https://www.google.com/maps/place/Iqra+Masjid/data=!4m7!3m6!1s0x390bf5686551b213:0x928af36ca77e58d2!8m2!3d29.2658348!4d77.9403434!16s%2Fg%2F11f3s0mttf!19sChIJE7JRZWj1CzkR0lh-p2zzipI?authuser=0&hl=en&rclk=1,"29.2658348,77.9403434"
