place_id,place_name,about,link
ChIJq9ecvYEH6DsRwGsRgS_NiqA,Jama Masjid Shilphata,All,https://lh5.googleusercontent.com/p/AF1QipMK0DfzwwZSbpkmqw61-P9SphL0Kpmh1vYwxfyl=w397-h298-k-no
ChIJq9ecvYEH6DsRwGsRgS_NiqA,Jama Masjid Shilphata,Dome,https://lh5.googleusercontent.com/p/AF1QipPADbkNzD7hqPFZWz-iNODYhsDLm7ksb3Wgb0Ip=w224-h448-k-no
ChIJq9ecvYEH6DsRwGsRgS_NiqA,Jama Masjid Shilphata,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YIY7Crs2wlRHypegT6b1Yw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=154.13918&pitch=0&thumbfov=100
ChIJjRYPOGoH6DsRSONTtodHSFQ,Jama Masjid Khopoli,All,https://lh5.googleusercontent.com/p/AF1QipMW_Sce6z36XvkzOo63LcdXmVJBFDeaLPXOOb0m=w224-h398-k-no
ChIJjRYPOGoH6DsRSONTtodHSFQ,Jama Masjid Khopoli,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d1-HU_KGzIcSPbALxNcLhg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=352.5776&pitch=0&thumbfov=100
ChIJjRYPOGoH6DsRSONTtodHSFQ,Jama Masjid Khopoli,Videos,https://lh5.googleusercontent.com/p/AF1QipPHcWDg-9OFEaAVx5L3E5Mvm798o-5nT6zuhkN7=w224-h398-k-no
ChIJ8YHUWGsH6DsRu0eGP5-17Qw,Masjid Anwar-E-madina,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uQF3GiXObotgzbBFi53Dyw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=153.29599&pitch=0&thumbfov=100
ChIJ8YHUWGsH6DsRu0eGP5-17Qw,Masjid Anwar-E-madina,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uQF3GiXObotgzbBFi53Dyw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=153.29599&pitch=0&thumbfov=100
ChIJd5O1DhUH6DsR9eXyDKZX6IQ,Sunni Shafi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNFjjy9T2lFYEFpNLG39Y4UigtU5TnJn-wGV7Sy=w224-h298-k-no
ChIJd5O1DhUH6DsR9eXyDKZX6IQ,Sunni Shafi Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipN1x3PMRxBE1KXDMAN2let6gYFQoHL6frzb2pIA=w224-h398-k-no
ChIJ2Z_Nk3v95zsRBJMFqGkJh-g,Jamaa Masjid Hall,All,https://lh5.googleusercontent.com/p/AF1QipMI6eEGdP44pXtiSr4CbwLLhDbW_2gLYPsEWWoQ=w224-h398-k-no
ChIJ2Z_Nk3v95zsRBJMFqGkJh-g,Jamaa Masjid Hall,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GJ7-0BsMUpplS_Sva6XPJA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=263.5097&pitch=0&thumbfov=100
ChIJ2Z_Nk3v95zsRBJMFqGkJh-g,Jamaa Masjid Hall,Videos,https://lh5.googleusercontent.com/p/AF1QipNgiZbDdBv-FAaMyKo5SXLYKNROBlaiCAm_k0-e=w224-h398-k-no
ChIJp4YQr3795zsRYLIalCChr1k,Millat Nagar Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3wH2ehrjOvk_z3BYV_HIOw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.566627&pitch=0&thumbfov=100
ChIJp4YQr3795zsRYLIalCChr1k,Millat Nagar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3wH2ehrjOvk_z3BYV_HIOw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.566627&pitch=0&thumbfov=100
ChIJs0ZaT2AH6DsRWB2E-zMNPgU,Noorani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNkHlex0hUJpBy4kVC1Rcjm-kMq6841ADC1tCGZ=w224-h398-k-no
ChIJJ-IgI2n95zsRsS2pxzJTnZY,Sunni Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMjtkO1I73SVP2TevEm_tMZ3k850E8o2ZFI3aTs=w529-h298-k-no
ChIJaXn0URIH6DsRo4nsPVHocCU,KGN Shaafai Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOzN9x11rWOwP977giluLRInMjgoqaDHax6YVj_=w224-h298-k-no
ChIJaXn0URIH6DsRo4nsPVHocCU,KGN Shaafai Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNxlp3YeQkvN9-3fwgeVszfvkquW6JWv45GpC6e=w224-h398-k-no
ChIJfRbXrn795zsRYdiCAyO5SGw,Husainniya Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6GvLXPT6RKzMNHJ78Uwqqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=274.7489&pitch=0&thumbfov=100
ChIJfRbXrn795zsRYdiCAyO5SGw,Husainniya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6GvLXPT6RKzMNHJ78Uwqqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=274.7489&pitch=0&thumbfov=100
ChIJFYmGg_gH6DsRbTvtp1WEW-I,Khopoli Sunni Muslim Kabrastan,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=phBLsdPvij_aHREh4sT_SA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=30.08526&pitch=0&thumbfov=100
ChIJFYmGg_gH6DsRbTvtp1WEW-I,Khopoli Sunni Muslim Kabrastan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=phBLsdPvij_aHREh4sT_SA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=30.08526&pitch=0&thumbfov=100
