place_id,place_name,about,link
ChIJuyoQTtU90jsRdqeKWqw7yr0,Masjid-e-Tur,All,https://lh5.googleusercontent.com/p/AF1QipOMvTe2G-zYW-x_VaPO5GLJLVTp56BZJh3XENz-=w224-h298-k-no
ChIJuyoQTtU90jsRdqeKWqw7yr0,Masjid-e-Tur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QoL77BhPFgQzd1Fo3W2ZQQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=220.7767&pitch=0&thumbfov=100
ChIJH9f22YM-0jsRySFMUyPmCnw,Masjid E Khizra Sunni Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNdhLvoqmtCIKZlVbxrf-FepKFKizQTJQpteRXT=w224-h298-k-no
ChIJH9f22YM-0jsRySFMUyPmCnw,Masjid E Khizra Sunni Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMiUj8KmoHj4QGTtCqUSvBzzM1H4elTFmuNNuJa=w224-h298-k-no-pi0-ya317-ro-0-fo100
ChIJxci8qXc90jsRo18X3K5cFXA,Masjid e Aqsa,All,https://lh5.googleusercontent.com/p/AF1QipMOxdRIfzgIglkFCbdFBZcoy2P6m-RA3MP3MfD4=w400-h298-k-no
ChIJxci8qXc90jsRo18X3K5cFXA,Masjid e Aqsa,Videos,https://lh5.googleusercontent.com/p/AF1QipOSMRcfdDFYMPYPmcwVxqNTsb3FJJb_1cORuwO6=w529-h298-k-no
ChIJTdNzH3w_0jsR4zZLZ8xKh5U,masjid-e-Habibiya,All,https://lh5.googleusercontent.com/p/AF1QipNGYpykhuaQ_cFfb_GGFgBQjru1UgJiz5b8KiCS=w397-h298-k-no
ChIJ7SEcYV890jsRd5HT9Br-PQ4,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOCwD611BhcLEBjVfpDwTnXaT9KbB62yZ6ihBQT=w224-h470-k-no
ChIJ7SEcYV890jsRd5HT9Br-PQ4,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOCwD611BhcLEBjVfpDwTnXaT9KbB62yZ6ihBQT=w224-h470-k-no
ChIJfxfCLS8_0jsR8TC8VgFX02s,UMAR MASJID,All,https://lh5.googleusercontent.com/p/AF1QipMTXykfqtDmDpNqxGEngbrpyQgcwnwcJXPGg9ZZ=w529-h298-k-no
ChIJl25a62g90jsRsNGmbybPKk8,Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMIhoBn40vFPOHz9yZ7LBeIImB-vib02RF9wWkZ=w268-h298-k-no
ChIJl25a62g90jsRsNGmbybPKk8,Madina Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMIhoBn40vFPOHz9yZ7LBeIImB-vib02RF9wWkZ=w268-h298-k-no
ChIJzZyGkRU90jsR-EutDqUtq38,Masjid-E- Banu,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=og5Rnet_ipjJExDQ-tIJQA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=266.5734&pitch=0&thumbfov=100
ChIJzZyGkRU90jsR-EutDqUtq38,Masjid-E- Banu,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=og5Rnet_ipjJExDQ-tIJQA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=266.5734&pitch=0&thumbfov=100
