place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJpfAvMu5_CzkRh83YeNMyGVo,"Aysha Masjid, Kithore",All,https://lh5.googleusercontent.com/p/AF1QipMC2unw9_CCDxRuo2XxiyTgW2AgndXDH5TmDG5v=w224-h298-k-no
ChIJpfAvMu5_CzkRh83YeNMyGVo,"Aysha Masjid, Kithore",Dome,https://lh5.googleusercontent.com/p/AF1QipPWVYTjkTMqZFRKCRbfqO_MskLKjr0eX_8e6pbk=w224-h298-k-no
ChIJpfAvMu5_CzkRh83YeNMyGVo,"Aysha Masjid, Kithore",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sMWVat-MFo7B3BSjXkRBMA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=91.67748&pitch=0&thumbfov=100
ChIJTXahpB7lDDkRajeGd9izdXk,Mumtaz Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MByV1I30aQX3nMnBrk-JOw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=37.411667&pitch=0&thumbfov=100
ChIJTXahpB7lDDkRajeGd9izdXk,Mumtaz Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MByV1I30aQX3nMnBrk-JOw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=37.411667&pitch=0&thumbfov=100
