name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Mosque,Mosque,"8CFW+M4C Mosque, Cooch Behar, West Bengal 736101",,8CFW+M4C,Cooch Behar,736101,West Bengal,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x39e2fe82a61fa1a5:0xb1d68b1929d28ec!8m2!3d26.3242!4d89.4452739!16s%2Fg%2F11cs170_rl!19sChIJpaEfpoL-4jkR7CidkrFoHQs?authuser=0&hl=en&rclk=1,"26.324199999999998,89.44527389999999"
Horinchwora Masjid,Mosque,"7FR3+MQG Horinchwora Masjid, Gudam Maharaniganj, West Bengal 736170",,7FR3+MQG,Gudam Maharaniganj,736170,West Bengal,IN,https://www.google.com/maps/place/Horinchwora+Masjid/data=!4m7!3m6!1s0x39e2fc426160ae69:0xb830aa7c1afe974d!8m2!3d26.2916947!4d89.4544673!16s%2Fg%2F11c6z0_06r!19sChIJaa5gYUL84jkRTZf-GnyqMLg?authuser=0&hl=en&rclk=1,"26.291694699999997,89.45446729999999"
Kalabagan Jame Masjid msjd,Mosque,"8FJ3+VV2 Kalabagan Jame Masjid msjd, Subhash Pally, Cooch Behar, West Bengal 736101",,"8FJ3+VV2, Subhash Pally",Cooch Behar,736101,West Bengal,IN,https://www.google.com/maps/place/Kalabagan+Jame+Masjid+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x39e2fe988f965fcb:0x4451e451d979b426!8m2!3d26.3321309!4d89.4546489!16s%2Fg%2F11clzrtm8q!19sChIJy1-Wj5j-4jkRJrR52VHkUUQ?authuser=0&hl=en&rclk=1,"26.3321309,89.4546489"
Railghumti Masjid,Mosque,"8FF5+RW4 Railghumti Masjid, Rail Ghumty, Cooch Behar, West Bengal 736101",Rail Ghumty,8FF5+RW4,Cooch Behar,736101,West Bengal,IN,https://www.google.com/maps/place/Railghumti+Masjid/data=!4m7!3m6!1s0x39e2fea0adbf6b99:0xd91e4ee9709ffc3f!8m2!3d26.3245244!4d89.4598163!16s%2Fg%2F12628cr7c!19sChIJmWu_raD-4jkRP_yfcOlOHtk?authuser=0&hl=en&rclk=1,"26.324524399999998,89.4598163"
Khagra Bari masjid,Mosque,"8CWW+7XG Khagra Bari masjid, Khagrabari, Cooch Behar, West Bengal 736179",Khagrabari,8CWW+7XG,Cooch Behar,736179,West Bengal,IN,https://www.google.com/maps/place/Khagra+Bari+masjid/data=!4m7!3m6!1s0x39e2fe92eed25c7b:0x302e0e4ffd4b01e1!8m2!3d26.3456838!4d89.4474537!16s%2Fg%2F11cs31v07d!19sChIJe1zS7pL-4jkR4QFL_U8OLjA?authuser=0&hl=en&rclk=1,"26.3456838,89.4474537"
Military Line Masjid,Mosque,"Military Line Masjid, BENFISH Mahal, Magazine Rd, Cooch Behar, West Bengal 736101",,"BENFISH Mahal, Magazine Rd",Cooch Behar,736101,West Bengal,IN,https://www.google.com/maps/place/Military+Line+Masjid/data=!4m7!3m6!1s0x39e2fc26b150a6cf:0x2c819ff2297042fa!8m2!3d26.3189561!4d89.4502497!16s%2Fg%2F11f01zt08f!19sChIJz6ZQsSb84jkR-kJwKfKfgSw?authuser=0&hl=en&rclk=1,"26.318956099999998,89.4502497"
Boro Masjid Takagachh,Mosque,"8CGC+3QH Boro Masjid Takagachh, Cooch Behar, West Bengal 736101",,8CGC+3QH,Cooch Behar,,West Bengal,IN,https://www.google.com/maps/place/Boro+Masjid+Takagachh/data=!4m7!3m6!1s0x39e2ff0569aa1393:0xdf5b1cede459002a!8m2!3d26.325177!4d89.4219742!16s%2Fg%2F11q8t7f5fs!19sChIJkxOqaQX_4jkRKgBZ5O0cW98?authuser=0&hl=en&rclk=1,"26.325177,89.4219742"
New Mosque,Mosque,"New Mosque, Cooch Behar, West Bengal 736170",,,Cooch Behar,736170,West Bengal,IN,https://www.google.com/maps/place/New+Mosque/data=!4m7!3m6!1s0x39e2fdc8441eb523:0x8ad7ed6cad35cebd!8m2!3d26.3020625!4d89.4284375!16s%2Fg%2F11f50vz20z!19sChIJI7UeRMj94jkRvc41rWzt14o?authuser=0&hl=en&rclk=1,"26.302062499999998,89.4284375"
dkssinn yaatraapur msjid,Mosque,"8CR7+X3M dkssinn yaatraapur msjid, Jatrapur, West Bengal 736101",,8CR7+X3M,Jatrapur,,West Bengal,IN,https://www.google.com/maps/place/%E0%A6%A6%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%A3+%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A7%81%E0%A6%B0+%E0%A6%AE%E0%A6%B8%E0%A6%9C%E0%A6%BF%E0%A6%A6/data=!4m7!3m6!1s0x39e2ff6b710f0279:0xdb0f774c147e8597!8m2!3d26.3424701!4d89.412679!16s%2Fg%2F11rsh0cfs0!19sChIJeQIPcWv_4jkRl4V-FEx3D9s?authuser=0&hl=en&rclk=1,"26.3424701,89.412679"
JAMA MASJID KOCH BHITTA,Mosque,"83RV+38G JAMA MASJID KOCH BHITTA, Burhnai Bahadurpur, Bihar 855115",,83RV+38G,Burhnai Bahadurpur,855115,Bihar,IN,https://www.google.com/maps/place/JAMA+MASJID+KOCH+BHITTA/data=!4m7!3m6!1s0x39e501f848bac639:0xa26f4a4c3c92e82d!8m2!3d26.3401861!4d88.0933406!16s%2Fg%2F11smdlj847!19sChIJOca6SPgB5TkRLeiSPExKb6I?authuser=0&hl=en&rclk=1,"26.3401861,88.09334059999999"
Hedayet Masjid,Mosque,"8CVR+28R Hedayet Masjid, Takagachh, Cooch Behar, West Bengal 736179",Takagachh,8CVR+28R,Cooch Behar,736179,West Bengal,IN,https://www.google.com/maps/place/Hedayet+Masjid/data=!4m7!3m6!1s0x39e2ffae51bd16ff:0xe77004ae276d1ee7!8m2!3d26.342623!4d89.4407801!16s%2Fg%2F11t0xls4zd!19sChIJ_xa9Ua7_4jkR5x5tJ64EcOc?authuser=0&hl=en&rclk=1,"26.342623,89.4407801"
Jama Masjid Pachhim Par Kochka,Mosque,"XM7P+GJV Jama Masjid Pachhim Par Kochka, sahalo, Bihar 854315",,XM7P+GJV,sahalo,854315,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Pachhim+Par+Kochka/data=!4m7!3m6!1s0x39e55d64d8f46bfd:0x633fd4227bde8dc!8m2!3d25.9638574!4d87.6865384!16s%2Fg%2F11jp8c8_lm!19sChIJ_Wv02GRd5TkR3Oi9J0L9MwY?authuser=0&hl=en&rclk=1,"25.9638574,87.68653839999999"
Sialdaha Jame masjid,Mosque,"7CRJ+Q4M Sialdaha Jame masjid, Kakina Rd, Cooch Behar, Charaker Kuthi Dewanbas, West Bengal 736170",,"7CRJ+Q4M, Kakina Rd","Cooch Behar, Charaker Kuthi Dewanbas",,West Bengal,IN,https://www.google.com/maps/place/Sialdaha+Jame+masjid/data=!4m7!3m6!1s0x39e2fdae7639f94f:0x7f8135655df53c64!8m2!3d26.2919679!4d89.4302902!16s%2Fg%2F11s86m4f9x!19sChIJT_k5dq794jkRZDz1XWU1gX8?authuser=0&hl=en&rclk=1,"26.2919679,89.4302902"
