place_id,place_name,about,link
ChIJV7D6KwnBwjsRRB95GFeHJZg,Zakaria Masjid - zkhry msjd,All,https://lh5.googleusercontent.com/p/AF1QipMHSS3EWHLSCrjG9HiXnq-SXvq3K49U2AZ99XZn=w397-h298-k-no
ChIJV7D6KwnBwjsRRB95GFeHJZg,Zakaria Masjid - zkhry msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dj48HQer0p1m4IG1ZV8W5Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=69.937546&pitch=0&thumbfov=100
ChIJN_CkBuTawjsRtwvb58PN0So,Koregoan Bhima Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOEDbMqcFuh_Cwt5S4KxP5fAe2WGDICj-yUTWj1=w286-h298-k-no
ChIJN_CkBuTawjsRtwvb58PN0So,Koregoan Bhima Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipMm7q0vDStLQvQ9L2bPCJu0kcmWrg6SjaJzsBw_=w224-h497-k-no
ChIJN_CkBuTawjsRtwvb58PN0So,Koregoan Bhima Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPazRGZ2-xqt-jKLdiQAzgMzL-Cgz2riie9C0GQ=w224-h398-k-no
ChIJJ_h0LQnBwjsRd-XgCk4YTXA,Koregaon Park Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPiAbMsSpcl8nEvhX6BR37RM7HAgPRdolcqrG7c=w529-h298-k-no
ChIJJ_h0LQnBwjsRd-XgCk4YTXA,Koregaon Park Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dj48HQer0p1m4IG1ZV8W5Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=92.48015&pitch=0&thumbfov=100
ChIJ-VCOwpvBwjsRNUwX_wDXnRM,Umar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMFkX8vFXNyGoNrXUEv8YaZehhCdARthKuPO_HO=w529-h298-k-no
ChIJ-VCOwpvBwjsRNUwX_wDXnRM,Umar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=npoutvKeh4fgpbVnYXu-ww&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=205.59839&pitch=0&thumbfov=100
ChIJj0cGVajBwjsR8BYunpKm-ZY,MADARI Masjid (Koregaon Park Pune),All,https://lh5.googleusercontent.com/p/AF1QipMKJAcqAC5rfmNT4GIy4YZ1ih6JWxcAo_d1wzz8=w224-h398-k-no
ChIJj0cGVajBwjsR8BYunpKm-ZY,MADARI Masjid (Koregaon Park Pune),Videos,https://lh5.googleusercontent.com/p/AF1QipMZ4gtLl20l2KDVRLayCVugZrxI7uMkAZ1YYfdj=w224-h398-k-no
ChIJR4Lsn7c1wjsRrdlLWNhHcNg,Rehmaniya maktab ( masjid),All,https://lh5.googleusercontent.com/p/AF1QipNB-VjjMLSTKloDSkx9ObPYC3cqCz3FebVaZvw=w529-h298-k-no
ChIJR4Lsn7c1wjsRrdlLWNhHcNg,Rehmaniya maktab ( masjid),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nqP0t-ABvSi39pb8JvpgTw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=275.43137&pitch=0&thumbfov=100
ChIJaxn2cl_BwjsRm03scr8D0f4,ANJUMAN-E-GAUSIYA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipNSdSHlrMf2qDr10_UufL92-Betu2ckDm3nPKrx=w529-h298-k-no
ChIJaxn2cl_BwjsRm03scr8D0f4,ANJUMAN-E-GAUSIYA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vGNkB_f4SZQJYCgdH0SfEQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=200.19183&pitch=0&thumbfov=100
ChIJAfhlZ5M1wjsR0SwzKDQ9XwM,Koregaon Jama Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i8omB_TAD30CVRQB8TUYdA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=164.63344&pitch=0&thumbfov=100
ChIJAfhlZ5M1wjsR0SwzKDQ9XwM,Koregaon Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i8omB_TAD30CVRQB8TUYdA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=164.63344&pitch=0&thumbfov=100
ChIJl9EDe9kPwTsR5VsCCOtu4NQ,Jama masjid.koregaon,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PVJiWOMxQZ4x3p6hh-txWQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=311.3253&pitch=0&thumbfov=100
ChIJl9EDe9kPwTsR5VsCCOtu4NQ,Jama masjid.koregaon,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PVJiWOMxQZ4x3p6hh-txWQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=311.3253&pitch=0&thumbfov=100
