place_id,place_name,about,link
ChIJqQ3FLsE6qDsRYRxNtw1Xj6Y,Sunnath Jamath Jamiya (Big) Mosque Kottur,All,https://lh5.googleusercontent.com/p/AF1QipMnOti0GLwcSm_0uN_sKiipNPF9SlVmsJjuMyw=w529-h298-k-no
ChIJqQ3FLsE6qDsRYRxNtw1Xj6Y,Sunnath Jamath Jamiya (Big) Mosque Kottur,Dome,https://lh5.googleusercontent.com/p/AF1QipPl8ybiYOuSiF-JAbYGC2HgvdHIouW3sqEHidpl=w224-h298-k-no
ChIJqQ3FLsE6qDsRYRxNtw1Xj6Y,Sunnath Jamath Jamiya (Big) Mosque Kottur,Videos,https://lh5.googleusercontent.com/p/AF1QipMGgDK9CjbM1n14yB6oOXYu_8YrvaR6mhisQBI=w298-h298-k-no
ChIJqQ3FLsE6qDsRYRxNtw1Xj6Y,Sunnath Jamath Jamiya (Big) Mosque Kottur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7PZmtUjsh1yaGwIArGonPw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=137.00061&pitch=0&thumbfov=100
ChIJRwo-3bTvuTsR-GyaTetuwL4,Masjid-e Jamiya,All,https://lh5.googleusercontent.com/p/AF1QipMXIZr4ha7jC9JyyG8_P0JJEfXbBiYn8oYFdnGs=w224-h497-k-no
ChIJRwo-3bTvuTsR-GyaTetuwL4,Masjid-e Jamiya,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipN8hyOCmKJIktNPGVpKbgZhB21bh-dpCBmeFUgb=w224-h298-k-no-pi0-ya263-ro-0-fo100
ChIJRwo-3bTvuTsR-GyaTetuwL4,Masjid-e Jamiya,Videos,https://lh5.googleusercontent.com/p/AF1QipPlML7u7LPXaeyZD3paL8dJBznzXgTIY9_bcycq=w224-h398-k-no
ChIJI5tLg0zuuTsRvRPC4tWy1RY,Masjid-E-Tuheed (Ahle Hadees),All,https://lh5.googleusercontent.com/p/AF1QipOEZaHu3JVBZb07gbE32bRpE_ValRlo2wz6P6lC=w224-h398-k-no
ChIJI5tLg0zuuTsRvRPC4tWy1RY,Masjid-E-Tuheed (Ahle Hadees),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jHUbwPi2zzluM9C5R1jXiA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=139.61894&pitch=0&thumbfov=100
ChIJ-YcNtgNQVToRNXNyd4yqw7w,Mosque,All,https://lh5.googleusercontent.com/p/AF1QipP8ZxOk-q0RTSaeRgEBIGvqGBm4JUjA0F0pfUZ4=w511-h298-k-no
ChIJ-YcNtgNQVToRNXNyd4yqw7w,Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipMbn9g4_vkYaSeTk6IxoC6OncrGSVxdmBBtx6VE=w397-h298-k-no
ChIJ-YcNtgNQVToRNXNyd4yqw7w,Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i4Nt9TNIgbPL8v3PS-AsTA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=245.12337&pitch=0&thumbfov=100
ChIJE5NQRHXvuTsRXOm2ytDd0nE,Bilal masjid,All,https://lh5.googleusercontent.com/p/AF1QipPKOtySA4hLjGCTNohjHVgqC73GXaXE3nHuLO2Q=w397-h298-k-no
ChIJE5NQRHXvuTsRXOm2ytDd0nE,Bilal masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DPTfDieBW4o-DduFBu_b9g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=125.73189&pitch=0&thumbfov=100
ChIJf-07erXvuTsRHta1RyE7iZY,Masjid A Mubarak,All,https://lh5.googleusercontent.com/p/AF1QipNuB3zwKuOnfdrZyn_b9g6cUzMblUYM30_nP_Dv=w224-h485-k-no
ChIJf-07erXvuTsRHta1RyE7iZY,Masjid A Mubarak,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GhVUrN8TPCnXaVrKGLUNCg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=185.12787&pitch=0&thumbfov=100
ChIJmbcCii7xuTsRfnqFbOCdvOA,Masjid-al-hasnaine kottur,All,https://lh5.googleusercontent.com/p/AF1QipO2DGMw_G5MS3ka_lG2J84zeBwmR8R3rU2huhUd=w529-h298-k-no
