place_id,place_name,about,link
ChIJX3UBP_uMTDoRYGb0T2ij0ZY,Masjid-E-Abu Baker Siddik,All,https://lh5.googleusercontent.com/p/AF1QipO4cx_Btli8FeDrHsea5YFwi2t4k-osqv94Zq0T=w224-h488-k-no
ChIJX3UBP_uMTDoRYGb0T2ij0ZY,Masjid-E-Abu Baker Siddik,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tikLStvfMQOfNqFV5rjwLA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=12.557152&pitch=0&thumbfov=100
ChIJI0IdGNJhUjoRKoJ2W20jTgw,Syed Sadiq Nagar trustJumma Mosque,All,https://lh5.googleusercontent.com/p/AF1QipP-9BYJkGl2Y68vms4Tdu2EkLo4JdfdJVeSVf32=w224-h497-k-no
ChIJI0IdGNJhUjoRKoJ2W20jTgw,Syed Sadiq Nagar trustJumma Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipM64mpVPm_75bp9-vy1hZKr5mdQGWY4QuGiJIfM=w224-h350-k-no
ChIJI0IdGNJhUjoRKoJ2W20jTgw,Syed Sadiq Nagar trustJumma Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipNpes_6_TSLt15zO07NyAuYBgQYWgWisDcbNgmV=w529-h298-k-no
ChIJI0IdGNJhUjoRKoJ2W20jTgw,Syed Sadiq Nagar trustJumma Mosque,By owner,https://lh5.googleusercontent.com/p/AF1QipMLzlM1eabaDSS5fzYr70IjsmUTXvc1ww950j6e=w298-h298-k-no
ChIJI0IdGNJhUjoRKoJ2W20jTgw,Syed Sadiq Nagar trustJumma Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I3ql11ihr88NbjnNAaLhpQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=328.46423&pitch=0&thumbfov=100
ChIJUc6YZxxhUjoRgxzjX30FL6g,MASJID-E-MOHAMMADIA muhmmtiyaa msjit,All,https://lh5.googleusercontent.com/p/AF1QipNWLDzseaPqkdEsdKzRQtMjncp72rqZZ29JF0fw=w224-h298-k-no
ChIJUc6YZxxhUjoRgxzjX30FL6g,MASJID-E-MOHAMMADIA muhmmtiyaa msjit,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nP3zrd-FUlWDzQQuhReENg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=312.93164&pitch=0&thumbfov=100
ChIJUc6YZxxhUjoRgxzjX30FL6g,MASJID-E-MOHAMMADIA muhmmtiyaa msjit,Videos,https://lh5.googleusercontent.com/p/AF1QipOzoo3rdBUzCLTnOeW2szf_bOjnfz7gnlFL3mam=w224-h407-k-no
ChIJo9nGEsBKsTsRcOQqyU-nB7w,Masjid-E-Nimrah,All,https://lh5.googleusercontent.com/p/AF1QipP55Sje6-U9whmCjN-7WKnLp2ynpDcZF-exFMw6=w224-h298-k-no
ChIJo9nGEsBKsTsRcOQqyU-nB7w,Masjid-E-Nimrah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rTzvRpae7hco0AL-2RViyw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=316.9719&pitch=0&thumbfov=100
ChIJ1YWJK7thUjoR7IEisScrtec,Masjid-e-Avval,All,https://lh5.googleusercontent.com/p/AF1QipPNssA7PAiXv7FBuzahmn6Ac4e3qwSamzdmjqF2=w224-h398-k-no
ChIJ1YWJK7thUjoR7IEisScrtec,Masjid-e-Avval,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AkmDPvCtMAU2vK9y2FEX1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=46.35944&pitch=0&thumbfov=100
ChIJwfCHI-tKsTsR1hRFnR5uqKU,Macca Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPRhZ8SeYbuxES5zk-HVmY8qf0BDtJi2-rl0yoS=w224-h398-k-no
ChIJwfCHI-tKsTsR1hRFnR5uqKU,Macca Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNm9rVLqhVqNLKGZT20qYGrq4QjwWQNe_eOyi_G=w224-h497-k-no
ChIJwfCHI-tKsTsR1hRFnR5uqKU,Macca Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TDG6zZ5h6AuBnowDWaqyMw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=201.37553&pitch=0&thumbfov=100
ChIJ-VKDZhZhUjoR6Xu9dSe-Qlc,Masjid E Kaba msjite kapaa,All,https://lh5.googleusercontent.com/p/AF1QipNth7G5GNRJdujgJdvQKeqkWx58taCBD5h38Ilz=w401-h298-k-no
ChIJ-VKDZhZhUjoR6Xu9dSe-Qlc,Masjid E Kaba msjite kapaa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JphttTj_u3se6PgifQm-GQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=26.022633&pitch=0&thumbfov=100
ChIJWx_rqjlgUjoRPl_VzaAR0b0,Adam Nagar Masjid (AL Ahmad Jumma Masjid),All,https://lh5.googleusercontent.com/p/AF1QipN1roUDabe9afFRvnMZj-gS7urOeTyqqI-LUdyl=w596-h298-k-no
ChIJWx_rqjlgUjoRPl_VzaAR0b0,Adam Nagar Masjid (AL Ahmad Jumma Masjid),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7fB-kVGYojFm8sYHI74W8Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=326.74646&pitch=0&thumbfov=100
ChIJWx_rqjlgUjoRPl_VzaAR0b0,Adam Nagar Masjid (AL Ahmad Jumma Masjid),Videos,https://lh5.googleusercontent.com/p/AF1QipNIdmofJsNEr6wY5Q51e_YQvHv3UYWy-ZVcE9-J=w224-h398-k-no
ChIJ7VUBM4qMTDoRVE4nSGOvkuE,Masjid - E - Ahamadiya,All,https://lh5.googleusercontent.com/p/AF1QipMwiapsS5ttOxJ1z1D6iEtP7MTAm31zbnLTYOr1=w627-h298-k-no
ChIJ7VUBM4qMTDoRVE4nSGOvkuE,Masjid - E - Ahamadiya,By owner,https://lh5.googleusercontent.com/p/AF1QipMkIDf73W0FBeTsh0ps2u5RXBjhfAi2IAp_XlDS=w224-h398-k-no
ChIJ7VUBM4qMTDoRVE4nSGOvkuE,Masjid - E - Ahamadiya,Videos,https://lh5.googleusercontent.com/p/AF1QipMu4vGAgQHw5nxLaA0OeQjijKlujUEJLG3rx7Jx=w224-h398-k-no
ChIJ7VUBM4qMTDoRVE4nSGOvkuE,Masjid - E - Ahamadiya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J5U_IPIqpGkF9Coo-T_z3Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=346.93716&pitch=0&thumbfov=100
ChIJy_5-MMFKsTsRAg1toBsK0bI,Masjid E Hussainiya,All,https://lh5.googleusercontent.com/p/AF1QipNKq3rwmrjNucC4GT8_uLQm0aAAJ79Ld-0k-z7I=w397-h298-k-no
ChIJy_5-MMFKsTsRAg1toBsK0bI,Masjid E Hussainiya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i5ECC_FaH2RwqHqIQiV-Nw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=70.39663&pitch=0&thumbfov=100
ChIJhzq6Xr9KsTsRw_egYk2TQZQ,Al- FAKHRUDDIN MASJID,All,https://lh5.googleusercontent.com/p/AF1QipMQgtCTjyFmM1orhbrsA_7O8dGz-5Kje7dHmERe=w397-h298-k-no
ChIJhzq6Xr9KsTsRw_egYk2TQZQ,Al- FAKHRUDDIN MASJID,By owner,https://lh5.googleusercontent.com/p/AF1QipPCNLirgxrj9ZlNT2oeZTbgJI4mAg2exXNuQjnZ=w397-h298-k-no
ChIJhzq6Xr9KsTsRw_egYk2TQZQ,Al- FAKHRUDDIN MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipNMF1Zj8cXDJe9qPpqhIbYuKXcB6miDbuVCo9sY=w224-h407-k-no
ChIJIy3leMVhUjoRq5nxXCIGWNw,Ahle Sunnath Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPnFLZNA6ILSkP6_Id81Bj_RdoZEXlRutiiNVs7=w528-h298-k-no
