place_id,place_name,about,link
ChIJYeUeSiV5azkR4Jr2q31W1Us,phool masjid Ghati kuwa,All,https://lh5.googleusercontent.com/p/AF1QipNiNSBIeWWYYkU1DSzVb846flI8vag5FT_EIbnY=w224-h497-k-no
ChIJYeUeSiV5azkR4Jr2q31W1Us,phool masjid Ghati kuwa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VGPjYGSZvQiVXwyGYonxsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=264.8972&pitch=0&thumbfov=100
ChIJLS9LNSF5azkRMOthRgaEFLE,Luhariya Bass,All,https://lh5.googleusercontent.com/p/AF1QipOkeVUxK3n2mmWNnK47bypoIZwzuUC670aUl_Kn=w224-h298-k-no
ChIJLS9LNSF5azkRMOthRgaEFLE,Luhariya Bass,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8C62hWpN_PZBraQWnvJEYQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=34.077724&pitch=0&thumbfov=100
ChIJLS9LNSF5azkRMOthRgaEFLE,Luhariya Bass,Videos,https://lh5.googleusercontent.com/p/AF1QipPWK4QmcrU3ypen2rRGWLNJ2U1u9M1CDU4skoLy=w529-h298-k-no
ChIJcynYZzp5azkRqcZi51wg2qQ,Khan Mohallah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNNz5DCBb4-cR8-wRL_k9-jt2TSH0jUmYl0F_9P=w395-h298-k-no
ChIJcynYZzp5azkRqcZi51wg2qQ,Khan Mohallah Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOUTwNIlXq8i_AybVcIGPzt74x6C7BXsCHppwU8=w224-h441-k-no
ChIJcynYZzp5azkRqcZi51wg2qQ,Khan Mohallah Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nNAdIS-5HNJ8h1zN0djyFw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=49.36665&pitch=0&thumbfov=100
ChIJpSvJySZ5azkRma0VBxAk17E,masjid luharan,All,https://lh5.googleusercontent.com/p/AF1QipOLb_wJaeWSudyuyWKPzECf7pJe1sGaeROxjPbX=w224-h497-k-no
ChIJpSvJySZ5azkRma0VBxAk17E,masjid luharan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WblZJx30EDa2AMK-yH-YHg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=113.91399&pitch=0&thumbfov=100
ChIJpSvJySZ5azkRma0VBxAk17E,masjid luharan,Videos,https://lh5.googleusercontent.com/p/AF1QipOUNM2uWXINgQOTAVkiB4d1PksfP0HRG8ZeI6Xq=w529-h298-k-no
ChIJv5CHqzF5azkRd37rhDSuZ2M,TAKIYA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipP3LyRxUZuCsQdm-YZhwOw_2dQN08UsSrK8X8NJ=w298-h298-k-no
ChIJv5CHqzF5azkRd37rhDSuZ2M,TAKIYA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WQuiT-rf4txCn2RpwsBhjg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=2.687298&pitch=0&thumbfov=100
ChIJv5CHqzF5azkRd37rhDSuZ2M,TAKIYA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipPIdrN_ZZzqEZ08FWf1_knz9t2GYxtKQr_cyfeH=w224-h368-k-no
ChIJqREbkzF5azkRTbKlChjsn34,Mustafa Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kDL0pyvnlESNn05XfWnPxw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=217.58911&pitch=0&thumbfov=100
ChIJqREbkzF5azkRTbKlChjsn34,Mustafa Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kDL0pyvnlESNn05XfWnPxw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=217.58911&pitch=0&thumbfov=100
ChIJ9fdwETp5azkRB5zRswAwDPg,"EidGaah, Khan Mohalla",All,https://lh5.googleusercontent.com/p/AF1QipPsLU66n7b79MiiZGchGy4cS4-PoZKkuiZ8hRME=w596-h298-k-no
ChIJ9fdwETp5azkRB5zRswAwDPg,"EidGaah, Khan Mohalla",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zPeS-sg6qRjOD6EFidmj4Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=14.313213&pitch=0&thumbfov=100
ChIJ9fdwETp5azkRB5zRswAwDPg,"EidGaah, Khan Mohalla",Videos,https://lh5.googleusercontent.com/p/AF1QipPa7m39y5z6sBr-_qA9NKReE9RuzYpH2gxEaPU5=w224-h398-k-no
ChIJj3xZsSF5azkRQM8ZZ0NeuwM,Baba Hader Ali Dargah,All,https://lh5.googleusercontent.com/p/AF1QipP5VR8_ve4bR6feKepPHKT8oeQgAedz1-vwkIwo=w397-h298-k-no
ChIJj3xZsSF5azkRQM8ZZ0NeuwM,Baba Hader Ali Dargah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eKfrMCn6IL0unqHcmWIMfg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=173.57169&pitch=0&thumbfov=100
ChIJj3xZsSF5azkRQM8ZZ0NeuwM,Baba Hader Ali Dargah,Videos,https://lh5.googleusercontent.com/p/AF1QipMxK_EQpTxdvdn9-L-eUY9ZXfoRDiltZRgmR-pB=w224-h398-k-no
ChIJB43itSF5azkRbwRLvQuaDlE,Chhoti Eid Gah,All,https://lh5.googleusercontent.com/p/AF1QipNDvXIXWqG2ZYuyv1hgPrl5yRnQWJS2sZ659dz6=w224-h298-k-no
ChIJB43itSF5azkRbwRLvQuaDlE,Chhoti Eid Gah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gldSs-A7oPoJJyp4AmePQw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=113.035095&pitch=0&thumbfov=100
ChIJB43itSF5azkRbwRLvQuaDlE,Chhoti Eid Gah,Videos,https://lh5.googleusercontent.com/p/AF1QipMqZEC68JYf_V75LjTb0-i78FZo7GpqFV_It6Kz=w224-h398-k-no
