place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJucvb_7DiDDkRiOfSWKkcKh0,Qila-I-Kuhna Mosque msjd ql`h khhnh,All,https://lh5.googleusercontent.com/p/AF1QipPe2LfWlHwf-mGoygvIv7hOhX6SrqCr3eJio4-E=w397-h298-k-no
ChIJucvb_7DiDDkRiOfSWKkcKh0,Qila-I-Kuhna Mosque msjd ql`h khhnh,Bada Darwaza,https://lh5.googleusercontent.com/p/AF1QipPadGs01AD5_cqTUOL0H6132ij2s9SA61QU7XQo=w397-h298-k-no
ChIJucvb_7DiDDkRiOfSWKkcKh0,Qila-I-Kuhna Mosque msjd ql`h khhnh,Videos,https://lh5.googleusercontent.com/p/AF1QipN6AE4g-K7c6xoFbxEZ-zYkk22vNht4mGYxSHjJ=w224-h398-k-no
ChIJucvb_7DiDDkRiOfSWKkcKh0,Qila-I-Kuhna Mosque msjd ql`h khhnh,Sher Mandal,https://lh5.googleusercontent.com/p/AF1QipM-eAxaC-kquO29XgPL4vPT-GHiCEm1gUOu2moV=w447-h298-k-no
ChIJucvb_7DiDDkRiOfSWKkcKh0,Qila-I-Kuhna Mosque msjd ql`h khhnh,Baoli,https://lh5.googleusercontent.com/p/AF1QipP523r7kUC8zE0pV0F1pTlOX6ZrDdbexQdL6yHx=w397-h298-k-no
ChIJucvb_7DiDDkRiOfSWKkcKh0,Qila-I-Kuhna Mosque msjd ql`h khhnh,Purana Qila Lake,https://lh5.googleusercontent.com/p/AF1QipPcoXwLvSZYYmWAKR2KyiGUPnwUpZYKd0EKXpR5=w447-h298-k-no
ChIJucvb_7DiDDkRiOfSWKkcKh0,Qila-I-Kuhna Mosque msjd ql`h khhnh,Dome,https://lh5.googleusercontent.com/p/AF1QipP1fnyNvvRJj9LOwsj2D5kOl-F75g_mtpkiXZP-=w273-h298-k-no
ChIJucvb_7DiDDkRiOfSWKkcKh0,Qila-I-Kuhna Mosque msjd ql`h khhnh,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipNOwA0uY57Bp2aqa1VnEPMdUF_IeMVtjGlX1raV=w224-h298-k-no-pi-17.66881-ya74.18006-ro-0-fo100
