place_id,place_name,about,link
ChIJUwDmtOhcpjsR1Jw-JFJMPOo,Markaz Masjidul Hamili,All,https://lh5.googleusercontent.com/p/AF1QipNnHe4aDTA0b-aoRX921WLnrF4JOagCQvdZ1hY6=w447-h298-k-no
ChIJUwDmtOhcpjsR1Jw-JFJMPOo,Markaz Masjidul Hamili,By owner,https://lh5.googleusercontent.com/p/AF1QipNnHe4aDTA0b-aoRX921WLnrF4JOagCQvdZ1hY6=w447-h298-k-no
ChIJUwDmtOhcpjsR1Jw-JFJMPOo,Markaz Masjidul Hamili,Videos,https://lh5.googleusercontent.com/p/AF1QipMKUAg5S_9P82FYrwUetJ-6qSsGVkYEsGYaw3w5=w529-h298-k-no
ChIJUwDmtOhcpjsR1Jw-JFJMPOo,Markaz Masjidul Hamili,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1la3gASzBfIoyUS2J09RtQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=275.33606&pitch=0&thumbfov=100
ChIJERd-jP1dpjsRBAcxJcS4zVs,Madani Ustad Maqam,All,https://lh5.googleusercontent.com/p/AF1QipNXpT3xDsTCEFTpQeVSqbmdCTlS07gjZxz3Z2OX=w397-h298-k-no
ChIJERd-jP1dpjsRBAcxJcS4zVs,Madani Ustad Maqam,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPP57QUhdoHS9xyUC6Jh0Ww9u-xw-nODJQsIsxE=w224-h298-k-no-pi-0-ya132.00002-ro-0-fo100
ChIJERd-jP1dpjsRBAcxJcS4zVs,Madani Ustad Maqam,Videos,https://lh5.googleusercontent.com/p/AF1QipN-wWw9PgCdqcI5opD5WMiHZY3fiNqtAlH002yv=w224-h398-k-no
ChIJT6Q7l2ZdpjsRDphRXiihL9A,Rampoyil Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNMkQwzH1Ux8cKxvBfdc1h2Yu15GZMRcA0QYnaB=w224-h298-k-no
ChIJT6Q7l2ZdpjsRDphRXiihL9A,Rampoyil Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gCgpGFamlcvKr7k1iI9FdQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=342.5257&pitch=0&thumbfov=100
ChIJzYyMre9cpjsRf3PsbC0hpL8,Karanthur Mahal Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOnwINHI30Q8O-X0F_uoD_lE7W2tnAbEhzpgHjJ=w397-h298-k-no
ChIJzYyMre9cpjsRf3PsbC0hpL8,Karanthur Mahal Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tJ6fEbMcheL4xte4d2qYhA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=338.77432&pitch=0&thumbfov=100
ChIJzYyMre9cpjsRf3PsbC0hpL8,Karanthur Mahal Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPfpSgioBEo2PrMmBPa3dqEVS5HwNPHSBgl14g_=w224-h398-k-no
ChIJdTEjMZNcpjsRrGfuqt8IKlU,Cherinchal Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c-PoqwngsGmtqmLzq0N0Tg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=291.8659&pitch=0&thumbfov=100
ChIJdTEjMZNcpjsRrGfuqt8IKlU,Cherinchal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c-PoqwngsGmtqmLzq0N0Tg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=291.8659&pitch=0&thumbfov=100
ChIJ4dXUV2JbpjsR_jFb7vFMUss,Paingottupuram Qadiriyya Juma Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2IrZfOesCs7Zfgukz6dMwg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=106.89433&pitch=0&thumbfov=100
ChIJ4dXUV2JbpjsR_jFb7vFMUss,Paingottupuram Qadiriyya Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2IrZfOesCs7Zfgukz6dMwg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=106.89433&pitch=0&thumbfov=100
ChIJqcmvz9xcpjsRhQeEJej-Zig,Kunnamangalam Mahallu Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNshPjRzPuBncpqGJLz67XDAVjQzNyBgLCdz2Kc=w397-h298-k-no
ChIJqcmvz9xcpjsRhQeEJej-Zig,Kunnamangalam Mahallu Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7ta0GE_wmGafd7g8YcF9GA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=285.0403&pitch=0&thumbfov=100
ChIJcwB6XJhcpjsRx8n5DdtVU00,Eranholi Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rEjsjZLlaTJjcRjIS2V2SA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=138.36035&pitch=0&thumbfov=100
