name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Juma Masjid Kuppam North,Mosque,"382V+CHH Juma Masjid Kuppam North, Poozhikkadavu Road, Kuppam Poozhikkadavu Road, Kuppam, Kerala 670144",,"382V+CHH, Poozhikkadavu Road, Kuppam Poozhikkadavu Road",Kuppam,670144,Kerala,IN,https://www.google.com/maps/place/Juma+Masjid+Kuppam+North/data=!4m7!3m6!1s0x3ba440022ae9bfdf:0xd8ae424436457e12!8m2!3d12.0510537!4d75.3439963!16s%2Fg%2F1hf84x7vq!19sChIJ37_pKgJApDsREn5FNkRCrtg?authuser=0&hl=en&rclk=1,"12.051053699999999,75.3439963"
MASJID - E Bilal Pes Medical College Nalagampalli Kuppam,Mosque,"Q9R7+VHP MASJID - E Bilal Pes Medical College Nalagampalli Kuppam, Krishnagiri - Palamaner Hwy, Nalagampalli, Andhra Pradesh 517425",,"Q9R7+VHP, Krishnagiri - Palamaner Hwy",Nalagampalli,517425,Andhra Pradesh,IN,https://www.google.com/maps/place/MASJID+-+E+Bilal+Pes+Medical+College+Nalagampalli+Kuppam/data=!4m7!3m6!1s0x3badb96cf4ca61ed:0xf4a830de1ac04b6!8m2!3d12.792209!4d78.3639489!16s%2Fg%2F11dx8n4l9y!19sChIJ7WHK9Gy5rTsRtgSs4Q2DSg8?authuser=0&hl=en&rclk=1,"12.792209,78.3639489"
Madeena Majid,Mosque,"Madeena Majid, Palace extension, Kuppam, Andhra Pradesh 517425",Palace extension,,Kuppam,517425,Andhra Pradesh,IN,https://www.google.com/maps/place/Madeena+Majid/data=!4m7!3m6!1s0x3badb834e16f066d:0x9e76b5ce642cf91c!8m2!3d12.7498275!4d78.3372007!16s%2Fg%2F11c6vtzz32!19sChIJbQZv4TS4rTsRHPksZM61dp4?authuser=0&hl=en&rclk=1,"12.749827499999999,78.3372007"
Masjid azam,Mosque,"P8XV+84X Masjid azam, RS Pet, Kuppam, Andhra Pradesh 517425",RS Pet,P8XV+84X,Kuppam,517425,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+azam/data=!4m7!3m6!1s0x3badb9b7c87ffefd:0xa32c3fdd46245413!8m2!3d12.7483659!4d78.3428474!16s%2Fg%2F1tgqgw1_!19sChIJ_f5_yLe5rTsRE1QkRt0_LKM?authuser=0&hl=en&rclk=1,"12.7483659,78.3428474"
Juma Masjid Kuppam,Mosque,"28XW+QJ5 Juma Masjid Kuppam, Kuppam Kadavu Road, Kerala 670144",,"28XW+QJ5, Kuppam Kadavu Road",,670144,Kerala,IN,https://www.google.com/maps/place/Juma+Masjid+Kuppam/data=!4m7!3m6!1s0x3ba440013404b435:0x979538ba8890215b!8m2!3d12.0493922!4d75.346611!16s%2Fg%2F1w0h5ywv!19sChIJNbQENAFApDsRWyGQiLo4lZc?authuser=0&hl=en&rclk=1,"12.0493922,75.346611"
Masjid e Noorani,Mosque,"HHQ5+6HG Masjid e Noorani, Jangalapuram - Attur Kuppam Rd, Athurkuppam, Tamil Nadu 635851",,"HHQ5+6HG, Jangalapuram - Attur Kuppam Rd",Athurkuppam,635851,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+e+Noorani/data=!4m7!3m6!1s0x3badac9bdd42df03:0x89aa47f8b641bf1a!8m2!3d12.5880655!4d78.5589469!16s%2Fg%2F11bysjwqcv!19sChIJA99C3ZusrTsRGr9BtvhHqok?authuser=0&hl=en&rclk=1,"12.588065499999999,78.5589469"
Kuppam Masjid,Mosque,"X59H+H5J Kuppam Masjid, Unnamed Rd, Hanumanthapura, Karnataka 563114",,"X59H+H5J, Unnamed Rd",Hanumanthapura,563114,Karnataka,IN,https://www.google.com/maps/place/Kuppam+Masjid/data=!4m7!3m6!1s0x3bade914de35e7e3:0xd2419c186393d723!8m2!3d12.96895!4d78.1778981!16s%2Fg%2F11b8szjf1g!19sChIJ4-c13hTprTsRI9eTYxicQdI?authuser=0&hl=en&rclk=1,"12.96895,78.1778981"
Masjid-e-muazam,Mosque,"P8VV+W2W Masjid-e-muazam, Kuppam, Chinnakurbalapalle Rural, Andhra Pradesh 517425",,P8VV+W2W,"Kuppam, Chinnakurbalapalle Rural",517425,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid-e-muazam/data=!4m7!3m6!1s0x3badb9b7c87ffefd:0x5c1879c964202d4c!8m2!3d12.744874!4d78.3425671!16s%2Fg%2F1tr8j_qy!19sChIJ_f5_yLe5rTsRTC0gZMl5GFw?authuser=0&hl=en&rclk=1,"12.744874,78.3425671"
Masjid,Mosque,"P8WC+J9W Masjid, Model Colony, Kuppam, Andhra Pradesh 517425",Model Colony,P8WC+J9W,Kuppam,517425,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3badb83ea86c1ed5:0xcfac7ce2f40277f!8m2!3d12.7466065!4d78.3209659!16s%2Fg%2F11f_j21x9q!19sChIJ1R5sqD64rTsRfydAL87H-gw?authuser=0&hl=en&rclk=1,"12.746606499999999,78.32096589999999"
Masjid,Mosque,"RC34+9R2 Masjid, Ganeshpuram, Kuppam, Andhra Pradesh 517425",Ganeshpuram,RC34+9R2,Kuppam,517425,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3badbbc9bdb49b33:0x3cf2aeb635173aa4!8m2!3d12.8033999!4d78.4070217!16s%2Fg%2F11h_1h3_fv!19sChIJM5u0vcm7rTsRpDoXNbau8jw?authuser=0&hl=en&rclk=1,"12.803399899999999,78.4070217"
