place_id,place_name,about,link
ChIJmQZDBRw1nzkRpICSH6ys0l0,Jaama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOBDV9faZYSF1nQgwZilVCLONw6okefzOs7fImA=w224-h298-k-no
ChIJmQZDBRw1nzkRpICSH6ys0l0,Jaama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XVB7xCB0MZCJIVjCagoIsw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.74712&pitch=0&thumbfov=100
ChIJmQZDBRw1nzkRpICSH6ys0l0,Jaama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOKQ4gV0lO8m6KPRwevEX_zwLF64dOpXp4g6_LZ=w224-h398-k-no
ChIJG3bQXRo1nzkRbhwg9Yj1A7I,Hathipur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMJNpexaYMrjbosyzNwCeTPBokt_GkcI_46nvWI=w397-h298-k-no
ChIJG3bQXRo1nzkRbhwg9Yj1A7I,Hathipur Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNs50SJwCOPR9BbIG89Faz39qRLwTz6cub6J-nB=w224-h398-k-no
ChIJ70CDkiQ1nzkR0p9bfuNxXMM,Madina Masjid HidayatNagar Lakhimpur Kheri,All,https://lh5.googleusercontent.com/p/AF1QipN1rsIuPj--o4vIa_OQBHvwFx0v2dWYQaYqPSSc=w224-h298-k-no
ChIJSyLcQiE1nzkR1HDW8pQmcz4,Masjid Kachehari,All,https://lh5.googleusercontent.com/p/AF1QipMjcHs0Ru0gPsP6R1Ju3x0Be4v5uN9197YglRx0=w397-h298-k-no
ChIJSyLcQiE1nzkR1HDW8pQmcz4,Masjid Kachehari,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2o054wr6zHWDjKq-2hWQ6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=301.08957&pitch=0&thumbfov=100
ChIJSyLcQiE1nzkR1HDW8pQmcz4,Masjid Kachehari,Videos,https://lh5.googleusercontent.com/p/AF1QipNdNn6g2FIxjDtJZYKYwTvXVcyiM8MWxF9l7V66=w224-h398-k-no
ChIJS8arUAQ1nzkRwWGpY-pODzA,MASJID OF GOTTAYABAGH,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xt_cNKU-DOU8OGkfIV7zWw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=183.40088&pitch=0&thumbfov=100
ChIJS8arUAQ1nzkRwWGpY-pODzA,MASJID OF GOTTAYABAGH,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xt_cNKU-DOU8OGkfIV7zWw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=183.40088&pitch=0&thumbfov=100
ChIJl58IAh01nzkR1gXdjLQ3Fig,Lakhimpur Mosque (Minara Mosque),All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4W7iKA_109URRoQJ_8sFSw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.0205345&pitch=0&thumbfov=100
ChIJl58IAh01nzkR1gXdjLQ3Fig,Lakhimpur Mosque (Minara Mosque),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4W7iKA_109URRoQJ_8sFSw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.0205345&pitch=0&thumbfov=100
ChIJg2VPMeE0nzkRTKUkWECF7QQ,Badi Masjid Maharaj Nagar Lakhimpur Kheri,All,https://lh5.googleusercontent.com/p/AF1QipOVPDsISz0GqlXeirX53y4liDIGk6Ebr3B0lgbc=w224-h398-k-no
ChIJg2VPMeE0nzkRTKUkWECF7QQ,Badi Masjid Maharaj Nagar Lakhimpur Kheri,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eS8ke1q6YwBKvG_VyjXkNQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=312.8159&pitch=0&thumbfov=100
ChIJg2VPMeE0nzkRTKUkWECF7QQ,Badi Masjid Maharaj Nagar Lakhimpur Kheri,Videos,https://lh5.googleusercontent.com/p/AF1QipMWXQZ0fMQdcnDoZXkX3f3F9FqFCv1Nb6eT574_=w224-h398-k-no
ChIJiTIvwExznzkR8_wD-4SzWEY,Gosiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPcdmEZd-fAIP3M04uqPUyx4ZbtvpWrBQzPSSE7=w529-h298-k-no
ChIJiTIvwExznzkR8_wD-4SzWEY,Gosiya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO3B8eApw0iARQWJ5X_zZW67dpDw6WEPKta8pFT=w224-h398-k-no
ChIJfSwXI680nzkRYzD5jHCAZF0,Kachchi Masjid Shekh Sarain,All,https://lh5.googleusercontent.com/p/AF1QipNxm-y_7MvUr9YSeN_Yur_y3YSJk8BsjPEoz92g=w224-h486-k-no
ChIJfSwXI680nzkRYzD5jHCAZF0,Kachchi Masjid Shekh Sarain,Videos,https://lh5.googleusercontent.com/p/AF1QipPtohIeQq7FKcvqkVR-A8CiIK2pDxlSApv_-dbd=w238-h298-k-no
ChIJI_znc8o1nzkRh9xLERTRE9I,Masjid Devvapur,All,https://lh5.googleusercontent.com/p/AF1QipPcGMqBS1iU7VSt4mHPc78FfiQUeHtkFFN0mKtG=w529-h298-k-no
ChIJI_znc8o1nzkRh9xLERTRE9I,Masjid Devvapur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZxveOWDKcFK8GJ2zFVCJ5g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=176.31746&pitch=0&thumbfov=100
ChIJI_znc8o1nzkRh9xLERTRE9I,Masjid Devvapur,Videos,https://lh5.googleusercontent.com/p/AF1QipOzJ-l5VjXL5h3MNAqZS_8YP9FFLK-4eqcAo68K=w224-h407-k-no
ChIJ2-xgDOI0nzkR67nzS-txYmM,Masjid Shamsher nagar,All,https://lh5.googleusercontent.com/p/AF1QipNMZ76BgKfaf9Y5Yiv74hNJQIImkQy7kA6NaaYM=w224-h298-k-no
ChIJd7vHuQ01nzkRcJGJpuRKjxA,Noori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNf02PQQux603mVsktSCRkRCD4IIbTEJRDpoLqz=w224-h398-k-no
ChIJd7vHuQ01nzkRcJGJpuRKjxA,Noori Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipP_Y-giLm0WvgDV7T0sv6MEJCo7hf0Jm9bxQRa5=w224-h398-k-no
ChIJd7vHuQ01nzkRcJGJpuRKjxA,Noori Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNJ4XpwM7Xt7d2LnyBuJEgyzLVPNA2ZXHz_mcAs=w224-h398-k-no
ChIJd7vHuQ01nzkRcJGJpuRKjxA,Noori Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xvFSd7oKH8PDahDA8FwZ_g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=68.93481&pitch=0&thumbfov=100
