place_id,place_name,about,link
ChIJTbIjKe3I5zsR1q4GMtKXhOk,Taximens Colony Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMq0nkUPU0dGDBGpm4NYr3ixnOSR-mxZ-t1oW89=w530-h298-k-no
ChIJTbIjKe3I5zsR1q4GMtKXhOk,Taximens Colony Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipPXPNJeTaCz_Tai_mZDeraxqjWGxP5tQqQUz_ne=w298-h298-k-no
ChIJTbIjKe3I5zsR1q4GMtKXhOk,Taximens Colony Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipN5VAp31jPufPqVyNWyUf-nNRbDLm30_5VPbL0j=w224-h398-k-no
ChIJTbIjKe3I5zsR1q4GMtKXhOk,Taximens Colony Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kdk9p0FyR4kGgxyYLHJ6gg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=196.00697&pitch=0&thumbfov=100
ChIJA3PvVi-ZyzsRz6DgiayIGZM,Qutub Shahi Masjid quTub shahiy masjid,All,https://lh5.googleusercontent.com/p/AF1QipOZcxpm4nf-2JsOokDnYLVJ1fEsCzoW7fLvk8SV=w529-h298-k-no
ChIJA3PvVi-ZyzsRz6DgiayIGZM,Qutub Shahi Masjid quTub shahiy masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IfRsoblRpXZ3xbOPG4MN1A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=161.31905&pitch=0&thumbfov=100
ChIJA3PvVi-ZyzsRz6DgiayIGZM,Qutub Shahi Masjid quTub shahiy masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPuIKu9g0-5viFjY5QY2LiNnhnLv6gZsrgQr5JE=w224-h398-k-no
ChIJceEn-OGZyzsR7tboTgQ9B_o,Masjid-e-allama anwar shah idara-e-anwarul madaris,All,https://lh5.googleusercontent.com/p/AF1QipM7M9pChFPqzHbGe2AKjZLiHi2pw0xwvFHA0N74=w397-h298-k-no
ChIJceEn-OGZyzsR7tboTgQ9B_o,Masjid-e-allama anwar shah idara-e-anwarul madaris,By owner,https://lh5.googleusercontent.com/p/AF1QipP3Di9eBzTTDcQkkd86liEqUcLmHIiM2guLYQJJ=w224-h298-k-no
ChIJceEn-OGZyzsR7tboTgQ9B_o,Masjid-e-allama anwar shah idara-e-anwarul madaris,Videos,https://lh5.googleusercontent.com/p/AF1QipOkRxoOhvVsawG9zDaVQs_guM7sUnVdU1jOY5O5=w224-h398-k-no
ChIJceEn-OGZyzsR7tboTgQ9B_o,Masjid-e-allama anwar shah idara-e-anwarul madaris,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AQkVo4ONHAs0s2AJAiuokQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=297.27103&pitch=0&thumbfov=100
ChIJK6gdGsXI5zsRZU3Ez8qbkw0,Anjuman Ishlahul Musleemeen Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN3A4fJToAyn7tTvkkCDE6815xQZqxIWS_w445u=w224-h298-k-no
