name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid e AzamGanj - msjdi zmgnj,Mosque,"CH2M+5RQ Masjid e AzamGanj - msjdi zmgnj, Masjid Rd, Ganj Golai, Latur, Maharashtra 413512",Ganj Golai,"CH2M+5RQ, Masjid Rd",Latur,413512,Maharashtra,IN,https://www.google.com/maps/place/Masjid+e+AzamGanj+-+%D9%85%D8%B3%D8%AC%D8%AF%D9%90+%D8%A7%D8%B2%D9%85%DA%AF%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3bcf83983df29c0f:0x2b21303885548254!8m2!3d18.4004579!4d76.584604!16s%2Fg%2F11bvcv6b24!19sChIJD5zyPZiDzzsRVIJUhTgwISs?authuser=0&hl=en&rclk=1,"18.4004579,76.584604"
Sofiya Masjid (Swfyh msjd),Mosque,"Sofiya Masjid (Swfyh msjd), C/o Umardaraj Mukadam, Anand Nagar, Latur, Maharashtra 413512",Anand Nagar,C/o Umardaraj Mukadam,Latur,413512,Maharashtra,IN,https://www.google.com/maps/place/Sofiya+Masjid+%28%D8%B5%D9%88%D9%81%DB%8C%DB%81+%D9%85%D8%B3%D8%AC%D8%AF%29%E2%80%AD/data=!4m7!3m6!1s0x3bcf83a1b4d3e60b:0xa74eafbc43804451!8m2!3d18.3975434!4d76.5926433!16s%2Fg%2F11c4b6qmv7!19sChIJC-bTtKGDzzsRUUSAQ7yvTqc?authuser=0&hl=en&rclk=1,"18.3975434,76.59264329999999"
Chand Tara Masjid (chnd tr msjd),Mosque,"Chand Tara Masjid (chnd tr msjd), Sharda Nagar, Latur, Maharashtra 413512",Sharda Nagar,,Latur,413512,Maharashtra,IN,https://www.google.com/maps/place/Chand+Tara+Masjid+%28%DA%86%D8%A7%D9%86%D8%AF+%D8%AA%D8%A7%D8%B1%D8%A7+%D9%85%D8%B3%D8%AC%D8%AF%29%E2%80%AD/data=!4m7!3m6!1s0x3bcf84752ddc775f:0x4e43a5d29a3ae9df!8m2!3d18.42291!4d76.5720801!16s%2Fg%2F119tqgf_5!19sChIJX3fcLXWEzzsR3-k6mtKlQ04?authuser=0&hl=en&rclk=1,"18.422909999999998,76.5720801"
Makka Masjid - mkhWh msjd,Mosque,"CH2H+4J3 Makka Masjid - mkhWh msjd, Gandhi Market, Sawe Wadi, Latur, Maharashtra 413531","Gandhi Market, Sawe Wadi",CH2H+4J3,Latur,413531,Maharashtra,IN,https://www.google.com/maps/place/Makka+Masjid+-+%D9%85%DA%A9%D9%91%DB%81+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3bcf83966a3c8bd1:0xe9f0d0cd36cd8f28!8m2!3d18.4002651!4d76.5790566!16s%2Fg%2F11cp7rvwqp!19sChIJ0Ys8apaDzzsRKI_NNs3Q8Ok?authuser=0&hl=en&rclk=1,"18.4002651,76.5790566"
"Madina Masjid mdynh msjd(Zohar-2:00, Juma-2:00)",Mosque,"9HX8+MR9 Madina Masjid mdynh msjd(Zohar-2:00, Juma-2:00), Khori Galli, Mitra Nagar, Sawe Wadi, Latur, Maharashtra 413531","Mitra Nagar, Sawe Wadi","9HX8+MR9, Khori Galli",Latur,413531,Maharashtra,IN,"https://www.google.com/maps/place/Madina+Masjid+%D9%85%D8%AF%DB%8C%D9%86%DB%81+%D9%85%D8%B3%D8%AC%D8%AF%28Zohar-2:00,+Juma-2:00%29%E2%80%AD/data=!4m7!3m6!1s0x3bcf83ea17defbdf:0x6bebea3272c0f401!8m2!3d18.3991583!4d76.5671191!16s%2Fg%2F1tj31l0c!19sChIJ3_veF-qDzzsRAfTAcjLq62s?authuser=0&hl=en&rclk=1","18.3991583,76.5671191"
Masjid e Mahboobia - msjdi mHbwbh,Mosque,"CH38+34G Masjid e Mahboobia - msjdi mHbwbh, Sawe Wadi, Latur, Maharashtra 413531",Sawe Wadi,CH38+34G,Latur,413531,Maharashtra,IN,https://www.google.com/maps/place/Masjid+e+Mahboobia+-+%D9%85%D8%B3%D8%AC%D8%AF%D9%90+%D9%85%D8%AD%D8%A8%D9%88%D8%A8%DB%81%E2%80%AD/data=!4m7!3m6!1s0x3bcf83e94fbf9847:0x66c6ee4e851b8c30!8m2!3d18.4026766!4d76.5653415!16s%2Fg%2F11d_9gsmm6!19sChIJR5i_T-mDzzsRMIwbhU7uxmY?authuser=0&hl=en&rclk=1,"18.4026766,76.5653415"
Masjid Al Riyaz - msjd l ryD,Mosque,"Masjid Al Riyaz - msjd l ryD, Riyaz Colony, Take Nagar, Latur, Maharashtra 413531",Take Nagar,Riyaz Colony,Latur,413531,Maharashtra,IN,https://www.google.com/maps/place/Masjid+Al+Riyaz+-+%D9%85%D8%B3%D8%AC%D8%AF+%D8%A7%D9%84+%D8%B1%DB%8C%D8%A7%D8%B6%E2%80%AD/data=!4m7!3m6!1s0x3bcf83ee4a6fa951:0xdd8cb3bfe8fb3436!8m2!3d18.4072651!4d76.5645033!16s%2Fg%2F11g9q5lgfw!19sChIJUalvSu6DzzsRNjT76L-zjN0?authuser=0&hl=en&rclk=1,"18.4072651,76.5645033"
Masjid-e-Tek - msjdi ttykh,Mosque,"9HXG+X56 Masjid-e-Tek - msjdi ttykh, Sawe Wadi, Latur, Maharashtra 413531",Sawe Wadi,9HXG+X56,Latur,413531,Maharashtra,IN,https://www.google.com/maps/place/Masjid-e-Tek+-+%D9%85%D8%B3%D8%AC%D8%AF%D9%90+%D9%B9%DB%8C%DA%A9%E2%80%AD/data=!4m7!3m6!1s0x3bcf8395bc84679f:0xddfdde44130fd75!8m2!3d18.3999014!4d76.5753879!16s%2Fg%2F11c0qksdvf!19sChIJn2eEvJWDzzsRdf0wQeTd3w0?authuser=0&hl=en&rclk=1,"18.399901399999997,76.5753879"
Markaz masjid Latur (mrkhz msjd),Mosque,"CH2M+5WQ Markaz masjid Latur (mrkhz msjd), Ganj Golai, Latur, Maharashtra 413512",Ganj Golai,CH2M+5WQ,Latur,413512,Maharashtra,IN,https://www.google.com/maps/place/Markaz+masjid+Latur+%28%D9%85%D8%B1%DA%A9%D8%B2+%D9%85%D8%B3%D8%AC%D8%AF%29%E2%80%AD/data=!4m7!3m6!1s0x3bcf83625278d2b3:0xc50f7dc8fae3dcd5!8m2!3d18.4004595!4d76.5848471!16s%2Fg%2F11plw2bzs6!19sChIJs9J4UmKDzzsR1dzj-sh9D8U?authuser=0&hl=en&rclk=1,"18.4004595,76.58484709999999"
Masjid-E-Bilal(IslamPura) - msjdi bll slmpr,Mosque,"9HVW+F42 Masjid-E-Bilal(IslamPura) - msjdi bll slmpr, Anand Nagar, Latur, Maharashtra 413512",Anand Nagar,9HVW+F42,Latur,413512,Maharashtra,IN,https://www.google.com/maps/place/Masjid-E-Bilal%28IslamPura%29+-+%D9%85%D8%B3%D8%AC%D8%AF%D9%90+%D8%A8%D9%84%D8%A7%D9%84+%D8%A7%D8%B3%D9%84%D9%85%D9%BE%D8%B1%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3bcf8309fefc793d:0xd98c62ea73778aea!8m2!3d18.3936465!4d76.5952682!16s%2Fg%2F11g87dly2_!19sChIJPXn8_gmDzzsR6op3c-pijNk?authuser=0&hl=en&rclk=1,"18.3936465,76.59526819999999"
