name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Ishaat e Islam Masjid - sh`t  slm msjd,Mosque,"Ishaat e Islam Masjid - sh`t  slm msjd, Ishat E Islam, Hari Kothi Rd, Abul Fazal Enclave Part 1, Abul Fazal Enclave, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Abul Fazal Enclave Part 1, Abul Fazal Enclave, Jamia Nagar, Okhla","Ishat E Islam, Hari Kothi Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Ishaat+e+Islam+Masjid+-+%D8%A7%D8%B4%D8%A7%D8%B9%D8%AA+%D8%A1+%D8%A7%D8%B3%D9%84%D8%A7%D9%85+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390ce40c2ff9b231:0x608aa5b5af203426!8m2!3d28.5567717!4d77.2942062!16s%2Fg%2F1tvt8qxd!19sChIJMbL5LwzkDDkRJjQgr7WlimA?authuser=0&hl=en&rclk=1,"28.5567717,77.29420619999999"
Jama Masjid (Okhla),Mosque,"Jama Masjid (Okhla), 21/4,Okhla Bazar, Okhla Main Market Rd, Jamia Nagar, Okhla Village, Okhla, New Delhi, Delhi 110025","Jamia Nagar, Okhla Village, Okhla","21/4,Okhla Bazar, Okhla Main Market Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid+%28Okhla%29/data=!4m7!3m6!1s0x390ce474e657e7f9:0x9680577c25554efa!8m2!3d28.5631627!4d77.2900565!16s%2Fg%2F1tk6ywjp!19sChIJ-edX5nTkDDkR-k5VJXxXgJY?authuser=0&hl=en&rclk=1,"28.5631627,77.29005649999999"
Rabia Masjid (Jamia Hamdard),Mosque,"Rabia Masjid (Jamia Hamdard), Rabia Masjid, Hamdard Nagar, New Delhi, Delhi 110062",Hamdard Nagar,Rabia Masjid,New Delhi,110062,Delhi,IN,https://www.google.com/maps/place/Rabia+Masjid+%28Jamia+Hamdard%29/data=!4m7!3m6!1s0x390ce171fd50237d:0xce4e2bf10a8dca8b!8m2!3d28.5183137!4d77.2520345!16s%2Fg%2F1hm348c90!19sChIJfSNQ_XHhDDkRi8qNCvErTs4?authuser=0&hl=en&rclk=1,"28.5183137,77.2520345"
Al Noor Masjid,Mosque,"Al Noor Masjid, Nafees Rd, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Batla House, Jamia Nagar, Okhla",Nafees Rd,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Al+Noor+Masjid/data=!4m7!3m6!1s0x390ce476496a23f3:0xa12d95c7c3bb68ab!8m2!3d28.569068!4d77.2862973!16s%2Fg%2F1tg_7v_w!19sChIJ8yNqSXbkDDkRq2i7w8eVLaE?authuser=0&hl=en&rclk=1,"28.569067999999998,77.2862973"
Tayyab Masjid,Mosque,"Tayyab Masjid, Rose Apartment c-310/311, abulfazal enclave , THOKAR no.08, Shaheen Bagh, Jamia Nagar, Jasola, New Delhi, Delhi 110025","Shaheen Bagh, Jamia Nagar, Jasola","Rose Apartment c-310/311, abulfazal enclave , THOKAR no.08",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Tayyab+Masjid/data=!4m7!3m6!1s0x390ce41be7fa0e79:0xf5aab92c434b57cd!8m2!3d28.5468755!4d77.3030481!16s%2Fg%2F124yqskq9!19sChIJeQ765xvkDDkRzVdLQyy5qvU?authuser=0&hl=en&rclk=1,"28.5468755,77.3030481"
Islah Masjid,Mosque,"H79M+M6V Islah Masjid, Sir Syed Lane, Block G, Jogabai Extension, Jamia Nagar, Okhla, Delhi 110025","Jogabai Extension, Jamia Nagar, Okhla","H79M+M6V, Sir Syed Lane, Block G",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Islah+Masjid/data=!4m7!3m6!1s0x390ce3890763905d:0x405299a9a2d4dccb!8m2!3d28.569244!4d77.28306!16s%2Fg%2F1tqcjldp!19sChIJXZBjB4njDDkRy9zUoqmZUkA?authuser=0&hl=en&rclk=1,"28.569243999999998,77.28305999999999"
Masjid Ali R.A,Mosque,"Masjid Ali R.A, 15, Knowledge Park I, Greater Noida, Uttar Pradesh 201310",Knowledge Park I,15,Greater Noida,201310,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Ali+R.A/data=!4m7!3m6!1s0x390cea712b4acbfb:0xc448f9c2a131d33c!8m2!3d28.4721947!4d77.501467!16s%2Fg%2F11cks1l7jj!19sChIJ-8tKK3HqDDkRPNMxocL5SMQ?authuser=0&hl=en&rclk=1,"28.4721947,77.50146699999999"
Noor Masjid,Mosque,"H73X+CHG Noor Masjid, Kalindi Kunj Rd, Abul Fazal Enclave Part 1, Block J, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Abul Fazal Enclave Part 1, Block J, Jamia Nagar, Okhla","H73X+CHG, Kalindi Kunj Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Noor+Masjid/data=!4m7!3m6!1s0x390ce4103435d885:0x70062933e057a0e8!8m2!3d28.5535535!4d77.2989652!16s%2Fg%2F11btvb5bqr!19sChIJhdg1NBDkDDkR6KBX4DMpBnA?authuser=0&hl=en&rclk=1,"28.5535535,77.2989652"
Chhappar Wali Masjid,Mosque,"Chhappar Wali Masjid, 48, Okhla Rd, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Jamia Nagar, Okhla","48, Okhla Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Chhappar+Wali+Masjid/data=!4m7!3m6!1s0x390ce47512f9ba69:0xdab55473377f5c32!8m2!3d28.5632638!4d77.2880895!16s%2Fg%2F11cn9tyv1h!19sChIJabr5EnXkDDkRMlx_N3NUtdo?authuser=0&hl=en&rclk=1,"28.563263799999998,77.2880895"
Masjid Umar,Mosque,"Masjid Umar, H Block, Abul Fazal Enclave, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Abul Fazal Enclave, Jamia Nagar, Okhla",H Block,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Umar/data=!4m7!3m6!1s0x390ce40e52efde7f:0x5e0487c814d4c357!8m2!3d28.5535005!4d77.2956955!16s%2Fg%2F11b6snzn79!19sChIJf97vUg7kDDkRV8PUFMiHBF4?authuser=0&hl=en&rclk=1,"28.5535005,77.2956955"
Masjid and Madarsa,Mosque,"H78P+G28 Masjid and Madarsa, Jamia, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Jamia, Batla House, Jamia Nagar, Okhla",H78P+G28,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+and+Madarsa/data=!4m7!3m6!1s0x390ce38a18a5d97f:0xdcfc61f3d0f88168!8m2!3d28.5662905!4d77.2850829!16s%2Fg%2F1hg4wfd46!19sChIJf9mlGIrjDDkRaIH40PNh_Nw?authuser=0&hl=en&rclk=1,"28.566290499999997,77.28508289999999"
Dibiya wali Masjid,Mosque,"G54H+M78 Dibiya wali Masjid, Mehrauli-Gurgaon Road, M G Road, Dr Ambedkar Colony, Chhatarpur, New Delhi, Delhi 110030","Dr Ambedkar Colony, Chhatarpur","G54H+M78, Mehrauli-Gurgaon Road, M G Road",New Delhi,110030,Delhi,IN,https://www.google.com/maps/place/Dibiya+wali+Masjid/data=!4m7!3m6!1s0x390d1e16e71c9d4d:0x176d7f6163772932!8m2!3d28.5091206!4d77.1796709!16s%2Fg%2F119w0d7q4!19sChIJTZ0c5xYeDTkRMil3Y2F_bRc?authuser=0&hl=en&rclk=1,"28.5091206,77.17967089999999"
Masjid Umar ibn Khattab Ahle Hadees,Mosque,"G8X3+2R4 Masjid Umar ibn Khattab Ahle Hadees, Kalindi Kunj Rd, Shaheen Bagh, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Shaheen Bagh, Jamia Nagar, Okhla","G8X3+2R4, Kalindi Kunj Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Umar+ibn+Khattab+Ahle+Hadees/data=!4m7!3m6!1s0x390ce4196e33e035:0x7187e898e383e521!8m2!3d28.5475049!4d77.3045864!16s%2Fg%2F11ddwvd6j7!19sChIJNeAzbhnkDDkRIeWD45joh3E?authuser=0&hl=en&rclk=1,"28.5475049,77.30458639999999"
Masjid Alishan `lyshn msjd,Mosque,"H74P+4C2 Masjid Alishan `lyshn msjd, Ajmal Bagh, Noor Nagar Extn I, Noor Nagar, Okhla, New Delhi, Delhi 110025","Ajmal Bagh, Noor Nagar Extn I, Noor Nagar, Okhla",H74P+4C2,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Alishan+%D8%B9%D8%A7%D9%84%DB%8C%D8%B4%D8%A7%D9%86+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390ce3f602454533:0xcfc3736868fe546a!8m2!3d28.5552743!4d77.2860168!16s%2Fg%2F1ptvvnp64!19sChIJM0VFAvbjDDkRalT-aGhzw88?authuser=0&hl=en&rclk=1,"28.555274299999997,77.2860168"
Ilahi Masjid,Mosque,"J8HW+HR5 Ilahi Masjid, Makanpur Colony, Sector 62A, Noida, Uttar Pradesh 201010","Makanpur Colony, Sector 62A",J8HW+HR5,Noida,201010,Uttar Pradesh,IN,https://www.google.com/maps/place/Ilahi+Masjid/data=!4m7!3m6!1s0x390ce53170e3bd5d:0xfbf82c09cfa6d3aa!8m2!3d28.6288947!4d77.3471098!16s%2Fg%2F11d_7y8d1z!19sChIJXb3jcDHlDDkRqtOmzwks-Ps?authuser=0&hl=en&rclk=1,"28.6288947,77.3471098"
Masjid Afzal Minar,Mosque,"Masjid Afzal Minar, TA-50, Gali Number 3, Tughlakabad Extension, Tughlakabad, New Delhi, Delhi 110019","Tughlakabad Extension, Tughlakabad","TA-50, Gali Number 3",New Delhi,110019,Delhi,IN,https://www.google.com/maps/place/Masjid+Afzal+Minar/data=!4m7!3m6!1s0x390ce165d8e363bf:0xf2280e1110854801!8m2!3d28.5252191!4d77.2579255!16s%2Fg%2F1pv1y5twp!19sChIJv2Pj2GXhDDkRAUiFEBEOKPI?authuser=0&hl=en&rclk=1,"28.525219099999997,77.2579255"
Jama Masjid (Batla House),Mosque,"H, Jama Masjid (Batla House), 334, 7, Street Number 6, Batla House, Okhla, New Delhi, Delhi 110025","Jamia, Batla House, Jamia Nagar, Okhla","H, 334, 7, Street Number 6",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid+%28Batla+House%29/data=!4m7!3m6!1s0x390ce3207d46fe8f:0xe6bf4d1a3f6d4108!8m2!3d28.5661636!4d77.2851632!16s%2Fg%2F11llyqcllh!19sChIJj_5GfSDjDDkRCEFtPxpNv-Y?authuser=0&hl=en&rclk=1,"28.5661636,77.2851632"
Lal Masjid,Mosque,"Lal Masjid, Ward No 6, Desu Colony, Vasant Kunj, New Delhi, Delhi 110030","Ward No 6, Aam Bagh, Desu Colony, Mehrauli","Ward No 6, Desu Colony, Vasant Kunj",New Delhi,110030,Delhi,IN,https://www.google.com/maps/place/Lal+Masjid/data=!4m7!3m6!1s0x390d1e115ed5733d:0x12d3b076db603f06!8m2!3d28.5116544!4d77.1774587!16s%2Fg%2F11bxdzbcc9!19sChIJPXPVXhEeDTkRBj9g23aw0xI?authuser=0&hl=en&rclk=1,"28.511654399999998,77.1774587"
