place_id,place_name,about,link
ChIJBwS4Wd0jizkRHzaThCQUHYw,MADARSA AMIN-E-SHARIYAT RAZA-E-MUSTAFA TRUST LOHARDAGA,All,https://lh5.googleusercontent.com/p/AF1QipPU73WNo1Cv0aCUBW5ib7J06OmORBuC80oE5qhC=w529-h298-k-no
ChIJBwS4Wd0jizkRHzaThCQUHYw,MADARSA AMIN-E-SHARIYAT RAZA-E-MUSTAFA TRUST LOHARDAGA,By owner,https://lh5.googleusercontent.com/p/AF1QipNvmpNFmyoekms15HbU_94axxvxk3Le_7HLIBUa=w224-h400-k-no
ChIJBwS4Wd0jizkRHzaThCQUHYw,MADARSA AMIN-E-SHARIYAT RAZA-E-MUSTAFA TRUST LOHARDAGA,Videos,https://lh5.googleusercontent.com/p/AF1QipMCdZlKo1rhnzwewFxOrscLzmXi1Hm0Edq0OhxG=w224-h398-k-no
ChIJy_gvdHwjizkROV0sMwJVDOI,Bangle Wali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM_zfj7ZeAx4Uqb9ZYXg2ERlJJLVyMG5WaPH5Mi=w224-h298-k-no
ChIJy_gvdHwjizkROV0sMwJVDOI,Bangle Wali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j-7EJd3SaVU_tF7KujBukw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=309.24222&pitch=0&thumbfov=100
ChIJof9SN3kjizkRSwudSssPytw,Moti Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM_IijPNVN986LpjI5QDBg_Sh0BeUqc3qlX1lgo=w293-h298-k-no
ChIJof9SN3kjizkRSwudSssPytw,Moti Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipM_IijPNVN986LpjI5QDBg_Sh0BeUqc3qlX1lgo=w293-h298-k-no
ChIJof9SN3kjizkRSwudSssPytw,Moti Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nsYaOLGx9acVDYOchzyS0Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=293.4512&pitch=0&thumbfov=100
ChIJQaVYRngjizkR_oJvQCKRKCs,Baba Dukkhan Shah Dargah,All,https://lh5.googleusercontent.com/p/AF1QipNGtEzAhevycY8d1_QZombOSYJjcXVkQwmWO3Au=w224-h502-k-no
ChIJQaVYRngjizkR_oJvQCKRKCs,Baba Dukkhan Shah Dargah,Dome,https://lh5.googleusercontent.com/p/AF1QipP86DkWMroI5I4SlORzy-JsKbd7U9myr7-r1bJI=w587-h298-k-no
ChIJQaVYRngjizkR_oJvQCKRKCs,Baba Dukkhan Shah Dargah,Videos,https://lh5.googleusercontent.com/p/AF1QipMIBfyMh4oP6h9pJ0SSV2aUpts15erCrlT1IA6N=w529-h298-k-no
ChIJQaVYRngjizkR_oJvQCKRKCs,Baba Dukkhan Shah Dargah,By owner,https://lh5.googleusercontent.com/p/AF1QipO9NjKL3-isJb8tKY85QlSeF_u2tb8D6s5_CZ0p=w224-h398-k-no
ChIJ-eEllHwjizkR-c7JPA0GbPg,Masjid-E-Aala Hazrat,All,https://lh5.googleusercontent.com/p/AF1QipPIgb1xa0S3iP4l-2Ow02_HXvpgCuyzSlWsZNJ3=w525-h298-k-no
ChIJ-eEllHwjizkR-c7JPA0GbPg,Masjid-E-Aala Hazrat,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S48pKOoXkGquqC8jGajyxg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=329.10226&pitch=0&thumbfov=100
ChIJ-eEllHwjizkR-c7JPA0GbPg,Masjid-E-Aala Hazrat,Videos,https://lh5.googleusercontent.com/p/AF1QipPPd-4pucH0s0Npt7Jjh-1juBRrJr7G_VUnKL0T=w525-h298-k-no
ChIJV5t0p3EjizkRTSd_Fj8H12o,Eidgah Lohardaga,All,https://lh5.googleusercontent.com/p/AF1QipPleesImqvDFuo48Z4nt6jlAJaOtHVRg5L1yWi_=w397-h298-k-no
ChIJV5t0p3EjizkRTSd_Fj8H12o,Eidgah Lohardaga,By owner,https://lh5.googleusercontent.com/p/AF1QipMcXcuqj34xjh4AAuHKo3zhg3xZXNbGSyFobjyY=w397-h298-k-no
ChIJV5t0p3EjizkRTSd_Fj8H12o,Eidgah Lohardaga,Videos,https://lh5.googleusercontent.com/p/AF1QipPwOyleJGkTupakx4immPda_3BZ31F4uXfq28r9=w224-h398-k-no
ChIJV5t0p3EjizkRTSd_Fj8H12o,Eidgah Lohardaga,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IBOVGv4UWqY81OoMrSyOsQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=228.5604&pitch=0&thumbfov=100
ChIJCwvNNnojizkRPAnGXbIBN98,Masjid-e Quraish,All,https://lh5.googleusercontent.com/p/AF1QipPHz5xkpqA0tjMnUhH-apmlsVOpaX02NStEjSrY=w529-h298-k-no
ChIJCwvNNnojizkRPAnGXbIBN98,Masjid-e Quraish,Dome,https://lh5.googleusercontent.com/p/AF1QipP6eF5Xg_gxLig-XppxXnLpxmHYIuzArnVXxNkF=w224-h398-k-no
ChIJCwvNNnojizkRPAnGXbIBN98,Masjid-e Quraish,Videos,https://lh5.googleusercontent.com/p/AF1QipMdayYq86RyuJwMlhZPX5L0Qz-GMULANXit69EP=w224-h398-k-no
ChIJCwvNNnojizkRPAnGXbIBN98,Masjid-e Quraish,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QR6aYt2ezl-KrXzfpnjgkg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=233.5938&pitch=0&thumbfov=100
ChIJOR-fR38jizkRb4dO_Tafcks,Bilal Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C7Mev3FyHFvpLGFuSbLLsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=138.72934&pitch=0&thumbfov=100
ChIJOR-fR38jizkRb4dO_Tafcks,Bilal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C7Mev3FyHFvpLGFuSbLLsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=138.72934&pitch=0&thumbfov=100
ChIJbccLVCMjizkR8O2vZlTmgNI,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO3ilLegUBs9WdFR7eJEnRNhrlkk2PL5gDWbT62=w224-h298-k-no
ChIJbccLVCMjizkR8O2vZlTmgNI,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNR-cwFqUXLS7ePc7HZN2Iy7SgKe3G8u-ZzO2HA=w224-h398-k-no
ChIJbccLVCMjizkR8O2vZlTmgNI,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOQDZMRsbjRNJZuo4I6AvyZQFmsB3PlxQYA46W5=w530-h298-k-no
ChIJbccLVCMjizkR8O2vZlTmgNI,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP7h6WUtOSkfQxj47avbxmw17CEAj0n-C7tPdcy=w290-h298-k-no
ChIJe8zgCX8jizkR7IF9DX_mSAs,Masjid-e-Hamza,All,https://lh5.googleusercontent.com/p/AF1QipNvaeDqx69qmUxw9ja-LXW7mJQ_ptv66i3OD3gU=w647-h298-k-no
ChIJl39CyYMjizkRUWCR0CggM8k,Masjid UMAR BIN KHATTAB (R.Z),All,https://lh5.googleusercontent.com/p/AF1QipPXVQeLGzDD8VOWmxtGSTnqrFNiF0Pbo0gVOnl-=w398-h298-k-no
ChIJl39CyYMjizkRUWCR0CggM8k,Masjid UMAR BIN KHATTAB (R.Z),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gEJzPhBXUqkRUcc40rPyzg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=296.61462&pitch=0&thumbfov=100
ChIJvYEisugjizkRCoFg1yFdvlA,Tazul Munir Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP6mY8stXHEelswbRrZwaEYNMSwR_pBNVfFDq6l=w224-h336-k-no
ChIJ_QdLSH8jizkRar0-WWbErzc,Masjid E Faizan,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C7Mev3FyHFvpLGFuSbLLsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=261.6139&pitch=0&thumbfov=100
ChIJ_QdLSH8jizkRar0-WWbErzc,Masjid E Faizan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C7Mev3FyHFvpLGFuSbLLsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=261.6139&pitch=0&thumbfov=100
ChIJv5izANojizkRZhKfGMJ4EXQ,Goushiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMiRaibz1NtLMAZxMApIopxwBMq0hmQKY_1jW0Q=w541-h298-k-no
ChIJv5izANojizkRZhKfGMJ4EXQ,Goushiya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMiRaibz1NtLMAZxMApIopxwBMq0hmQKY_1jW0Q=w541-h298-k-no
ChIJkcPhbUYlizkRVyfIB_D4mHo,Masjid e Ambiya,All,https://lh5.googleusercontent.com/p/AF1QipNBzaauo4cFDcj5NrKJkqOepBsGpHxHdsk7GXoE=w395-h298-k-no
ChIJkcPhbUYlizkRVyfIB_D4mHo,Masjid e Ambiya,Videos,https://lh5.googleusercontent.com/p/AF1QipPnuk6VYV6UhU5gDkaamCpap9Z7Ykzo-5mP6z-D=w224-h398-k-no
ChIJ_3l2-LwjizkRVcBK0iYk85Y,Markazi Masjid Raza E Mustafa,All,https://lh5.googleusercontent.com/p/AF1QipMVF6P-t_O-SZFPVcPo-xqjbvLE4T1OYwsGq6Kk=w395-h298-k-no
ChIJ_3l2-LwjizkRVcBK0iYk85Y,Markazi Masjid Raza E Mustafa,Dome,https://lh5.googleusercontent.com/p/AF1QipP_V4yXjFiftb_LolN4Ea-8h_MIBPcLoWr_uL7a=w224-h298-k-no
ChIJ_3l2-LwjizkRVcBK0iYk85Y,Markazi Masjid Raza E Mustafa,Videos,https://lh5.googleusercontent.com/p/AF1QipPyYsW4WZh8YBEhHabh_aBbr8mB8g-6YQQV9tXY=w224-h398-k-no
ChIJd4ez5nsjizkRj3_aeqr6g2I,Masjid e Rashid,All,https://lh5.googleusercontent.com/p/AF1QipPuMzw39p-i4AhFqgyhSP9mpp9eikiE_L0-PQl6=w529-h298-k-no
ChIJi2VmBXcjizkRmvZPw0XdgZU,Masjid-E-Garib Nawaz,All,https://lh5.googleusercontent.com/p/AF1QipNKmw-4fhyd7lpJgf8TSW9IeEVai2Z-UIxtm5QP=w529-h298-k-no
ChIJa-0iss0lizkRbOEA0s-rQ64,Masjid E AuLiya (Al-Sunni -Jamat),All,https://lh5.googleusercontent.com/p/AF1QipNvmIk0QNGQqQAozXHMG9melmCqEsBnMY9IYvtL=w224-h497-k-no
ChIJa-0iss0lizkRbOEA0s-rQ64,Masjid E AuLiya (Al-Sunni -Jamat),Videos,https://lh5.googleusercontent.com/p/AF1QipPHFkSQ5ulrP42g07rDqR0aNYGxqAl8uk4E2ib1=w529-h298-k-no
ChIJcYXbzjwlizkRbYrCB5o9k0o,Masjid E Raza Manho Nawa Toli,All,https://lh5.googleusercontent.com/p/AF1QipMQeemKkTug8rA9iZZwE46gfinaZS2SVWjJ3fAP=w224-h398-k-no
ChIJcYXbzjwlizkRbYrCB5o9k0o,Masjid E Raza Manho Nawa Toli,Videos,https://lh5.googleusercontent.com/p/AF1QipPeqU5leIxsBGG4sBs2VRdH_3GqGbi0ewlWqIiK=w224-h395-k-no
ChIJ1c0yvz8jizkRbVZ9L7Y_yJo,Masjid E Gharib Nawaz,All,https://lh5.googleusercontent.com/p/AF1QipNxbr0zn77V7GHttQ2E72LIM0hLZGu-4dE4ZSNl=w397-h298-k-no
ChIJ1c0yvz8jizkRbVZ9L7Y_yJo,Masjid E Gharib Nawaz,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=725Jj_TXukwN8inzcm4z9w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=53.141254&pitch=0&thumbfov=100
