name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Makkha Masjid Dheenul Islam Sunnath Jama-Ath,Mosque,"3, Makkha Masjid Dheenul Islam Sunnath Jama-Ath, Makkah Masjid Rd, Sundarapuram, Coimbatore, Kurichi, Tamil Nadu 641024",Sundarapuram,"3, Makkah Masjid Rd","Coimbatore, Kurichi",641024,Tamil Nadu,IN,https://www.google.com/maps/place/Makkha+Masjid+Dheenul+Islam+Sunnath+Jama-Ath/data=!4m7!3m6!1s0x3ba85a312b9c0963:0xc9178239e1529308!8m2!3d10.9534341!4d76.9726083!16s%2Fg%2F1thzs6y3!19sChIJYwmcKzFaqDsRCJNS4TmCF8k?authuser=0&hl=en&rclk=1,"10.953434099999999,76.97260829999999"
Ansari Sunathi Jamathi Mathena Masjid,Mosque,"WXPF+G39 Ansari Sunathi Jamathi Mathena Masjid, Madukkarai Main Rd, SIDCO Private Industrial Estate, Kurichi, Coimbatore, Tamil Nadu 641021",SIDCO Private Industrial Estate,"WXPF+G39, Madukkarai Main Rd","Kurichi, Coimbatore",641021,Tamil Nadu,IN,https://www.google.com/maps/place/Ansari+Sunathi+Jamathi+Mathena+Masjid/data=!4m7!3m6!1s0x3ba85a51d399049d:0xfe6c92a29e2e509b!8m2!3d10.9362806!4d76.9727357!16s%2Fg%2F11b5pm1yd4!19sChIJnQSZ01FaqDsRm1AunqKSbP4?authuser=0&hl=en&rclk=1,"10.9362806,76.9727357"
Mettankadu ahlu sunnath val jama ath Masjid,Mosque,"VXX3+RG2 Mettankadu ahlu sunnath val jama ath Masjid, Coimbatore, Mettankadu, Madukkarai, Tamil Nadu 641105",Mettankadu,"VXX3+RG2, Coimbatore",Madukkarai,641105,Tamil Nadu,IN,https://www.google.com/maps/place/Mettankadu+ahlu+sunnath+val+jama+ath+Masjid/data=!4m7!3m6!1s0x3ba85b23246c5741:0xfd304d14558ade0f!8m2!3d10.8995111!4d76.9537783!16s%2Fg%2F11fylyy92h!19sChIJQVdsJCNbqDsRD96KVRRNMP0?authuser=0&hl=en&rclk=1,"10.8995111,76.9537783"
Hidayathul Islam Sunnath Jamath Mosque,Mosque,"WX52+744 Hidayathul Islam Sunnath Jamath Mosque, Muslim colony, Madukkarai, Tamil Nadu 641105",Muslim colony,WX52+744,Madukkarai,641105,Tamil Nadu,IN,https://www.google.com/maps/place/Hidayathul+Islam+Sunnath+Jamath+Mosque/data=!4m7!3m6!1s0x3ba85b10d345c2ab:0x9f1385b88cbe945c!8m2!3d10.9081355!4d76.9503276!16s%2Fg%2F11b6d4bqv2!19sChIJq8JF0xBbqDsRXJS-jLiFE58?authuser=0&hl=en&rclk=1,"10.9081355,76.9503276"
NajmulHudha Shafia Sunnath val Jamaath - Sugunapuram,Mosque,"WXP4+5XJ NajmulHudha Shafia Sunnath val Jamaath - Sugunapuram, Sugunapuram, Madukkarai, Tamil Nadu 641008",Sugunapuram,WXP4+5XJ,Madukkarai,641008,Tamil Nadu,IN,https://www.google.com/maps/place/NajmulHudha+Shafia+Sunnath+val+Jamaath+-+Sugunapuram/data=!4m7!3m6!1s0x3ba85bae19960075:0x662f4b9d933cd8fa!8m2!3d10.9354548!4d76.9573751!16s%2Fg%2F12lkxdtrl!19sChIJdQCWGa5bqDsR-tg8k51LL2Y?authuser=0&hl=en&rclk=1,"10.935454799999999,76.9573751"
TNTJ Sugunapuram,Mosque,"WXP4+2XQ TNTJ Sugunapuram, Sugunapuram, Madukkarai, Tamil Nadu 641008",Sugunapuram,WXP4+2XQ,Madukkarai,641008,Tamil Nadu,IN,https://www.google.com/maps/place/TNTJ+Sugunapuram/data=!4m7!3m6!1s0x3ba85b8d6ebfbc11:0xc96bdb6dd7f7a1e8!8m2!3d10.9350959!4d76.9574724!16s%2Fg%2F11j2x_gd43!19sChIJEby_bo1bqDsR6KH3123ba8k?authuser=0&hl=en&rclk=1,"10.9350959,76.9574724"
Ahle Sunnath Jamath Dhakkini Masjid,Mosque,"XX36+C5H Ahle Sunnath Jamath Dhakkini Masjid, Edayarpalayam, Kurichi, Kuniyamuthur, Tamil Nadu 641008",Edayarpalayam,XX36+C5H,"Kurichi, Kuniyamuthur",641008,Tamil Nadu,IN,https://www.google.com/maps/place/Ahle+Sunnath+Jamath+Dhakkini+Masjid/data=!4m7!3m6!1s0x3ba85bae3ebd339d:0xfaa5220948c15178!8m2!3d10.9535536!4d76.9604925!16s%2Fg%2F11t_zjybql!19sChIJnTO9Pq5bqDsReFHBSAkipfo?authuser=0&hl=en&rclk=1,"10.9535536,76.9604925"
Noorul Islam Hanafi Sunnath Jamaath - Sugunapuram,Mosque,"WXM5+M2C Noorul Islam Hanafi Sunnath Jamaath - Sugunapuram, Sugunapuram, Madukkarai, Tamil Nadu 641008",Sugunapuram,WXM5+M2C,Madukkarai,641008,Tamil Nadu,IN,https://www.google.com/maps/place/Noorul+Islam+Hanafi+Sunnath+Jamaath+-+Sugunapuram/data=!4m7!3m6!1s0x3ba85bae692c2153:0xcb24e1f74d00bdb0!8m2!3d10.9341835!4d76.9575201!16s%2Fg%2F12ll2jj1p!19sChIJUyEsaa5bqDsRsL0ATffhJMs?authuser=0&hl=en&rclk=1,"10.9341835,76.9575201"
Masjid(Muslim Mosque),Mosque,"WXJ7+P9V Masjid(Muslim Mosque), Sugunapuram, Madukkarai, Tamil Nadu 641008",Sugunapuram,WXJ7+P9V,Madukkarai,641008,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid%28Muslim+Mosque%29/data=!4m7!3m6!1s0x3ba85bacb99d0337:0xf6f9a5b7e492ebf4!8m2!3d10.9318567!4d76.9634161!16s%2Fg%2F11h9x2_2l1!19sChIJNwOduaxbqDsR9OuS5Lel-fY?authuser=0&hl=en&rclk=1,"10.931856699999999,76.9634161"
Mosque Echanari,Mosque,"WX8F+CPR Mosque Echanari, Eachanari - Madukkarai Rd, Madukkarai, Tamil Nadu 641021",,"WX8F+CPR, Eachanari - Madukkarai Rd",Madukkarai,641021,Tamil Nadu,IN,https://www.google.com/maps/place/Mosque+Echanari/data=!4m7!3m6!1s0x3ba85b7420c1d369:0x541eda3f7a7bf13!8m2!3d10.9161041!4d76.974262!16s%2Fg%2F11q34_2n02!19sChIJadPBIHRbqDsRE7-n96PtQQU?authuser=0&hl=en&rclk=1,"10.9161041,76.974262"
Masjid Maryam TNTJ Mattangadu Madukkarai,Mosque,"WX23+5FJ Masjid Maryam TNTJ Mattangadu Madukkarai, Mettankadu, Madukkarai, Tamil Nadu 641105",Mettankadu,WX23+5FJ,Madukkarai,641105,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+Maryam+TNTJ+Mattangadu+Madukkarai/data=!4m7!3m6!1s0x3ba85b3021dcf93b:0xa0b7e62233c77e3c!8m2!3d10.9003596!4d76.953451!16s%2Fg%2F11vcvcq2dx!19sChIJO_ncITBbqDsRPH7HMyLmt6A?authuser=0&hl=en&rclk=1,"10.9003596,76.953451"
Masjid,Mosque,"WXQ9+HR5 Masjid, Arivozhi Nagar, Coimbatore, Tamil Nadu 641008",Arivozhi Nagar,WXQ9+HR5,Coimbatore,641008,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3ba85bfe70b8ddef:0xcd57e56989c621ed!8m2!3d10.9388767!4d76.9695943!16s%2Fg%2F11qnt472zr!19sChIJ7924cP5bqDsR7SHGiWnlV80?authuser=0&hl=en&rclk=1,"10.9388767,76.9695943"
Madharasathul samad masjid,Mosque,"WXP7+V36 Madharasathul samad masjid, Madukkarai, Tamil Nadu 641008",,WXP7+V36,Madukkarai,,Tamil Nadu,IN,https://www.google.com/maps/place/Madharasathul+samad+masjid/data=!4m7!3m6!1s0x3ba85b92ce40c64f:0x993f90443745516c!8m2!3d10.9371521!4d76.9626386!16s%2Fg%2F11qp1_0cjk!19sChIJT8ZAzpJbqDsRbFFFN0SQP5k?authuser=0&hl=en&rclk=1,"10.937152099999999,76.96263859999999"
Hidayathul Muththaqeen Trust,Mosque,"WXM3+7MF Hidayathul Muththaqeen Trust, Post,, Sugunapuram East, Kuniyamuthur, Tamil Nadu 641008",Sugunapuram East,"WXM3+7MF, Post,","Kuniyamuthur, Madukkarai",641008,Tamil Nadu,IN,https://www.google.com/maps/place/Hidayathul+Muththaqeen+Trust/data=!4m7!3m6!1s0x3ba85baf9ff22829:0x8f3fb0d7dae5c6cd!8m2!3d10.9331979!4d76.9541753!16s%2Fg%2F11bvvzmfw6!19sChIJKSjyn69bqDsRzcbl2tewP48?authuser=0&hl=en&rclk=1,"10.9331979,76.9541753"
