place_id,place_name,about,link
ChIJqTyriWnaDTkRVUVZ8sMvuF4,Kabuli Bagh Masjid,All,https://lh5.googleusercontent.com/p/AF1QipODU4iDRFHhH1eXLD5PsYN4wKhVag84naklNzrZ=w397-h298-k-no
ChIJqTyriWnaDTkRVUVZ8sMvuF4,Kabuli Bagh Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipMshcddNaGMJqbiQPyGXamcS8X6DYzwLZ6uK35R=w224-h398-k-no
ChIJqTyriWnaDTkRVUVZ8sMvuF4,Kabuli Bagh Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO4d6BMNgABP6k6_Mma12Nh9MEjG6OeWYbUAWzT=w529-h298-k-no
ChIJqTyriWnaDTkRVUVZ8sMvuF4,Kabuli Bagh Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMnVRwadMakFr1irQBBySMazSPonWSDHDBSZzsS=w397-h298-k-no
ChIJqTyriWnaDTkRVUVZ8sMvuF4,Kabuli Bagh Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPx9EP-c2JiqCP0MlXFrcSNQMn3MOAy3x6hLd0j=w224-h298-k-no-pi-20-ya30.000011-ro-0-fo100
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNZwuws43PUlbL8emcV2aBRNEydfAWpFK22aRNF=w224-h298-k-no
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8o2MqfjWuLUC8g_gsZjbIA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=227.3087&pitch=0&thumbfov=100
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNL5KyfXaVSIJNylWBJI4QbQheLpG6HrmsXPWLz=w224-h398-k-no
ChIJuXwc1KoDDTkRV_ET_Z-tIhQ,Masjid Raza-E-Haq,All,https://lh5.googleusercontent.com/p/AF1QipMwMFDJQRQGpDBZbAXSVxKWmLOEYr80Mo3M2si_=w397-h298-k-no
ChIJuXwc1KoDDTkRV_ET_Z-tIhQ,Masjid Raza-E-Haq,Latest,https://lh5.googleusercontent.com/p/AF1QipPp9WFRLoq2Bl--JBCEOgDjuKlaSvskTa9972yx=w397-h298-k-no
ChIJuXwc1KoDDTkRV_ET_Z-tIhQ,Masjid Raza-E-Haq,Videos,https://lh5.googleusercontent.com/p/AF1QipNNRRDE3AGI4ygzQxduN1HjqePQfnRsjbgEr7hu=w224-h398-k-no
ChIJuXwc1KoDDTkRV_ET_Z-tIhQ,Masjid Raza-E-Haq,By owner,https://lh5.googleusercontent.com/p/AF1QipPYb67tttogUGWV1Rkm_TM-1uSPLzdetwf7W67v=w224-h298-k-no
ChIJd-pEXfsCDTkRIWLZ1HhMc3A,Mosque Gulshan-E-Raza,All,https://lh5.googleusercontent.com/p/AF1QipOdncvJOwHRzCowmHowWQ5gUEC558d-Zuig96Sk=w397-h298-k-no
ChIJd-pEXfsCDTkRIWLZ1HhMc3A,Mosque Gulshan-E-Raza,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l0d1DAc6UE9HA9n1F2IgBQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=345.51907&pitch=0&thumbfov=100
ChIJd-pEXfsCDTkRIWLZ1HhMc3A,Mosque Gulshan-E-Raza,Videos,https://lh5.googleusercontent.com/p/AF1QipOEZjVYNamWBM6gaP7lRfwEQm_4e2tAsZmStgep=w224-h398-k-no
ChIJC1dVHGv9DDkRssacyqvay7Y,Ahle Sunnat wal jamaat RazaeMuhammadi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMOftqzYyh0jDv5Jgl5YMmCXPptf7Jw9UVN1eCH=w224-h298-k-no
ChIJC1dVHGv9DDkRssacyqvay7Y,Ahle Sunnat wal jamaat RazaeMuhammadi Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPQXKpKQF6HexpGXX7DX3it2X0fBnbMlYjkatvF=w224-h398-k-no
ChIJxV9EEcHiDDkRaNEMgQ4hVhE,Masjid Majeedia Motilal nehru marg- msjdi mjdyh,All,https://lh5.googleusercontent.com/p/AF1QipNQ6xlad9ucMSMMg4RevqjoZU-7lASYL4XLNMl6=w398-h298-k-no
