name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Baitul Mamoor Masjid,Mosque,"94V5+47Q Baitul Mamoor Masjid, Mahalingpur, Karnataka 587312",,94V5+47Q,Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Baitul+Mamoor+Masjid/data=!4m7!3m6!1s0x3bc737cb517a8671:0x439388c1a7dbdee6!8m2!3d16.3928446!4d75.1082414!16s%2Fg%2F11b_25dbsk!19sChIJcYZ6Ucs3xzsR5t7bp8GIk0M?authuser=0&hl=en&rclk=1,"16.3928446,75.1082414"
Makka Markaz Masjid,Mosque,"94P5+FR2 Makka Markaz Masjid, Mahalingpur, Karnataka 587312",,94P5+FR2,Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Makka+Markaz+Masjid/data=!4m7!3m6!1s0x3bc737d299a9b369:0x37f14f8626552000!8m2!3d16.3861344!4d75.1095115!16s%2Fg%2F11f08884v2!19sChIJabOpmdI3xzsRACBVJoZP8Tc?authuser=0&hl=en&rclk=1,"16.3861344,75.1095115"
Jamiya Masjid Tippu Sulatan Moholla Mahalingpur,Mosque,"94R6+R6C Jamiya Masjid Tippu Sulatan Moholla Mahalingpur, Mahalingpur, Karnataka 587312",,94R6+R6C,Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Jamiya+Masjid+Tippu+Sulatan+Moholla+Mahalingpur/data=!4m7!3m6!1s0x3bc737cc86c572a7:0x6216ab131e040ef6!8m2!3d16.3920632!4d75.1105179!16s%2Fg%2F11fxvnslhf!19sChIJp3LFhsw3xzsR9g4EHhOrFmI?authuser=0&hl=en&rclk=1,"16.3920632,75.11051789999999"
Markaj Masjid,Manor house,"94P5+6F5 Markaj Masjid, Mahalingpur, Karnataka 587312",,94P5+6F5,Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Markaj+Masjid/data=!4m7!3m6!1s0x3bc737d2b905262b:0x66835ac014123620!8m2!3d16.3855103!4d75.1087314!16s%2Fg%2F11f4m8yfn9!19sChIJKyYFudI3xzsRIDYSFMBag2Y?authuser=0&hl=en&rclk=1,"16.3855103,75.1087314"
Madeena Masjid,Mosque,"94M6+JR2 Madeena Masjid, Mahalingpur, Karnataka 587312",,94M6+JR2,Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Madeena+Masjid/data=!4m7!3m6!1s0x3bc737d24b2c7bb3:0x91947142e5d4a740!8m2!3d16.3840213!4d75.1120052!16s%2Fg%2F11ggv_zj7b!19sChIJs3ssS9I3xzsRQKfU5UJxlJE?authuser=0&hl=en&rclk=1,"16.3840213,75.1120052"
Quba Masjid,Mosque,"94M5+PHC Quba Masjid, Mahalingpur, Karnataka 587312",,94M5+PHC,Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Quba+Masjid/data=!4m7!3m6!1s0x3bc737d2db998e61:0x2d926ce29f6d5b95!8m2!3d16.3843179!4d75.1088777!16s%2Fg%2F11f03zqlzs!19sChIJYY6Z29I3xzsRlVttn-Jski0?authuser=0&hl=en&rclk=1,"16.3843179,75.1088777"
Sultan shah Masjid,Mosque,"94R6+WX4 Sultan shah Masjid, Mahalingpur, Karnataka 587312",,94R6+WX4,Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Sultan+shah+Masjid/data=!4m7!3m6!1s0x3bc737cc0c088a79:0xf9fc5e7914576d16!8m2!3d16.3922737!4d75.1124399!16s%2Fg%2F11fy4t2rz1!19sChIJeYoIDMw3xzsRFm1XFHle_Pk?authuser=0&hl=en&rclk=1,"16.3922737,75.1124399"
Jamiya Masjid tippu Sultan mohalla,Mosque,"94V5+3VF Jamiya Masjid tippu Sultan mohalla, SH 54, Mahalingpur, Karnataka 587312",,"94V5+3VF, SH 54",Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Jamiya+Masjid+tippu+Sultan+mohalla/data=!4m7!3m6!1s0x3bc737a78ac70cb1:0x68a9811a7f8e3c39!8m2!3d16.3926817!4d75.1096789!16s%2Fg%2F11h7z1zv9b!19sChIJsQzHiqc3xzsROTyOfxqBqWg?authuser=0&hl=en&rclk=1,"16.3926817,75.10967889999999"
"Mohammadiya Masjid, Madarsa Mahalingpur",School,"94X8+5H2 Mohammadiya Masjid, Madarsa Mahalingpur, Bagalkot, Karnataka 587312",,94X8+5H2,Bagalkot,587312,Karnataka,IN,"https://www.google.com/maps/place/Mohammadiya+Masjid,+Madarsa+Mahalingpur/data=!4m7!3m6!1s0x3bc737c9cd9ab113:0x162d7dd44b10e076!8m2!3d16.3978929!4d75.1163784!16s%2Fg%2F11fy1dj474!19sChIJE7Gazck3xzsRduAQS9R9LRY?authuser=0&hl=en&rclk=1","16.3978929,75.1163784"
Usmaniya Masjid,Mosque,"94V6+G99 Usmaniya Masjid, Mahalingpur, Karnataka 587312",,94V6+G99,Mahalingpur,587312,Karnataka,IN,https://www.google.com/maps/place/Usmaniya+Masjid/data=!4m7!3m6!1s0x3bc737cb9f19bc37:0x338ca7f5f05fddcb!8m2!3d16.3937959!4d75.1109784!16s%2Fg%2F11fy4thnnm!19sChIJN7wZn8s3xzsRy91f8PWnjDM?authuser=0&hl=en&rclk=1,"16.3937959,75.1109784"
Nurani majid,Mosque,"946F+QHJ Nurani majid, Mahalingpur Rd, Karnataka 587312",,"946F+QHJ, Mahalingpur Rd",,587312,Karnataka,IN,https://www.google.com/maps/place/Nurani+majid/data=!4m7!3m6!1s0x3bc74935b393bc25:0x33ce0c8e0aa2dd9c!8m2!3d16.3619595!4d75.123884!16s%2Fg%2F11nnsl77xf!19sChIJJbyTszVJxzsRnN2iCo4MzjM?authuser=0&hl=en&rclk=1,"16.361959499999998,75.12388399999999"
Jamiya Masjid Mugalkhod,Mosque,"9684+597 Jamiya Masjid Mugalkhod, Mahalingpur - Mudhol Rd, Mugalkhod, Karnataka 587113",,"9684+597, Mahalingpur - Mudhol Rd",Mugalkhod,,Karnataka,IN,https://www.google.com/maps/place/Jamiya+Masjid+Mugalkhod/data=!4m7!3m6!1s0x3bc747840c9a5bc5:0x3c0ab8cffe9d4277!8m2!3d16.365422!4d75.2059104!16s%2Fg%2F11kj8z140w!19sChIJxVuaDIRHxzsRd0Kd_s-4Cjw?authuser=0&hl=en&rclk=1,"16.365422,75.2059104"
Madeena Masjid,Mosque,"87JJ+P87 Madeena Masjid, Mahalingpur - Mudhol Rd, Mudhol, Karnataka 587313",,"87JJ+P87, Mahalingpur - Mudhol Rd",Mudhol,587313,Karnataka,IN,https://www.google.com/maps/place/Madeena+Masjid/data=!4m7!3m6!1s0x3bc741219ba36895:0x9ae2a79b31b5b992!8m2!3d16.3317869!4d75.2807828!16s%2Fg%2F11h3ftcgdb!19sChIJlWijmyFBxzsRkrm1MZun4po?authuser=0&hl=en&rclk=1,"16.3317869,75.2807828"
Khalid Masjid,Mosque,"94G7+J9H Khalid Masjid, Mahalingpur Rd, Karnataka 587312",,"94G7+J9H, Mahalingpur Rd",,587312,Karnataka,IN,https://www.google.com/maps/place/Khalid+Masjid/data=!4m7!3m6!1s0x3bc737fc22156cfd:0x2c47e69d4a23aa90!8m2!3d16.3765689!4d75.1134909!16s%2Fg%2F11rnqjs602!19sChIJ_WwVIvw3xzsRkKojSp3mRyw?authuser=0&hl=en&rclk=1,"16.3765689,75.1134909"
