name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Raza Jama Masjid Tarakulawa Masih Khan,Mosque,"2J95+J4C Raza Jama Masjid Tarakulawa Masih Khan, Tarakulawa, Uttar Pradesh 273302",,2J95+J4C,Tarakulawa,273302,Uttar Pradesh,IN,https://www.google.com/maps/place/Raza+Jama+Masjid+Tarakulawa+Masih+Khan/data=!4m7!3m6!1s0x3993fff18f9e18eb:0x17e96f6bc5bfa94f!8m2!3d27.0190675!4d83.6077682!16s%2Fg%2F11g8xf_rc4!19sChIJ6xiej_H_kzkRT6m_xWtv6Rc?authuser=0&hl=en&rclk=1,"27.0190675,83.6077682"
sunni noori masjid,Mosque,"2JCV+9XJ sunni noori masjid, Jagadishpur, Uttar Pradesh 273151",,2JCV+9XJ,Jagadishpur,273151,Uttar Pradesh,IN,https://www.google.com/maps/place/sunni+noori+masjid/data=!4m7!3m6!1s0x3993ff7ad06714d7:0x5fe71588ea2ceba3!8m2!3d27.0209583!4d83.6448869!16s%2Fg%2F11c54cty15!19sChIJ1xRn0Hr_kzkRo-ss6ogV518?authuser=0&hl=en&rclk=1,"27.0209583,83.6448869"
Nori masjid msjd Rampur Bujurg,Mosque,"Nori masjid msjd Rampur Bujurg, Maharajganj, Lakhima Tharua, Uttar Pradesh 273303",,,"Maharajganj, Lakhima Tharua",273303,Uttar Pradesh,IN,https://www.google.com/maps/place/Nori+masjid+%D9%85%D8%B3%D8%AC%D8%AF+Rampur+Bujurg%E2%80%AD/data=!4m7!3m6!1s0x3996a9a49589c35f:0x29166ace5c23f0e7!8m2!3d27.1758756!4d83.5443366!16s%2Fg%2F11fk86s313!19sChIJX8OJlaSpljkR5_AjXM5qFik?authuser=0&hl=en&rclk=1,"27.175875599999998,83.5443366"
Partawal Masjid,Mosque,"XH8Q+P93 Partawal Masjid, SH 81, Partawal, Nagarauli, Uttar Pradesh 273301",,"XH8Q+P93, SH 81","Partawal, Nagarauli",273301,Uttar Pradesh,IN,https://www.google.com/maps/place/Partawal+Masjid/data=!4m7!3m6!1s0x39915588e652b0c3:0xd6ddc9c1bfb0696b!8m2!3d26.9667585!4d83.5884374!16s%2Fg%2F1trxc315!19sChIJw7BS5ohVkTkRa2mwv8HJ3dY?authuser=0&hl=en&rclk=1,"26.966758499999997,83.58843739999999"
Old Masjid Siyarhi Bhar,Mosque,"XHV3+CX3 Old Masjid Siyarhi Bhar, Laxmipur, Uttar Pradesh 273301",,XHV3+CX3,Laxmipur,273301,Uttar Pradesh,IN,https://www.google.com/maps/place/Old+Masjid+Siyarhi+Bhar/data=!4m7!3m6!1s0x3991551c8249696f:0x5d0a7f722fbec507!8m2!3d26.9935166!4d83.554922!16s%2Fg%2F1pt_vc4zn!19sChIJb2lJghxVkTkRB8W-L3J_Cl0?authuser=0&hl=en&rclk=1,"26.9935166,83.55492199999999"
Jama Masjid,Mosque,"5H66+F9V Jama Masjid, Gabarua, Maharajganj, Uttar Pradesh 273303",Gabarua,5H66+F9V,Maharajganj,273303,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3996a9b202af896b:0x6860720e9b4b333a!8m2!3d27.1612496!4d83.5609334!16s%2Fg%2F11fx7mvn1v!19sChIJa4mvArKpljkROjNLmw5yYGg?authuser=0&hl=en&rclk=1,"27.161249599999998,83.5609334"
Noori Jama Masjid,Mosque,"4HX7+V5W Noori Jama Masjid, Bismil Nagar, Maharajganj, Uttar Pradesh 273303",Bismil Nagar,4HX7+V5W,Maharajganj,273303,Uttar Pradesh,IN,https://www.google.com/maps/place/Noori+Jama+Masjid/data=!4m7!3m6!1s0x3996a9bb7f8f4da5:0x4843da392d1f4bcd!8m2!3d27.1497348!4d83.562953!16s%2Fg%2F11c5xmgqgc!19sChIJpU2Pf7upljkRzUsfLTnaQ0g?authuser=0&hl=en&rclk=1,"27.149734799999997,83.562953"
Chhapiya Village Masjid,Mosque,"2H2V+7GV Chhapiya Village Masjid, Chhapiya Village Rd, Uttar Pradesh 273301",,"2H2V+7GV, Chhapiya Village Rd",,273301,Uttar Pradesh,IN,https://www.google.com/maps/place/Chhapiya+Village+Masjid/data=!4m7!3m6!1s0x3993ffdf12f93c15:0xd6fd6b610b0062e3!8m2!3d27.0007251!4d83.5937925!16s%2Fg%2F1ptylq248!19sChIJFTz5Et__kzkR42IAC2Fr_dY?authuser=0&hl=en&rclk=1,"27.0007251,83.59379249999999"
Pipara Jaddu Masjid,Mosque,"XHRC+MFQ Pipara Jaddu Masjid, Piparajaddu, Uttar Pradesh 273301",,XHRC+MFQ,Piparajaddu,273301,Uttar Pradesh,IN,https://www.google.com/maps/place/Pipara+Jaddu+Masjid/data=!4m7!3m6!1s0x39915572aa207993:0x8698d663a44f41d7!8m2!3d26.9917125!4d83.5712344!16s%2Fg%2F11hbr2r3zj!19sChIJk3kgqnJVkTkR10FPpGPWmIY?authuser=0&hl=en&rclk=1,"26.9917125,83.5712344"
Falak Taj Masjid,Mosque,"2GXR+X8P Falak Taj Masjid, Laxmipur Deurawa, Uttar Pradesh 273302",,2GXR+X8P,Laxmipur Deurawa,273302,Uttar Pradesh,IN,https://www.google.com/maps/place/Falak+Taj+Masjid/data=!4m7!3m6!1s0x3996ab186efd0d57:0x4bae4f2c749e340!8m2!3d27.0499615!4d83.5408266!16s%2Fg%2F11cn5r6k_f!19sChIJVw39bhirljkRQONJx_LkugQ?authuser=0&hl=en&rclk=1,"27.0499615,83.5408266"
