place_id,place_name,about,link
ChIJL3RNNDRtCDsRsie0Eo29O_Y,Masjid ul Islam msjd,All,https://lh5.googleusercontent.com/p/AF1QipM0PbEso9oUy41MKUqOtyV2mcW4B6Fish05evC7=w224-h298-k-no
ChIJ1ytd-kIppDsRGqGIfTexI_U,"Ahmadiyya Muslim Jama'ath (Mission House), Mahe, Kerala",All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wT3TWq3pS_GWRbEz3DLRiA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=198.30249&pitch=0&thumbfov=100
ChIJ1ytd-kIppDsRGqGIfTexI_U,"Ahmadiyya Muslim Jama'ath (Mission House), Mahe, Kerala",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wT3TWq3pS_GWRbEz3DLRiA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=198.30249&pitch=0&thumbfov=100
ChIJlSyfWKaCpjsR793tDEdHMB0,"Salafi Centre and Mosque, Choodikotta, Mahe",All,https://lh5.googleusercontent.com/p/AF1QipNX578HwB4KLKCVB-W7rxVWHeXAVosiN3hW5va3=w397-h298-k-no
ChIJlSyfWKaCpjsR793tDEdHMB0,"Salafi Centre and Mosque, Choodikotta, Mahe",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hNWKG782LU7fpC63dxjoiA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=145.13152&pitch=0&thumbfov=100
ChIJg6YaJ14MCDsRR6uPe6HUKm0,Muhyyidheen Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNyNHkhujs1jcY8EG2a50or_zbDoeZYbM3ack3J=w398-h298-k-no
ChIJg6YaJ14MCDsRR6uPe6HUKm0,Muhyyidheen Juma Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNhyszNq_fVsXQOPzKTwMEtDot1uQx-YlU_i5sF=w224-h298-k-no
ChIJg6YaJ14MCDsRR6uPe6HUKm0,Muhyyidheen Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPSCt5RZJbyu9xXoaLEveCSaK0StshJlylnwmU-=w529-h298-k-no
ChIJg6YaJ14MCDsRR6uPe6HUKm0,Muhyyidheen Juma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipONWKMzYuCvj21FeAF_g98dtEVsKkahvhYRiSOF=w397-h298-k-no
ChIJg6YaJ14MCDsRR6uPe6HUKm0,Muhyyidheen Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AsrpPoQxXRga8bRn2uE_1A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=208.45544&pitch=0&thumbfov=100
ChIJ7QFITjYMCDsRAtZ3fbBbk_E,Njalakam Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMo5jEiXl3g1UMybJWzwRdgHAKXz_qhSmG1Bgkt=w224-h298-k-no
ChIJ7QFITjYMCDsRAtZ3fbBbk_E,Njalakam Juma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipM58hylW9M3lkaPnm1yWQsbQOnoxy6pKKkkN82N=w529-h298-k-no
ChIJ7QFITjYMCDsRAtZ3fbBbk_E,Njalakam Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipN2QUqwreboue1sNrW_mQ9XJcJsbgPiqCE2rLjU=w529-h298-k-no
ChIJ7QFITjYMCDsRAtZ3fbBbk_E,Njalakam Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PyI9aPqEUT7QMCCFEu3YdQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=268.7566&pitch=0&thumbfov=100
ChIJ8Ss9aUptCDsR8LYZ5GB_WRE,Kalvathy Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPD_8pwrK-i7fiqQZYRRjdyfF6P20a2kS6PTSxz=w298-h298-k-no
ChIJ8Ss9aUptCDsR8LYZ5GB_WRE,Kalvathy Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TDOJz5PQA0QwLGYHnKxXRA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=207.28334&pitch=0&thumbfov=100
ChIJ8Ss9aUptCDsR8LYZ5GB_WRE,Kalvathy Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNgeLm6qOmYy62rhleKMJPGmj8hEOybJvyH1bEz=w224-h398-k-no
ChIJ-zdNA4fiBzsR2-L2tzPhyZI,MASJID TAQWA msjid tkh v,All,https://lh5.googleusercontent.com/p/AF1QipMI4clyPF97fv9MEFsvmZo-GGkRmnlqWSmzxZRD=w529-h298-k-no
ChIJ-zdNA4fiBzsR2-L2tzPhyZI,MASJID TAQWA msjid tkh v,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CSClqbXUoPkJZVatEl9qwA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=21.088629&pitch=0&thumbfov=100
