name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
SYED SAHIB SHAH,Mosque,"7VPC+QPF SYED SAHIB SHAH, Bheetar koat, near peer Mubarak shah, Mahoba, Uttar Pradesh 210427",Makaniya Purva,"7VPC+QPF, Bheetar koat, near peer Mubarak shah",Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/SYED+SAHIB+SHAH/data=!4m7!3m6!1s0x3982cd6a8f2ddf75:0x7da845c2fdfa576c!8m2!3d25.2869289!4d79.8717813!16s%2Fg%2F11pktw5p4g!19sChIJdd8tj2rNgjkRbFf6_cJFqH0?authuser=0&hl=en&rclk=1,"25.2869289,79.8717813"
Madina Masjid Chowk,Historical landmark,"Madina Masjid Chowk, Kanpur - Sagar Hwy, Bhati Pura, Mahoba, Uttar Pradesh 210427",Bhati Pura,Kanpur - Sagar Hwy,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Madina+Masjid+Chowk/data=!4m7!3m6!1s0x3982cdee2c2d41c1:0x2227a3efd6d5d1b2!8m2!3d25.2791866!4d79.8781972!16s%2Fg%2F11nx0ldk90!19sChIJwUEtLO7NgjkRstHV1u-jJyI?authuser=0&hl=en&rclk=1,"25.2791866,79.8781972"
Main Jama Masjid Mahoba,Mosque,"7VRC+58H Main Jama Masjid Mahoba, Makaniya Purva, Mahoba, Uttar Pradesh 210427",Makaniya Purva,7VRC+58H,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Main+Jama+Masjid+Mahoba/data=!4m7!3m6!1s0x3982ccde2519b805:0xf1068fc9c70047e5!8m2!3d25.2904443!4d79.8708449!16s%2Fg%2F1hm2xhbnh!19sChIJBbgZJd7MgjkR5UcAx8mPBvE?authuser=0&hl=en&rclk=1,"25.290444299999997,79.8708449"
Noori Masjid,Mosque,"7VPM+R58 Noori Masjid, samad nagar, Mahoba, Uttar Pradesh 210427",Makaniya Purva,"7VPM+R58, samad nagar",Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Noori+Masjid/data=!4m7!3m6!1s0x3982cd1907be3c53:0x54c7d841df6a0fb9!8m2!3d25.2870375!4d79.882947!16s%2Fg%2F11f08b2fxy!19sChIJUzy-BxnNgjkRuQ9q30HYx1Q?authuser=0&hl=en&rclk=1,"25.2870375,79.882947"
Shahi Masjid Mahoba,Mosque,"7VQ9+GQV Shahi Masjid Mahoba, Makaniya Purva, Mahoba, Uttar Pradesh 210427",Makaniya Purva,7VQ9+GQV,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Shahi+Masjid+Mahoba/data=!4m7!3m6!1s0x3982cce0b1b100dd:0x7e928a129c153625!8m2!3d25.2888657!4d79.8694146!16s%2Fg%2F1tdvb_43!19sChIJ3QCxseDMgjkRJTYVnBKKkn4?authuser=0&hl=en&rclk=1,"25.2888657,79.8694146"
Masjid-e-QUBA,Mosque,"7VVC+2VR Masjid-e-QUBA, Milkipura, Makaniya Purva, Mahoba, Uttar Pradesh 210427","Milkipura, Makaniya Purva",7VVC+2VR,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid-e-QUBA/data=!4m7!3m6!1s0x3982ccdfa97094c5:0xae34ca98ba170d07!8m2!3d25.2926124!4d79.872143!16s%2Fg%2F11c1n2bdls!19sChIJxZRwqd_MgjkRBw0XupjKNK4?authuser=0&hl=en&rclk=1,"25.2926124,79.872143"
Madina Masjid,Hotel,"7VVC+2VR Madina Masjid, Milkipura, Makaniya Purva, Mahoba, Uttar Pradesh 210427","Milkipura, Makaniya Purva",7VVC+2VR,Mahoba,,Uttar Pradesh,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3982ccdfa5523521:0x3487fbb50dd5cc4f!8m2!3d25.2926109!4d79.8721454!16s%2Fg%2F11gg91579f!19sChIJITVSpd_MgjkRT8zVDbX7hzQ?authuser=0&hl=en&rclk=1,"25.2926109,79.8721454"
ya sahe hussainiya chhoti kameti,Mosque,"7VQJ+6WG ya sahe hussainiya chhoti kameti, Makaniya Purva, Mahoba, Uttar Pradesh 210427",Makaniya Purva,7VQJ+6WG,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/ya+sahe+hussainiya+chhoti+kameti/data=!4m7!3m6!1s0x3982cdd9b5d804cf:0x2f8ef13dea0e40d1!8m2!3d25.2880613!4d79.8823391!16s%2Fg%2F11glxk3xb_!19sChIJzwTYtdnNgjkR0UAO6j3xji8?authuser=0&hl=en&rclk=1,"25.2880613,79.8823391"
Masjid Hazi Yaqoob,Mosque,"7VQP+79X Masjid Hazi Yaqoob, Purwa, Mahoba, Uttar Pradesh",Makaniya Purva,"7VQP+79X, Purwa",Mahoba,,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Hazi+Yaqoob/data=!4m7!3m6!1s0x3982cd1783fe501d:0x8bb121a471dccdef!8m2!3d25.2882278!4d79.8859795!16s%2Fg%2F11ggqtmgvb!19sChIJHVD-gxfNgjkR783ccaQhsYs?authuser=0&hl=en&rclk=1,"25.288227799999998,79.88597949999999"
Karbala Masjid,Mosque,"7VJJ+F5P Karbala Masjid, NH 34, Bhati Pura, Mahoba, Uttar Pradesh 210427",Bhati Pura,"7VJJ+F5P, NH 34",Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Karbala+Masjid/data=!4m7!3m6!1s0x3982cda478fd6795:0xba7d614f68d4e829!8m2!3d25.2812039!4d79.8804629!16s%2Fg%2F11fk9l1wcm!19sChIJlWf9eKTNgjkRKejUaE9hfbo?authuser=0&hl=en&rclk=1,"25.281203899999998,79.8804629"
Garib Nawaz Mosque,Mosque,"7VPF+V7C Garib Nawaz Mosque, Makaniya Purva, Mahoba, Uttar Pradesh 210427",Makaniya Purva,7VPF+V7C,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Garib+Nawaz+Mosque/data=!4m7!3m6!1s0x3982cd5efa40cd8f:0x36b90f5642d8ba4a!8m2!3d25.2871859!4d79.8731371!16s%2Fg%2F11gjc13nxz!19sChIJj81A-l7NgjkRSrrYQlYPuTY?authuser=0&hl=en&rclk=1,"25.287185899999997,79.8731371"
Masjid E Hussaini,Mosque,"Masjid E Hussaini, Bhati Pura, Mahoba, Uttar Pradesh 210427",Bhati Pura,,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+E+Hussaini/data=!4m7!3m6!1s0x3982cdbe00b4d5db:0x4286a60c164c8bb4!8m2!3d25.2819314!4d79.8771996!16s%2Fg%2F11h4qj1cnt!19sChIJ29W0AL7NgjkRtItMFgymhkI?authuser=0&hl=en&rclk=1,"25.281931399999998,79.8771996"
Jama Masjid Bajariya,Mosque,"8V52+9J4 Jama Masjid Bajariya, Chandao, Fatehpur Bajaria, Mahoba, Uttar Pradesh 210427",Chandao,8V52+9J4,"Fatehpur Bajaria, Mahoba",210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Bajariya/data=!4m7!3m6!1s0x3982cd30f3306a7d:0x1e7fe7ddd6e7ce88!8m2!3d25.3083862!4d79.8515732!16s%2Fg%2F11hzcrstj0!19sChIJfWow8zDNgjkRiM7n1t3nfx4?authuser=0&hl=en&rclk=1,"25.308386199999998,79.85157319999999"
MBA Mosque,Mosque,"7VQ8+JWH MBA Mosque, Dhalaitan Pura, Makaniya Purva, Mahoba, Uttar Pradesh 210427","Dhalaitan Pura, Makaniya Purva",7VQ8+JWH,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/MBA+Mosque/data=!4m7!3m6!1s0x3982cd1d42bb9f15:0x4d1e96c361dfd3d3!8m2!3d25.2890723!4d79.8673727!16s%2Fg%2F11s4w4b97r!19sChIJFZ-7Qh3NgjkR09PfYcOWHk0?authuser=0&hl=en&rclk=1,"25.289072299999997,79.86737269999999"
Masjid Peer Bataau,Mosque,"7VMG+2F5 Masjid Peer Bataau, Bhati Pura, Mahoba, Uttar Pradesh 210427",Bhati Pura,7VMG+2F5,Mahoba,210427,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Peer+Bataau/data=!4m7!3m6!1s0x3982cd349dda0175:0x8d131ce6643a99c3!8m2!3d25.2825046!4d79.8762459!16s%2Fg%2F11h4tbww74!19sChIJdQHanTTNgjkRw5k6ZOYcE40?authuser=0&hl=en&rclk=1,"25.2825046,79.8762459"
