name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Hazi Patmal Wali Madina Masjid,Mosque,"Hazi Patmal Wali Madina Masjid, Hazi Patmal Wali gali, Dhirdhaunka, Haryana 122103",,Hazi Patmal Wali gali,Dhirdhaunka,122103,Haryana,IN,https://www.google.com/maps/place/Hazi+Patmal+Wali+Madina+Masjid/data=!4m7!3m6!1s0x390d2f13f97952d3:0xb840ab6c66e18f88!8m2!3d28.1903916!4d77.0511492!16s%2Fg%2F11fsvspvhq!19sChIJ01J5-RMvDTkRiI_hZmyrQLg?authuser=0&hl=en&rclk=1,"28.190391599999998,77.0511492"
Madhi Masjid msjd,Mosque,"G57P+X22 Madhi Masjid msjd, Aam Bagh, Ladha Sarai Village, Mehrauli, New Delhi, Delhi 110030","Aam Bagh, Ladha Sarai Village, Mehrauli",G57P+X22,"Mehrauli, New Delhi",110030,Delhi,IN,https://www.google.com/maps/place/Madhi+Masjid+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390d1e1aefd51b73:0xeb817d5121e0c393!8m2!3d28.5148909!4d77.1850159!16s%2Fg%2F1tnk_stq!19sChIJcxvV7xoeDTkRk8PgIVF9ges?authuser=0&hl=en&rclk=1,"28.514890899999997,77.1850159"
Masjid (Mosque),Mosque,"95FQ+82P Masjid (Mosque), Home, Hisavati, Uttar Pradesh 203390",,"95FQ+82P, Home",Hisavati,,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+%28Mosque%29/data=!4m7!3m6!1s0x390b45c4547b6f7f:0x42e22913e5fdee6!8m2!3d28.373339!4d78.1875815!16s%2Fg%2F11hbnvrf22!19sChIJf297VMRFCzkR5t5fPpEiLgQ?authuser=0&hl=en&rclk=1,"28.373338999999998,78.1875815"
Masjid E Balyana,Mosque,"QW5X+W28 Masjid E Balyana, Maholi, Haryana 122104",,QW5X+W28,Maholi,122104,Haryana,IN,https://www.google.com/maps/place/Masjid+E+Balyana/data=!4m7!3m6!1s0x3972c387d5367291:0xbf0962599ba3b736!8m2!3d27.759793!4d76.9475894!16s%2Fg%2F11shfbxz4w!19sChIJkXI21YfDcjkRNrejm1liCb8?authuser=0&hl=en&rclk=1,"27.759793,76.9475894"
Choti Masjid Bilakpur,Mosque,"QWCX+77M Choti Masjid Bilakpur, Maholi, Firozpur Jhirka, Haryana 122104",,QWCX+77M,"Maholi, Firozpur Jhirka",122104,Haryana,IN,https://www.google.com/maps/place/Choti+Masjid+Bilakpur/data=!4m7!3m6!1s0x3972c4761998cbef:0xd306844816f7a11c!8m2!3d27.7707166!4d76.9481855!16s%2Fg%2F11hbkpn78d!19sChIJ78uYGXbEcjkRHKH3FkiEBtM?authuser=0&hl=en&rclk=1,"27.7707166,76.9481855"
Masjid Machhayli.,Mosque,"QJHJ+M44 Masjid Machhayli., Ratupur, Uttar Pradesh 244102",,QJHJ+M44,Ratupur,244102,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Machhayli./data=!4m7!3m6!1s0x390b02eb8ed0900b:0xfaeb8d406f4f70dc!8m2!3d28.779126!4d78.6303178!16s%2Fg%2F11dxlbkm1z!19sChIJC5DQjusCCzkR3HBPb0CN6_o?authuser=0&hl=en&rclk=1,"28.779125999999998,78.6303178"
Badi Masjid Bilakpur,Mosque,"QX93+Q6F Badi Masjid Bilakpur, Maholi, Haryana 122104",,QX93+Q6F,Maholi,122104,Haryana,IN,https://www.google.com/maps/place/Badi+Masjid+Bilakpur/data=!4m7!3m6!1s0x3972c387e1157589:0x161661f7e1c1deba!8m2!3d27.769437!4d76.953049!16s%2Fg%2F11hbkpd2l4!19sChIJiXUV4YfDcjkRut7B4fdhFhY?authuser=0&hl=en&rclk=1,"27.769437,76.953049"
Masjid,Mosque,"Q7JJ+7WC Masjid, Pavi Sadakpur, Uttar Pradesh 201102",,Q7JJ+7WC,Pavi Sadakpur,201102,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x390cff3247b3c4d7:0xf1b7407f946dd8cc!8m2!3d28.7806806!4d77.2822504!16s%2Fg%2F11ggz8tfhy!19sChIJ18SzRzL_DDkRzNhtlH9At_E?authuser=0&hl=en&rclk=1,"28.7806806,77.2822504"
Masjid,Mosque,"Q6MJ+5H5 Masjid, Badarpur, Madanpur Khadar, New Delhi, 110084",Madanpur Khadar,"Q6MJ+5H5, Badarpur","New Delhi, Delhi",110084,Delhi,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x390cffb780460377:0x9fe224e9c653e965!8m2!3d28.7828891!4d77.2314704!16s%2Fg%2F11qn790lvq!19sChIJdwNGgLf_DDkRZelTxukk4p8?authuser=0&hl=en&rclk=1,"28.7828891,77.23147039999999"
Stand masjid Maholi,Mosque,"QW4V+3G4 Stand masjid Maholi, Maholi, Haryana 122104",,QW4V+3G4,Maholi,122104,Haryana,IN,https://www.google.com/maps/place/Stand+masjid+Maholi/data=!4m7!3m6!1s0x3972c37d790241df:0x79bf6bfa42ad2276!8m2!3d27.7551426!4d76.9438279!16s%2Fg%2F11qq1qm6d4!19sChIJ30ECeX3DcjkRdiKtQvprv3k?authuser=0&hl=en&rclk=1,"27.7551426,76.9438279"
