name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Badi Masjid,Mosque,"Badi Masjid, Ghalla Mandi Mirzaganj, Malihabad, Uttar Pradesh 226102",,Ghalla Mandi Mirzaganj,Malihabad,226102,Uttar Pradesh,IN,https://www.google.com/maps/place/Badi+Masjid/data=!4m7!3m6!1s0x399ea971aec4f1cd:0x8360b51114bf8412!8m2!3d26.922788!4d80.7079475!16s%2Fg%2F11clfv7c51!19sChIJzfHErnGpnjkREoS_FBG1YIM?authuser=0&hl=en&rclk=1,"26.922787999999997,80.7079475"
Khanjar Wali Takia Masjid,Mosque,"435/85, Khanjar Wali Takia Masjid, 435/85, Malihabad Rd, Karim Ganj, Lucknow, Uttar Pradesh 226003",Karim Ganj,"435/85, 435/85, Malihabad Rd",Lucknow,226003,Uttar Pradesh,IN,https://www.google.com/maps/place/Khanjar+Wali+Takia+Masjid/data=!4m7!3m6!1s0x399bfe1bb945fe8b:0x3a78daeaa2542b68!8m2!3d26.8710615!4d80.8835276!16s%2Fg%2F11dxkzbsrz!19sChIJi_5FuRv-mzkRaCtUouraeDo?authuser=0&hl=en&rclk=1,"26.8710615,80.8835276"
Masjid dularmau,Mosque,"VMXX+8GR Masjid dularmau, Dular Mau, Uttar Pradesh 226102",,VMXX+8GR,Dular Mau,226102,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+dularmau/data=!4m7!3m6!1s0x399ea947feb739f9:0x933d275a8280cb3e!8m2!3d26.8983651!4d80.6987714!16s%2Fg%2F11fj5gp18j!19sChIJ-Tm3_kepnjkRPsuAglonPZM?authuser=0&hl=en&rclk=1,"26.8983651,80.6987714"
Badi Masjid (jm` msjd),Mosque,"WQMC+QXV Badi Masjid (jm` msjd), Kasmandikala, Uttar Pradesh 226102",,WQMC+QXV,Kasmandikala,226102,Uttar Pradesh,IN,https://www.google.com/maps/place/Badi+Masjid+%28%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%29%E2%80%AD/data=!4m7!3m6!1s0x399eab28089a8149:0x59650d7149366d24!8m2!3d26.9344983!4d80.7724242!16s%2Fg%2F11f64hjl08!19sChIJSYGaCCirnjkRJG02SXENZVk?authuser=0&hl=en&rclk=1,"26.934498299999998,80.7724242"
MASJID E MEHFOOZ,Mosque,"WPVP+8CP MASJID E MEHFOOZ, Hamira Pur, Uttar Pradesh 226102",,WPVP+8CP,Hamira Pur,226102,Uttar Pradesh,IN,https://www.google.com/maps/place/MASJID+E+MEHFOOZ/data=!4m7!3m6!1s0x399eabb9292a8bff:0x917a6ad45acac5!8m2!3d26.9433315!4d80.7360886!16s%2Fg%2F11gyln2hjt!19sChIJ_4sqKbmrnjkRxcpa1Gp6kQA?authuser=0&hl=en&rclk=1,"26.9433315,80.7360886"
Jama Masjid,Mosque,"Jama Masjid, Chaudhrana, Malihabad, Uttar Pradesh 226102",Chaudhrana,,Malihabad,226102,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x399ea977a541d987:0x21e6080c5c9995fd!8m2!3d26.9162234!4d80.7083278!16s%2Fg%2F11df7jvk4v!19sChIJh9lBpXepnjkR_ZWZXAwI5iE?authuser=0&hl=en&rclk=1,"26.9162234,80.70832779999999"
Mahboob Masjid,Mosque,"XP56+W6M Mahboob Masjid, Tiraha - Sandi Road, Malihabad, Kasmandi Khurd, Uttar Pradesh 226102",,"XP56+W6M, Tiraha - Sandi Road, Malihabad",Kasmandi Khurd,226102,Uttar Pradesh,IN,https://www.google.com/maps/place/Mahboob+Masjid/data=!4m7!3m6!1s0x399ea952a655562d:0x8395afd92ddd7bd6!8m2!3d26.9598457!4d80.7105586!16s%2Fg%2F11c2j_ps2z!19sChIJLVZVplKpnjkR1nvdLdmvlYM?authuser=0&hl=en&rclk=1,"26.9598457,80.7105586"
Qadyani Masjid,Mosque,"WP5H+2QG Qadyani Masjid, Bari, Barhi Garhi, Uttar Pradesh 226102",,WP5H+2QG,"Bari, Barhi Garhi",,Uttar Pradesh,IN,https://www.google.com/maps/place/Qadyani+Masjid/data=!4m7!3m6!1s0x399eab2a89fd533d:0x1eb531df18b267b2!8m2!3d26.9075743!4d80.7294568!16s%2Fg%2F11fhtl618z!19sChIJPVP9iSqrnjkRsmeyGN8xtR4?authuser=0&hl=en&rclk=1,"26.9075743,80.7294568"
masjid Huzaifa,Mosque,"WP33+7MM masjid Huzaifa, Kewalhar, Malihabad Rd, Bakhtiyar Nagar, Uttar Pradesh 226102",,"WP33+7MM, Kewalhar, Malihabad Rd",Bakhtiyar Nagar,226102,Uttar Pradesh,IN,https://www.google.com/maps/place/masjid+Huzaifa/data=!4m7!3m6!1s0x399ea9691414c663:0xbfedf2b378b86e49!8m2!3d26.9032204!4d80.704167!16s%2Fg%2F11g_zmy_md!19sChIJY8YUFGmpnjkRSW64eLPy7b8?authuser=0&hl=en&rclk=1,"26.9032204,80.704167"
Sahilmau Masjid,Mosque,"WQ32+MM7 Sahilmau Masjid, Sahilamau, Uttar Pradesh 226102",,WQ32+MM7,Sahilamau,226102,Uttar Pradesh,IN,https://www.google.com/maps/place/Sahilmau+Masjid/data=!4m7!3m6!1s0x399eabbd2b3bebcd:0xc2c37b793c53ba36!8m2!3d26.9041648!4d80.7516639!16s%2Fg%2F11ghs47p20!19sChIJzes7K72rnjkRNrpTPHl7w8I?authuser=0&hl=en&rclk=1,"26.9041648,80.7516639"
