place_id,place_name,about,link
ChIJr6OYKRUZYjkRsPykO5Zvio4,Jamali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOKiijapmQ6aY2fPs0IHGgXYLV5CDDnVzHRWphT=w525-h298-k-no
ChIJr6OYKRUZYjkRsPykO5Zvio4,Jamali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RJwaSC5OdBbyVB9MGdIE5A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=80.21524&pitch=0&thumbfov=100
ChIJr6OYKRUZYjkRsPykO5Zvio4,Jamali Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPBrvmucPcEa3YsPAzZSKedAUbXZdyvuK1HUe0J=w525-h298-k-no
ChIJI8CsBFcZYjkRXTKoSOnbqyc,Ahle Sunnat Husaini Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNwdmeyR5Q0OE549p2byK774qXZPRfh7CX1Dzeg=w224-h397-k-no
ChIJI8CsBFcZYjkRXTKoSOnbqyc,Ahle Sunnat Husaini Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNwdmeyR5Q0OE549p2byK774qXZPRfh7CX1Dzeg=w224-h397-k-no
ChIJI8CsBFcZYjkRXTKoSOnbqyc,Ahle Sunnat Husaini Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNwdmeyR5Q0OE549p2byK774qXZPRfh7CX1Dzeg=w224-h397-k-no
ChIJgw1wKRUZYjkRWKZ7K3a5Cjk,Bohara Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNM4lO8QdadNZMGQEKTKL62RPN_i50iTxH5pjPu=w397-h298-k-no
ChIJgw1wKRUZYjkRWKZ7K3a5Cjk,Bohara Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RJwaSC5OdBbyVB9MGdIE5A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=93.68772&pitch=0&thumbfov=100
ChIJS7BNz58ZYjkRpxB0fkEiCis,Ahle Sunnat Noore Muhammadi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN6hUSu2RuFrWG3X9tpzp0mos02ksnauA4e3aYz=w629-h298-k-no
ChIJS7BNz58ZYjkRpxB0fkEiCis,Ahle Sunnat Noore Muhammadi Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hvUxB-jyuOdXSGODfE5Zkw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=35.00887&pitch=0&thumbfov=100
