place_id,place_name,about,link
ChIJd4m0DtLLMjoR44rv_fkayRU,"MASJID E MOINUDDIN ZAHED, MAKTAB HAZRAT UMAR FAROOQ R.Z",All,https://lh5.googleusercontent.com/p/AF1QipOuZshI-VB1JL0e6zeFPUndXtoHfJglw8YGx8nV=w397-h298-k-no
ChIJd4m0DtLLMjoR44rv_fkayRU,"MASJID E MOINUDDIN ZAHED, MAKTAB HAZRAT UMAR FAROOQ R.Z",By owner,https://lh5.googleusercontent.com/p/AF1QipOc_etRkgnJTjipRtV1JWj4SfrfCOFFLlPtx0X_=w529-h298-k-no
ChIJd4m0DtLLMjoR44rv_fkayRU,"MASJID E MOINUDDIN ZAHED, MAKTAB HAZRAT UMAR FAROOQ R.Z",Videos,https://lh5.googleusercontent.com/p/AF1QipPQpydZIYpSLNJkZSNLaXlqXaEkwttcChw255L1=w224-h398-k-no
ChIJd4m0DtLLMjoR44rv_fkayRU,"MASJID E MOINUDDIN ZAHED, MAKTAB HAZRAT UMAR FAROOQ R.Z",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xN1uM8-8Ougb0LjMKQEpyQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=184.14812&pitch=0&thumbfov=100
ChIJwx-YMnPKMjoRSUd9fakBSJA,JAMIA MASJID (MARKAZ) MANCHERIAL,All,https://lh5.googleusercontent.com/p/AF1QipM-K5cC5uboSk6w2mdqdZs11JqGyt420PnyaDM=w397-h298-k-no
ChIJwx-YMnPKMjoRSUd9fakBSJA,JAMIA MASJID (MARKAZ) MANCHERIAL,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2t_nWyTrt6LTPodnThsY_Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=301.807&pitch=0&thumbfov=100
ChIJoV57KwvKMjoRLD6nbTInt-A,Masjid-E-zaffar,All,https://lh5.googleusercontent.com/p/AF1QipNm2DTd9x7uuz7TNSN1js35U0HcRmqeHdkn1mGz=w397-h298-k-no
ChIJoV57KwvKMjoRLD6nbTInt-A,Masjid-E-zaffar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jv7wa-9U7nx2wFCE0vHdHg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=339.59012&pitch=0&thumbfov=100
ChIJtZC8nXPKMjoRhr6TfKsSbTk,Masjid E Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipOHg5hJmggm9eatlhmFVXOTDdWDZbinkh_bvFYT=w397-h298-k-no
ChIJe6n8p421MjoR7J3IHnqhabE,MASJID-E-RIZWAN,All,https://lh5.googleusercontent.com/p/AF1QipMwb53E2e21eJqB0vL47HJuhbDMvg25G9a8uQEI=w224-h398-k-no
