place_id,place_name,about,link
ChIJzX8ZwbK2MjoRfz8m-VrX9C8,masjid asra,All,https://lh5.googleusercontent.com/p/AF1QipOoG0shmrt74OKfV7QZfriaS5_QlMcr8IVnUTPP=w224-h398-k-no
ChIJzX8ZwbK2MjoRfz8m-VrX9C8,masjid asra,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZSMdYHrK0q3S5ibRDU3ziQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=329.7253&pitch=0&thumbfov=100
ChIJ96GZrlWxMjoRWFI_yqbbfz4,Masjid Cricket Ground (MCG),All,https://lh5.googleusercontent.com/p/AF1QipNUCtLgnFYMctEgDyaz3XH08o_qptYrXZTfNSCd=w397-h298-k-no
ChIJ96GZrlWxMjoRWFI_yqbbfz4,Masjid Cricket Ground (MCG),Videos,https://lh5.googleusercontent.com/p/AF1QipOQM1OU6qUZgsjp5OheJt8t7_ieF0TOTFKD-tDt=w224-h398-k-no
ChIJDT5LbU-xMjoRqA_v06vV5gw,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNJsD5-oRHL6ociFoZkrwA92KdMo3jmoa-qmIs=w529-h298-k-no
ChIJDT5LbU-xMjoRqA_v06vV5gw,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPrj3dOvNdB7xGt5GfZrTU5rjydDxKegp1s7mA=w224-h398-k-no
ChIJg33F1RG1MjoRhK0kwuEQPoI,Madarsa Darul Uloom & Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN1B8FKJ9B3-E28qkw7QZjeRVlU1rlEEvRl8zWL=w529-h298-k-no
ChIJg33F1RG1MjoRhK0kwuEQPoI,Madarsa Darul Uloom & Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cRVBuq_JUhrHyra9jLJcaw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=285.6949&pitch=0&thumbfov=100
ChIJk2Tn1dOxMjoR7jp-rLohybY,Masjid E Amera,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zQx1qSt-DU26WQyIeqV4Pw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=121.45043&pitch=0&thumbfov=100
ChIJk2Tn1dOxMjoR7jp-rLohybY,Masjid E Amera,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zQx1qSt-DU26WQyIeqV4Pw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=121.45043&pitch=0&thumbfov=100
ChIJq6r-I7K2MjoRw-109DR2pSI,Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y9I8XDdQyYdkbUHXWrcEnQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=329.41306&pitch=0&thumbfov=100
ChIJq6r-I7K2MjoRw-109DR2pSI,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y9I8XDdQyYdkbUHXWrcEnQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=329.41306&pitch=0&thumbfov=100
