place_id,place_name,about,link
ChIJTbwibuSgrzsR3UcqTIc0xFQ,Masjid-e-Azam,All,https://lh5.googleusercontent.com/p/AF1QipPY6v764FRbEFQ09vY6QateeeRJoxStXL5F73we=w224-h298-k-no
ChIJTbwibuSgrzsR3UcqTIc0xFQ,Masjid-e-Azam,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a_3J6YA5g1CpIBrMWPSQdA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=190.43007&pitch=0&thumbfov=100
ChIJ0Yw1JCihrzsRPr4sfh2agA8,Mehdavia Sadath Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMchs1IGMQBNV3Z-xhdDemaBSIQVaaJZ4kBXE7_=w397-h298-k-no
ChIJ0Yw1JCihrzsRPr4sfh2agA8,Mehdavia Sadath Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNuzfYH8UZ22U_ze4-hQrJSssBmQfEjSWW-y98R=w589-h298-k-no
ChIJ0Yw1JCihrzsRPr4sfh2agA8,Mehdavia Sadath Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5L3KfbytvPyko9IEmADW8g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=260.0303&pitch=0&thumbfov=100
ChIJcRWautugrzsR1HIWzaBoNLg,Noorani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO-NL9x5ynHekALUh7JZ0Ie-YB1rwzSCsEsMRf2=w224-h335-k-no
ChIJcRWautugrzsR1HIWzaBoNLg,Noorani Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pROL1xM3TGsa5cR_8xbVyw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=61.209034&pitch=0&thumbfov=100
ChIJcRWautugrzsR1HIWzaBoNLg,Noorani Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMIUGJRnAVxBxryTowKZYW-L8fRym2264H7LVA=w224-h397-k-no
ChIJC4c1ux-hrzsRChOqWSwOf2A,Jamiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO7hi650e1prFL25rKQ2z362UrPhiZkyim8IJL-=w224-h298-k-no
ChIJC4c1ux-hrzsRChOqWSwOf2A,Jamiya Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPagvL6g-7QPVXEcMCvWMElYWuf7OIzEta5Hckc=w397-h298-k-no
ChIJC4c1ux-hrzsRChOqWSwOf2A,Jamiya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOCnoHHTwmA0Dl6Zs7NMhlXxi0ft1qs3eP5YWF6=w224-h398-k-no
ChIJnyggSNGgrzsR1ZtVEoOXETw,Madeena Masjid (mdynh msjd),All,https://lh5.googleusercontent.com/p/AF1QipOhdG_ALJNnEx0F6An627Iw2-0ltHsnpy048Ams=w224-h298-k-no
ChIJnyggSNGgrzsR1ZtVEoOXETw,Madeena Masjid (mdynh msjd),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CyHMPSJFr-lXIx8AbpWl9Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=6.22514&pitch=0&thumbfov=100
ChIJnyggSNGgrzsR1ZtVEoOXETw,Madeena Masjid (mdynh msjd),Videos,https://lh5.googleusercontent.com/p/AF1QipNOp_GqIa18XX5i-Ny581BvU2df8RWlrlBW7EgB=w224-h467-k-no
ChIJHecg2gKhrzsRGSsgDMZDlZI,Eidgah Masjid Mandya,All,https://lh5.googleusercontent.com/p/AF1QipP7Tu2Dw4s1DkzJTnbdWX7FyWCqScM5m5_QIKMp=w224-h298-k-no
ChIJHecg2gKhrzsRGSsgDMZDlZI,Eidgah Masjid Mandya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6hOJQa91MGgVhBs-A6VVLw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=151.85246&pitch=0&thumbfov=100
ChIJHecg2gKhrzsRGSsgDMZDlZI,Eidgah Masjid Mandya,Videos,https://lh5.googleusercontent.com/p/AF1QipOMAdpFt6Ir2CuvnzeVoLOH_9tmusjIrcI0car1=w224-h395-k-no
ChIJ46t6hOigrzsRGusg8_hqXlo,Masjid-e-Noor,All,https://lh5.googleusercontent.com/p/AF1QipO1AzGZ_ZhENfK_O6cq5COEvGsuV7bGJP_sPJDE=w397-h298-k-no
ChIJ46t6hOigrzsRGusg8_hqXlo,Masjid-e-Noor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Mff82wIBMJ55kUZKC2c4A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=67.29312&pitch=0&thumbfov=100
ChIJvX5o0CGhrzsRRInCjr6qo9g,Malabari Masjid (Kerala Masjid),All,https://lh5.googleusercontent.com/p/AF1QipPlZLdDFMh2nsMgBonDf6BflZhEqcxtTGTjiBM=w224-h298-k-no
ChIJvX5o0CGhrzsRRInCjr6qo9g,Malabari Masjid (Kerala Masjid),Dome,https://lh5.googleusercontent.com/p/AF1QipPlZLdDFMh2nsMgBonDf6BflZhEqcxtTGTjiBM=w224-h298-k-no
ChIJvX5o0CGhrzsRRInCjr6qo9g,Malabari Masjid (Kerala Masjid),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bwn7si8Rx9q7bpOLgRrLVg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=302.3866&pitch=0&thumbfov=100
ChIJI5fEOMahrzsReJEz3PkpTF0,Masjid E Ya Allah (msjdi yllh),All,https://lh5.googleusercontent.com/p/AF1QipO6pPFiwnSsKlUDPiG_4dzdPtx9Y2TB7a127b6P=w224-h298-k-no
ChIJI5fEOMahrzsReJEz3PkpTF0,Masjid E Ya Allah (msjdi yllh),Latest,https://lh5.googleusercontent.com/p/AF1QipM8_aVWyfj43dyfMb_NOFNqyutpSXrAS1_GEh8a=w224-h398-k-no
