name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Noorani Masjid,Mosque,"Noorani Masjid, B.D. Colony, Bapu Dham Colony, Sector 26 East, Chandigarh, 160019","B.D. Colony, Bapu Dham Colony, Sector 26 East",,Chandigarh,160019,Chandigarh,IN,https://www.google.com/maps/place/Noorani+Masjid/data=!4m7!3m6!1s0x390fecd71687f4e9:0x6d1e70f9ab0fc5ef!8m2!3d30.7170713!4d76.816817!16s%2Fg%2F1pzsg9955!19sChIJ6fSHFtfsDzkR78UPq_lwHm0?authuser=0&hl=en&rclk=1,"30.717071299999997,76.816817"
Maniyar Masjid,Mosque,"X5J8+R3F Maniyar Masjid, Ranjitpur, Uttar Pradesh 277207",,X5J8+R3F,Ranjitpur,277207,Uttar Pradesh,IN,https://www.google.com/maps/place/Maniyar+Masjid/data=!4m7!3m6!1s0x39925c37e5c19c8b:0xf8ecb039a9b10f4d!8m2!3d25.9820625!4d84.1651839!16s%2Fg%2F11g6b11hpl!19sChIJi5zB5TdckjkRTQ-xqTmw7Pg?authuser=0&hl=en&rclk=1,"25.982062499999998,84.1651839"
Masjid-E-Rukaiya,Mosque,"Masjid-E-Rukaiya, Ward no-4, Islampura, Laxmangarh, Rajasthan 332311",,"Ward no-4, Islampura",Laxmangarh,332311,Rajasthan,IN,https://www.google.com/maps/place/Masjid-E-Rukaiya/data=!4m7!3m6!1s0x396cab053be91045:0xc8511083a763bb1f!8m2!3d27.8121932!4d75.0241231!16s%2Fg%2F11cr_yj0tc!19sChIJRRDpOwWrbDkRH7tjp4MQUcg?authuser=0&hl=en&rclk=1,"27.8121932,75.0241231"
Madina Masjid Menasar,Mosque,"WMGM+VMM Madina Masjid Menasar, Menasar, Rajasthan 331505",,WMGM+VMM,Menasar,331505,Rajasthan,IN,https://www.google.com/maps/place/Madina+Masjid+Menasar/data=!4m7!3m6!1s0x3914b6cb09451611:0x7c9427df49f55a2b!8m2!3d27.9275428!4d74.6840826!16s%2Fg%2F11gcm09yq8!19sChIJERZFCcu2FDkRK1r1Sd8nlHw?authuser=0&hl=en&rclk=1,"27.927542799999998,74.6840826"
Noorani Masjid,Mosque,"R28F+C57 Noorani Masjid, Laxmangarh, Rajasthan 332311",,R28F+C57,Laxmangarh,332311,Rajasthan,IN,https://www.google.com/maps/place/Noorani+Masjid/data=!4m7!3m6!1s0x396cab1baa4edef7:0x14e4fabbc79b4981!8m2!3d27.8160402!4d75.0229292!16s%2Fg%2F11gg73kt90!19sChIJ995OqhurbDkRgUmbx7v65BQ?authuser=0&hl=en&rclk=1,"27.8160402,75.0229292"
Minara Masjid,Mosque,"52XW+VXQ Minara Masjid, Mahansar, Rajasthan 331030",,52XW+VXQ,Mahansar,331030,Rajasthan,IN,https://www.google.com/maps/place/Minara+Masjid/data=!4m7!3m6!1s0x39135e1191a4ec25:0xf3df4c304b447272!8m2!3d28.1997003!4d75.0474864!16s%2Fg%2F11g8fmj321!19sChIJJeykkRFeEzkRcnJESzBM3_M?authuser=0&hl=en&rclk=1,"28.1997003,75.0474864"
Jama Masjid,Mosque,"3XFQ+M7R Jama Masjid, Hetamsar, Goriya Chhota, Rajasthan 332303",,3XFQ+M7R,"Hetamsar, Goriya Chhota",332303,Rajasthan,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3913588af7cdd519:0xc0f2646ac81439ca!8m2!3d28.0742466!4d74.9881462!16s%2Fg%2F11fx9db408!19sChIJGdXN94pYEzkRyjkUyGpk8sA?authuser=0&hl=en&rclk=1,"28.0742466,74.9881462"
Masjid maannkii,Mosque,"JV57+JM8 Masjid maannkii, Manki, Rajasthan 301026",,JV57+JM8,Manki,301026,Rajasthan,IN,https://www.google.com/maps/place/Masjid+%E0%A4%AE%E0%A4%BE%E0%A4%A3%E0%A4%95%E0%A5%80/data=!4m7!3m6!1s0x3972ebe9626563b5:0x951c077794ce2887!8m2!3d27.609029!4d76.8642149!16s%2Fg%2F11h6lqqgqn!19sChIJtWNlYunrcjkRhyjOlHcHHJU?authuser=0&hl=en&rclk=1,"27.609029,76.8642149"
Jama Masjid,Mosque,"VHV3+47X Jama Masjid, Jalia II-Kaniya Rd, Kaniya, Rajasthan 305625",,"VHV3+47X, Jalia II-Kaniya Rd",Kaniya,305625,Rajasthan,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x396915b69664c247:0xdbc418311ac4e396!8m2!3d25.8928609!4d74.5532344!16s%2Fg%2F11cn6kdqd4!19sChIJR8JklrYVaTkRluPEGjEYxNs?authuser=0&hl=en&rclk=1,"25.8928609,74.5532344"
Madina Masjid Rinu,Mosque,"V2WM+3JF Madina Masjid Rinu, Rinu, Rajasthan 332311",,V2WM+3JF,Rinu,,Rajasthan,IN,https://www.google.com/maps/place/Madina+Masjid+Rinu/data=!4m7!3m6!1s0x391355654d8609bf:0xb183e4f99b25fb78!8m2!3d27.8951926!4d75.0340589!16s%2Fg%2F11f9zc55kh!19sChIJvwmGTWVVEzkRePslm_nkg7E?authuser=0&hl=en&rclk=1,"27.895192599999998,75.03405889999999"
