name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Noor Juma Masjid,Mosque,"44G8+8WV Noor Juma Masjid, SH71, Melakkam, Manjeri, Kerala 676121",Melakkam,"44G8+8WV, SH71",Manjeri,676121,Kerala,IN,https://www.google.com/maps/place/Noor+Juma+Masjid/data=!4m7!3m6!1s0x3ba6366f31e11e5f:0xf2379eccce72005a!8m2!3d11.1258588!4d76.1172814!16s%2Fg%2F11g8v0tnmx!19sChIJXx7hMW82pjsRWgByzsyeN_I?authuser=0&hl=en&rclk=1,"11.1258588,76.1172814"
Manjeri Central Juma Masjid,Mosque,"449C+VVP Manjeri Central Juma Masjid, Pandikkad Road, opp. Old Bus Stand, Vellarangal, Manjeri, Kerala 676121",Vellarangal,"449C+VVP, Pandikkad Road, opp. Old Bus Stand",Manjeri,676121,Kerala,IN,https://www.google.com/maps/place/Manjeri+Central+Juma+Masjid/data=!4m7!3m6!1s0x3ba6366548c93337:0xa9c9ee6ce851dfa0!8m2!3d11.1202905!4d76.1215995!16s%2Fg%2F11bz_3yr7_!19sChIJNzPJSGU2pjsRoN9R6Gzuyak?authuser=0&hl=en&rclk=1,"11.1202905,76.1215995"
Pullur Juma Masjid,Mosque,"44P3+FMQ Pullur Juma Masjid, Areekode - Manjeri Rd, Manjeri, Kerala 676121",,"44P3+FMQ, Areekode - Manjeri Rd",Manjeri,676121,Kerala,IN,https://www.google.com/maps/place/Pullur+Juma+Masjid/data=!4m7!3m6!1s0x3ba6363946e0c709:0x4e5128a00b8a8751!8m2!3d11.1362147!4d76.1042377!16s%2Fg%2F11xfb7v0q!19sChIJCcfgRjk2pjsRUYeKC6AoUU4?authuser=0&hl=en&rclk=1,"11.1362147,76.1042377"
Manjeri Hikamiyya Town Sunni Masjid,Mosque,"44CC+85C Manjeri Hikamiyya Town Sunni Masjid, Kuthukal, Manjeri, Kerala 676121",Kuthukal,44CC+85C,Manjeri,676121,Kerala,IN,https://www.google.com/maps/place/Manjeri+Hikamiyya+Town+Sunni+Masjid/data=!4m7!3m6!1s0x3ba6366ff0c0ab51:0x7f4900b1a0c3aa5e!8m2!3d11.1208145!4d76.120391!16s%2Fg%2F11b7gp7_66!19sChIJUavA8G82pjsRXqrDoLEASX8?authuser=0&hl=en&rclk=1,"11.1208145,76.120391"
Islahi Campus - Salafi Masjid,Mosque,"44C9+PM7 Islahi Campus - Salafi Masjid, Karuvambram, Manjeri, Kerala 676121",Karuvambram,44C9+PM7,Manjeri,676121,Kerala,IN,https://www.google.com/maps/place/Islahi+Campus+-+Salafi+Masjid/data=!4m7!3m6!1s0x3ba6366f991a5dad:0xcc7d29c607c89594!8m2!3d11.1217834!4d76.1191687!16s%2Fg%2F1hdzt7043!19sChIJrV0amW82pjsRlJXIB8Ypfcw?authuser=0&hl=en&rclk=1,"11.1217834,76.1191687"
"Vattapara Masjid, Manjeri",Mosque,"Vattapara Masjid, Manjeri, Mundithodika, Vattappara, Manjeri, Kerala 676122","Mundithodika, Vattappara",,Manjeri,676122,Kerala,IN,"https://www.google.com/maps/place/Vattapara+Masjid,+Manjeri/data=!4m7!3m6!1s0x3ba6360bf568b951:0x94446c026e5149e3!8m2!3d11.113238!4d76.1042765!16s%2Fg%2F1tngnqdz!19sChIJUblo9Qs2pjsR40lRbgJsRJQ?authuser=0&hl=en&rclk=1","11.113237999999999,76.1042765"
Mullampara town Masjid,Mosque,"4447+728 Mullampara town Masjid, Pallippadi, Manjeri, Kerala 676121",,4447+728,"Pallippadi, Manjeri",676121,Kerala,IN,https://www.google.com/maps/place/Mullampara+town+Masjid/data=!4m7!3m6!1s0x3ba64a21dd835cb1:0x554c1d78bb46dffc!8m2!3d11.1056575!4d76.1125836!16s%2Fg%2F1tct74kk!19sChIJsVyD3SFKpjsR_N9Gu3gdTFU?authuser=0&hl=en&rclk=1,"11.1056575,76.1125836"
meelaakkN jumaa msjid,Mosque,"44F9+RH3 meelaakkN jumaa msjid, SH28, Melakkam, Manjeri, Kerala 676121",Melakkam,"44F9+RH3, SH28",Manjeri,676121,Kerala,IN,https://www.google.com/maps/place/%E0%B4%AE%E0%B5%87%E0%B4%B2%E0%B4%BE%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B4%82+%E0%B4%9C%E0%B5%81%E0%B4%AE%E0%B4%BE+%E0%B4%AE%E0%B4%B8%E0%B5%8D%E0%B4%9C%E0%B4%BF%E0%B4%A6%E0%B5%8D/data=!4m7!3m6!1s0x3ba6366f382c7c89:0xdfe0b74cbcc14427!8m2!3d11.1245008!4d76.1189102!16s%2Fg%2F1tqfzs49!19sChIJiXwsOG82pjsRJ0TBvEy34N8?authuser=0&hl=en&rclk=1,"11.1245008,76.1189102"
Variyal Small Mosque,Mosque,"4433+PXC Variyal Small Mosque, Mullampara Rd, Mullampara Town, Manjeri, Kerala 676517",Mullampara Town,"4433+PXC, Mullampara Rd",Manjeri,676517,Kerala,IN,https://www.google.com/maps/place/Variyal+Small+Mosque/data=!4m7!3m6!1s0x3ba635e10e2966e5:0x95a84c938a653a62!8m2!3d11.1043177!4d76.1048849!16s%2Fg%2F1tgh5_jl!19sChIJ5WYpDuE1pjsRYjplipNMqJU?authuser=0&hl=en&rclk=1,"11.1043177,76.1048849"
PAYYANAD ANGADI OLD JUMA'MASJID,Mosque,"PAYYANAD ANGADI OLD JUMA'MASJID, Payyanad Angadi, Manjeri, Kerala 676122",,Payyanad Angadi,Manjeri,676122,Kerala,IN,https://www.google.com/maps/place/PAYYANAD+ANGADI+OLD+JUMA%27MASJID/data=!4m7!3m6!1s0x3ba6369a68abd2f9:0x576ab90e3107bd40!8m2!3d11.119738!4d76.147227!16s%2Fg%2F1pp2t_qrt!19sChIJ-dKraJo2pjsRQL0HMQ65alc?authuser=0&hl=en&rclk=1,"11.119738,76.147227"
Imam Shafi Masjid,Mosque,"44CF+FJC Imam Shafi Masjid, Kuthukal, Manjeri, Kerala 676121",Kuthukal,44CF+FJC,Manjeri,676121,Kerala,IN,https://www.google.com/maps/place/Imam+Shafi+Masjid/data=!4m7!3m6!1s0x3ba63664e8e6480b:0xe98e8f98ed3a8311!8m2!3d11.1211801!4d76.1240057!16s%2Fg%2F11bz_lvhm7!19sChIJC0jm6GQ2pjsREYM67ZiPjuk?authuser=0&hl=en&rclk=1,"11.1211801,76.1240057"
