name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
TNTJ Branch 2 MOSQUE,Mosque,"MF94+GP9 TNTJ Branch 2 MOSQUE, Kurukku Padmasalavar St, Mannargudi, Tamil Nadu 614001",,"MF94+GP9, Kurukku Padmasalavar St",Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/TNTJ+Branch+2+MOSQUE/data=!4m7!3m6!1s0x3a554db661db5bf3:0xd6472e62c4449070!8m2!3d10.6687821!4d79.4568724!16s%2Fg%2F11fj2nnjkg!19sChIJ81vbYbZNVToRcJBExGIuR9Y?authuser=0&hl=en&rclk=1,"10.6687821,79.4568724"
muhaiyadeen Pallivasal,Mosque,"MF82+JQH muhaiyadeen Pallivasal, Mannargudi, Tamil Nadu 614001",,MF82+JQH,Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/muhaiyadeen+Pallivasal/data=!4m7!3m6!1s0x3a554c34c9bd09f7:0x4b377c1ed529b522!8m2!3d10.6665641!4d79.4519844!16s%2Fg%2F11gb400dcd!19sChIJ9wm9yTRMVToRIrUp1R58N0s?authuser=0&hl=en&rclk=1,"10.666564099999999,79.4519844"
Thowheed Mosque TNTJ markas Mannargudi,Mosque,"MC9X+4M7 Thowheed Mosque TNTJ markas Mannargudi, Thamarikulam Malekarai, Mannargudi, Tamil Nadu 614001",,"MC9X+4M7, Thamarikulam Malekarai",Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/Thowheed+Mosque+TNTJ+markas+Mannargudi/data=!4m7!3m6!1s0x3a554c356cc7ba67:0x910e46be47c98d9c!8m2!3d10.6677851!4d79.449165!16s%2Fg%2F12qgwdhr0!19sChIJZ7rHbDVMVToRnI3JR75GDpE?authuser=0&hl=en&rclk=1,"10.6677851,79.449165"
Melarajaveedhi Mosque/ Masjid,Mosque,"Melarajaveedhi Mosque/ Masjid, 0/A, Parangusam St, Theradi, Mannargudi, Tamil Nadu 614001",Theradi,"0/A, Parangusam St",Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/Melarajaveedhi+Mosque%2F+Masjid/data=!4m7!3m6!1s0x3a554d0c301aca13:0xfa79ea48162adf7c!8m2!3d10.6669275!4d79.4457!16s%2Fg%2F11h7fk94th!19sChIJE8oaMAxNVToRfN8qFkjqefo?authuser=0&hl=en&rclk=1,"10.6669275,79.4457"
Mosque,Mosque,"MC7J+4VH Mosque, Mannargudi, Tamil Nadu 614014",,MC7J+4VH,Mannargudi,614014,Tamil Nadu,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x3a554dac8ae44ec3:0xd0fb089cc5a7112b!8m2!3d10.6628178!4d79.4322471!16s%2Fg%2F1tx8rmjt!19sChIJw07kiqxNVToRKxGnxZwI-9A?authuser=0&hl=en&rclk=1,"10.6628178,79.4322471"
Al Noor Jumma Masjid,Mosque,"Al Noor Jumma Masjid, 5/128, Ashesham, Mannargudi, Tamil Nadu 614001",Ashesham,5/128,Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/Al+Noor+Jumma+Masjid/data=!4m7!3m6!1s0x3a554d907d4babe7:0x697867ba6404f6c4!8m2!3d10.649068!4d79.4558961!16s%2Fg%2F11rg6q6ddw!19sChIJ56tLfZBNVToRxPYEZLpneGk?authuser=0&hl=en&rclk=1,"10.649068,79.45589609999999"
Pengal Madharasa,Mosque,"MF72+GG3 Pengal Madharasa, Azad St, Keelappalam, Mannargudi, Tamil Nadu 614001",Keelappalam,"MF72+GG3, Azad St",Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/Pengal+Madharasa/data=!4m7!3m6!1s0x3a554dcb05be177d:0x5723c0d2e5fcf256!8m2!3d10.6637514!4d79.4512958!16s%2Fg%2F11hbgblfnw!19sChIJfRe-BctNVToRVvL85dLAI1c?authuser=0&hl=en&rclk=1,"10.663751399999999,79.4512958"
Thowheed Mosque 2,Mosque,"MF94+GQ3 Thowheed Mosque 2, Mannargudi, Tamil Nadu 614001",,MF94+GQ3,Mannargudi,,Tamil Nadu,IN,https://www.google.com/maps/place/Thowheed+Mosque+2/data=!4m7!3m6!1s0x3a554c32f9fd2139:0x19c7d6845a3571ee!8m2!3d10.6687632!4d79.4569203!16s%2Fg%2F11h9rpjvff!19sChIJOSH9-TJMVToR7nE1WoTWxxk?authuser=0&hl=en&rclk=1,"10.668763199999999,79.4569203"
NTF mnnnnnnaarkutti,Mosque,"MF83+XW5 NTF mnnnnnnaarkutti, Mannargudi, Tamil Nadu 614001",,MF83+XW5,Mannargudi,,Tamil Nadu,IN,https://www.google.com/maps/place/NTF+%E0%AE%AE%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AE%BF/data=!4m7!3m6!1s0x3a554d95cdaf582d:0xc6416fe6977d28a2!8m2!3d10.6673968!4d79.4548645!16s%2Fg%2F11h0bb5r_1!19sChIJLVivzZVNVToRoih9l-ZvQcY?authuser=0&hl=en&rclk=1,"10.667396799999999,79.4548645"
Gaffor Rahim,Mosque,"Gaffor Rahim, Masjid Gaffoorur Raheem, Thiruvarur - Mannargudi - Muthupet Rd, Vanjur, Mannargudi, Tamil Nadu 614014",Vanjur,"Masjid Gaffoorur Raheem, Thiruvarur - Mannargudi - Muthupet Rd",Mannargudi,614014,Tamil Nadu,IN,https://www.google.com/maps/place/Gaffor+Rahim/data=!4m7!3m6!1s0x3a554d6c7dbb53eb:0x726bb1b63a9b7538!8m2!3d10.6741213!4d79.4637201!16s%2Fg%2F11lh5m4jwk!19sChIJ61O7fWxNVToROHWbOraxa3I?authuser=0&hl=en&rclk=1,"10.6741213,79.4637201"
Masjid Mannargudi,Religious organization,"MC8W+R75 Masjid Mannargudi, Mela Raja Veedhi, Theradi, Mannargudi, Tamil Nadu 614001",Theradi,"MC8W+R75, Mela Raja Veedhi",Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+Mannargudi/data=!4m7!3m6!1s0x3a554d8d071de08d:0xf03e41e256bd2988!8m2!3d10.6670062!4d79.4457301!16s%2Fg%2F11fjx9__98!19sChIJjeAdB41NVToRiCm9VuJBPvA?authuser=0&hl=en&rclk=1,"10.6670062,79.44573009999999"
Masjid Gaffoorur Raheem,Mosque,"MFF7+JFX Masjid Gaffoorur Raheem, Thiruvarur - Mannargudi - Muthupet Rd, Vanjur, Mannargudi, Tamil Nadu 614014",Vanjur,"MFF7+JFX, Thiruvarur - Mannargudi - Muthupet Rd",Mannargudi,614014,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+Gaffoorur+Raheem/data=!4m7!3m6!1s0x3a554c2ec3400001:0xf14dc2aba0b1de07!8m2!3d10.6740695!4d79.4636207!16s%2Fg%2F11sscry6c2!19sChIJAQBAwy5MVToRB96xoKvCTfE?authuser=0&hl=en&rclk=1,"10.6740695,79.46362069999999"
Manba-ul-ula Mosque(chinna Palli Vasal),Mosque,"MF85+X26 Manba-ul-ula Mosque(chinna Palli Vasal), Mela Raja Veedhi, Mannargudi, Tamil Nadu 614001",,"MF85+X26, Mela Raja Veedhi",Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/Manba-ul-ula+Mosque%28chinna+Palli+Vasal%29/data=!4m7!3m6!1s0x3a554d591f03ba0f:0x762b973136f5b2a3!8m2!3d10.667424!4d79.4575114!16s%2Fg%2F11h5280nll!19sChIJD7oDH1lNVToRo7L1NjGXK3Y?authuser=0&hl=en&rclk=1,"10.667423999999999,79.4575114"
pennkll mtrcaa,Mosque,"MF72+GGP pennkll mtrcaa, Azad St, Keelappalam, Mannargudi, Tamil Nadu 614001",Keelappalam,"MF72+GGP, Azad St",Mannargudi,614001,Tamil Nadu,IN,https://www.google.com/maps/place/%E0%AE%AA%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D+%E0%AE%AE%E0%AE%A4%E0%AE%B0%E0%AE%9A%E0%AE%BE/data=!4m7!3m6!1s0x3a554dcb059c236d:0x11c8c46ce145e9d7!8m2!3d10.6638294!4d79.4513386!16s%2Fg%2F11f3n40fyl!19sChIJbSOcBctNVToR1-lF4WzEyBE?authuser=0&hl=en&rclk=1,"10.6638294,79.4513386"
