place_id,place_name,about,link
ChIJWfGe2h3rvzsRxVaARUyTexw,Idgah Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipMUSvKo1J9RCXGwO56VTatTVdJYdPX-luTX8oOV=w292-h298-k-no
ChIJWfGe2h3rvzsRxVaARUyTexw,Idgah Masjid msjd,Latest,https://lh5.googleusercontent.com/p/AF1QipPRRFeP_CI9keXOfHzyLQ7sc2Wx6Pn3uVkrE3RQ=w224-h298-k-no
ChIJWfGe2h3rvzsRxVaARUyTexw,Idgah Masjid msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipONpYJcnUO9w7up-RqO6qJVtJbmMVVBLHL9xYY_=w224-h398-k-no
ChIJWfGe2h3rvzsRxVaARUyTexw,Idgah Masjid msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipNA8l-D9rRM2Tc5ZGWFIZGbZ4YjpRxZ848QN03U=w224-h298-k-no
ChIJWfGe2h3rvzsRxVaARUyTexw,Idgah Masjid msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MXqH1sR_jHIJhyw40pH0GA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=60.12656&pitch=0&thumbfov=100
ChIJD5WeA9PrvzsRWUpPaeGoKdk,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMBpufcWRTwUB8mxxKkmfon74YdBJH4Rtj6EMfW=w224-h298-k-no
ChIJD5WeA9PrvzsRWUpPaeGoKdk,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xmJ1TigwmrU4Ckhg3Os3wg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=53.629704&pitch=0&thumbfov=100
ChIJD5WeA9PrvzsRWUpPaeGoKdk,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOyV33IS7DUr3ABzoXASqmtBPgDC_2CJIBOAOaJ=w224-h398-k-no
ChIJYwMBQUDrvzsRfjxTW8h1OUk,Raza Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPslg0yuKmv_7lsHes055XK522R36anz8Hy5Ss=w224-h298-k-no
ChIJYwMBQUDrvzsRfjxTW8h1OUk,Raza Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zjhIxskT_H6NgMdzYLJtuQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=232.8242&pitch=0&thumbfov=100
ChIJU7K-G03rvzsRJ0zYxC5jE2Q,Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOuXLa2n0YhNkAwzgEADld0a-s5v7LCeOCtbFU7=w224-h398-k-no
ChIJU7K-G03rvzsRJ0zYxC5jE2Q,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kbAcsYK3x6717rzvs3YrpA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=240.23526&pitch=0&thumbfov=100
ChIJL5h6sunrvzsRWH23y0E_Mz4,Mesquita Hidgo,All,https://lh5.googleusercontent.com/p/AF1QipPFOOT8WZgGSECoL3J1uAy6lytIzf6_3QirJOTA=w529-h298-k-no
ChIJL5h6sunrvzsRWH23y0E_Mz4,Mesquita Hidgo,Latest,https://lh5.googleusercontent.com/p/AF1QipOmo97n4Bjq7GeYz-vjieBxJdpgGuE9rdZyutLs=w224-h398-k-no
ChIJL5h6sunrvzsRWH23y0E_Mz4,Mesquita Hidgo,Dome,https://lh5.googleusercontent.com/p/AF1QipMwoB9kZTl0-0aYuf494T2QZ3YHx6Tk95aUP6_F=w529-h298-k-no
ChIJL5h6sunrvzsRWH23y0E_Mz4,Mesquita Hidgo,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4EUtBGbhK9uYbSAjOowf_w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=42.309284&pitch=0&thumbfov=100
ChIJkQzr9LjrvzsRtnTk6BT6oxs,MAPUSA MASJID,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AGaW28BB1CscOG38qGrS4g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=43.713203&pitch=0&thumbfov=100
ChIJkQzr9LjrvzsRtnTk6BT6oxs,MAPUSA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AGaW28BB1CscOG38qGrS4g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=43.713203&pitch=0&thumbfov=100
