place_id,place_name,about,link
ChIJFyAa5EPfnDkRBu0tjclb6Ho,Abraar Beebi Mosque,All,https://lh5.googleusercontent.com/p/AF1QipNRi2Qi5E42pp99_srRSnoMrZ4uKGXprNDoZW5W=w224-h298-k-no
ChIJLXMs-sDfnDkR-13QitmPM9A,Masjid Station Road,All,https://lh5.googleusercontent.com/p/AF1QipO_aR0tlmooz9-ijW9WfhNDPaR3p8KharM2uRlL=w397-h298-k-no
ChIJLXMs-sDfnDkR-13QitmPM9A,Masjid Station Road,Videos,https://lh5.googleusercontent.com/p/AF1QipMZ7rCGI-wePrZMZRPZMrhIx6hCrovFzsIT1GFI=w224-h407-k-no
ChIJuc_5_SMhnTkRF_oeDw3Jk_4,Noori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPQ8Q3u_opfiChwgbMPDNvlBuDkEQw-oSJs5yEr=w224-h381-k-no
ChIJuc_5_SMhnTkRF_oeDw3Jk_4,Noori Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_Cy9SiXNMElrKw0LQeszSg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=261.22235&pitch=0&thumbfov=100
ChIJuc_5_SMhnTkRF_oeDw3Jk_4,Noori Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMT7BsuBxnVzc1X7YMgGN8ccPXrfF06CCx1uAzl=w224-h398-k-no
ChIJY_GhHA8gnTkR0UIzmc_jiG8,Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOJCm7Dg6r-j_Ya_p32hBV9vy-O9x6qQhUrkl9a=w397-h298-k-no
ChIJY_GhHA8gnTkR0UIzmc_jiG8,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JFfkSncbYJDkB-4dpBZ4vA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=327.17368&pitch=0&thumbfov=100
ChIJm4lMh-vfnDkRYXVsWwAllXU,Abrar Baby Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMu7cPnA30HUfGhmRBXwenKxbWtRr2qclTyhnw3=w224-h298-k-no
ChIJm4lMh-vfnDkRYXVsWwAllXU,Abrar Baby Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uhWxfl611Xn1qF0WkuL0cg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=239.15196&pitch=0&thumbfov=100
ChIJRfE3jvLfnDkRNuSY5RWII54,Masjid Malikua,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rnuCBSUTzlhYEGe67oWznA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=251.98318&pitch=0&thumbfov=100
ChIJRfE3jvLfnDkRNuSY5RWII54,Masjid Malikua,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rnuCBSUTzlhYEGe67oWznA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=251.98318&pitch=0&thumbfov=100
ChIJaX6EEZ7fnDkRsvSVtrJcy7E,Pahari Bawa Masjid Maudaha,All,https://lh5.googleusercontent.com/p/AF1QipMffVstVh9agYFAusa11sHRMsNk3PoGxspiWLG-=w397-h298-k-no
ChIJaX6EEZ7fnDkRsvSVtrJcy7E,Pahari Bawa Masjid Maudaha,Videos,https://lh5.googleusercontent.com/p/AF1QipNYbHcVTZtvE5JC3rDh8J5CWK3wMLrW9X30Nmmi=w529-h298-k-no
ChIJUTiS6-vfnDkRNVfiLK43H7c,shahi masjid,All,https://lh5.googleusercontent.com/p/AF1QipM5hU8evgfudBQjja8K80Sn02oFIa0KS5UsU3aQ=w224-h448-k-no
ChIJUTiS6-vfnDkRNVfiLK43H7c,shahi masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ab7QRyLHh0uA6nZS8HbYdw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=324.57123&pitch=0&thumbfov=100
ChIJKVMfKZPfnDkRMtrGalAMDdU,Masjid Rahmaniya,All,https://lh5.googleusercontent.com/p/AF1QipMdwb8BA754iR_tyTnwpcYkAU_vJr0Wddnoz-fA=w386-h298-k-no
ChIJKVMfKZPfnDkRMtrGalAMDdU,Masjid Rahmaniya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=THpKhVntMFOlACAo7aQE8g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=214.1374&pitch=0&thumbfov=100
ChIJo4cjPevfnDkRJONbNypSgpc,Masjid Baghu,All,https://lh5.googleusercontent.com/p/AF1QipNxpi62CbqdyMI6rBYajNpKz4qHKJjlj4ukzHnK=w224-h398-k-no
ChIJo4cjPevfnDkRJONbNypSgpc,Masjid Baghu,Dome,https://lh5.googleusercontent.com/p/AF1QipPFIiPWA258NVX2XnCMGb8sIGmnnykFIsOkKjeg=w224-h298-k-no
ChIJo4cjPevfnDkRJONbNypSgpc,Masjid Baghu,Videos,https://lh5.googleusercontent.com/p/AF1QipNCA3bpsJeq9WbwiIz7B6s4fcpvkTSvtJvCtJrN=w529-h298-k-no
ChIJo4cjPevfnDkRJONbNypSgpc,Masjid Baghu,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0J65TJ6QVwdcv_9JGLpx7Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=257.28937&pitch=0&thumbfov=100
ChIJKVeiLuzfnDkRNPD7gbFEgwk,JUMA MASJID MAUDAHA,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sRHj7gN6H19nUNr7Ra1LAg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=332.54526&pitch=0&thumbfov=100
ChIJKVeiLuzfnDkRNPD7gbFEgwk,JUMA MASJID MAUDAHA,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sRHj7gN6H19nUNr7Ra1LAg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=332.54526&pitch=0&thumbfov=100
ChIJKVeiLuzfnDkRNPD7gbFEgwk,JUMA MASJID MAUDAHA,Videos,https://lh5.googleusercontent.com/p/AF1QipMA8UZNRDXfIduoHdlvs03sJK-eAh8OFCqgFDi3=w224-h398-k-no
ChIJCVlkA5XfnDkREzt2ZaYx82Q,Masjid Sajan Talab,All,https://lh5.googleusercontent.com/p/AF1QipMLstIWbfuO-mXHRHHiuvUBOLLauna8vu6QOXxq=w224-h398-k-no
ChIJCVlkA5XfnDkREzt2ZaYx82Q,Masjid Sajan Talab,Dome,https://lh5.googleusercontent.com/p/AF1QipP4maSiLb-m6HdgbryIxAy-87mBY6g3LqKAiDp5=w397-h298-k-no
ChIJCVlkA5XfnDkREzt2ZaYx82Q,Masjid Sajan Talab,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lKIVZSvWdpcO0RGvhuXdGg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=78.47697&pitch=0&thumbfov=100
ChIJ4wxFhfPfnDkRT_PJUFHgTqM,Mosque,All,https://lh5.googleusercontent.com/p/AF1QipMu905m--MsNgRSYYrX1pPNCCYoGyBWMJEPq9yS=w224-h389-k-no
ChIJ4wxFhfPfnDkRT_PJUFHgTqM,Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipMu905m--MsNgRSYYrX1pPNCCYoGyBWMJEPq9yS=w224-h389-k-no
ChIJd2CXwezfnDkRXod8TwXFfPM,Masjid Peer Baba,All,https://lh5.googleusercontent.com/p/AF1QipMvXPo74mNeFjlbMkF6-plJEsLCLvScW__NSwVd=w529-h298-k-no
ChIJd2CXwezfnDkRXod8TwXFfPM,Masjid Peer Baba,Videos,https://lh5.googleusercontent.com/p/AF1QipN9iKiTgcvisZkheGmQP68QPrO-cV0PRchwqYDA=w224-h398-k-no
ChIJO-0A8MbfnDkR99haRFazCrE,Masjid Station,All,https://lh5.googleusercontent.com/p/AF1QipOXx0NBjPhjvKNc8cTwiH_2Kc8lqzZ5vQNXLhvH=w224-h298-k-no
