place_id,place_name,about,link
ChIJAcoiYk1bHToRb0Yz2E2I6a8,Maliyara Masjid a jamil,All,https://lh5.googleusercontent.com/p/AF1QipMxkGmCphpAW3SvpdRW0TlZGEC-VDSsejaQV8kV=w444-h298-k-no
ChIJAcoiYk1bHToRb0Yz2E2I6a8,Maliyara Masjid a jamil,Dome,https://lh5.googleusercontent.com/p/AF1QipN5OQJopE1GFjbe4Hy9D2GI7TUvicoGwGVR3_0Y=w224-h298-k-no
ChIJAcoiYk1bHToRb0Yz2E2I6a8,Maliyara Masjid a jamil,By owner,https://lh5.googleusercontent.com/p/AF1QipM0Dd0oOpIZgGAiVLzVotwZYPNtgz5wnJQ6-939=w248-h298-k-no
ChIJAcoiYk1bHToRb0Yz2E2I6a8,Maliyara Masjid a jamil,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q4ik0Pm6dEnCsykkhMkTxA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=3.8360643&pitch=0&thumbfov=100
ChIJCRFRx0lbHToRVunaesrA5kw,JORA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipOs7_ESiAILfWLnZpH3OV7GsB58wQosJ76mz8-L=w447-h298-k-no
ChIJCRFRx0lbHToRVunaesrA5kw,JORA MASJID,Dome,https://lh5.googleusercontent.com/p/AF1QipOMvF4cuNMGFdwNqmirVpiYYKAZkMyjkDURhgZX=w473-h298-k-no
ChIJCRFRx0lbHToRVunaesrA5kw,JORA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipMGP9DIaLl1DVBaND64LnZ8YrZWx26_jpmQxXp7=w224-h398-k-no
ChIJCRFRx0lbHToRVunaesrA5kw,JORA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4fWEHFebi7EZkkqadpq8Ug&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=266.45828&pitch=0&thumbfov=100
ChIJIVYE_TZbHToRCAsOEvRr_is,Nimtala Chowk Mosque,All,https://lh5.googleusercontent.com/p/AF1QipMQtzDJuGxuJXl_5x6-BPyGcRd6JyhO2-9dfdcC=w224-h298-k-no
ChIJIVYE_TZbHToRCAsOEvRr_is,Nimtala Chowk Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UEI9rt6YM_z7wpJU_25Yug&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=276.9253&pitch=0&thumbfov=100
ChIJfxorGz5bHToRCXv1q0jsJHY,Mitthu Masjid msjd,All,//lh3.googleusercontent.com/O4in2dGR1wIZRMrxjACOYkHK9xVAoB8ziW1i7GFP394WVP7Cu-3e_d9lRu9XGnln9w=w529-h298-k-no
ChIJfxorGz5bHToRCXv1q0jsJHY,Mitthu Masjid msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipOUv9zdr36ZFl_Nyemh_UyqWELRLVn0jZeTkKNK=w397-h298-k-no
ChIJfxorGz5bHToRCXv1q0jsJHY,Mitthu Masjid msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D1laWEE7za9I_xdbdNCjvw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=225.8876&pitch=0&thumbfov=100
ChIJ42VIxUxbHToRbQpuK7raJks,Nakhoda Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPQIOJkZo61xa5VmcvajQ8Fgq7Qmxta4OmYGDBJ=w447-h298-k-no
ChIJ42VIxUxbHToRbQpuK7raJks,Nakhoda Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOcm55KPEZfR5Omqb1HV2KLK_35038uQ1hnUNvj=w237-h298-k-no
ChIJ42VIxUxbHToRbQpuK7raJks,Nakhoda Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u2raOrQsCka1QOqJ9kCOMQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=15.266606&pitch=0&thumbfov=100
ChIJ6VFXQxVbHToRy7yhKPbbzTw,Churiwala Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPYm7EGS-4-R1bIVpXUr8pkpaSxPdk8J5MsOzDJ=w224-h298-k-no
