place_id,place_name,about,link
ChIJEzRlHtyY0DsRv0TsLrpGWno,Mehkar Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOqbWJA68E-BCpE7kwguDuunODeVMbVg6kUh5gS=w596-h298-k-no
ChIJEzRlHtyY0DsRv0TsLrpGWno,Mehkar Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=t4mIkGem5I5NYe7U1W1Crw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=357.5879&pitch=0&thumbfov=100
ChIJ40QHF96Y0DsRELbD-Rdbt0g,Moti Masjid Chowk,All,https://lh5.googleusercontent.com/p/AF1QipM8a4AdhQyjXtr1nePPGCIYAOnqtg2wD6-WIKSc=w541-h298-k-no
ChIJ40QHF96Y0DsRELbD-Rdbt0g,Moti Masjid Chowk,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TmXvRUNh6h7fLDmE2voMvg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=310.97842&pitch=0&thumbfov=100
ChIJ40QHF96Y0DsRELbD-Rdbt0g,Moti Masjid Chowk,Videos,https://lh5.googleusercontent.com/p/AF1QipM8a4AdhQyjXtr1nePPGCIYAOnqtg2wD6-WIKSc=w541-h298-k-no
ChIJh5jGL9yY0DsR1_yv4RabvFo,Imam Bada Chowk,All,https://lh5.googleusercontent.com/p/AF1QipNRZtC-0Sdv8cwa4lc5UXJ0k1ilMzjdkTNmOYIH=w397-h298-k-no
ChIJh5jGL9yY0DsR1_yv4RabvFo,Imam Bada Chowk,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FOigTNoXp2egUzc909-E6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=73.79751&pitch=0&thumbfov=100
ChIJh5jGL9yY0DsR1_yv4RabvFo,Imam Bada Chowk,Videos,https://lh5.googleusercontent.com/p/AF1QipMW8iJc8fONVnXQPVNCIdOs3s-b7Uj0gwGmU1ML=w529-h298-k-no
ChIJTb9WR--Y0DsRyBI6Xr81Kcw,Khaja Piya Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ETSKisgK8chVu6UVZupW1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=319.78445&pitch=0&thumbfov=100
ChIJTb9WR--Y0DsRyBI6Xr81Kcw,Khaja Piya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ETSKisgK8chVu6UVZupW1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=319.78445&pitch=0&thumbfov=100
ChIJU7zVuN2Y0DsRRR2qk9Y40Hk,Gawli Pura,All,https://lh5.googleusercontent.com/p/AF1QipNYnU_Tkw_05bxDgJp0bEaKUMFpMmGz0ekhcKR4=w224-h298-k-no
ChIJU7zVuN2Y0DsRRR2qk9Y40Hk,Gawli Pura,Dome,https://lh5.googleusercontent.com/p/AF1QipMohqZ_z6X1dSX436rcuosMwV42hYxwKLotJKwT=w224-h298-k-no
ChIJU7zVuN2Y0DsRRR2qk9Y40Hk,Gawli Pura,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NBT-8UoY_5Z7juokCkYpmA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=11.387602&pitch=0&thumbfov=100
ChIJgatEfvCZ0DsRcLBgt95kh_w,Sunni Hanfi Moti Masjid TTS,All,https://lh5.googleusercontent.com/p/AF1QipMpGsw7EpAxkJ4HImpBMLHrAxhgn0z_ja2Zc7bM=w660-h298-k-no
ChIJgatEfvCZ0DsRcLBgt95kh_w,Sunni Hanfi Moti Masjid TTS,Dome,https://lh5.googleusercontent.com/p/AF1QipN_I_POBkh3DMvBfVpXIIy_VMEZkViLMucrjOOO=w434-h298-k-no
ChIJgatEfvCZ0DsRcLBgt95kh_w,Sunni Hanfi Moti Masjid TTS,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8jiHjEkIxkPxCbaO_j4qKA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=191.93127&pitch=0&thumbfov=100
ChIJb6_Oa9yY0DsRRoLrnhO3qF0,Masjid-e-Ali,All,https://lh5.googleusercontent.com/p/AF1QipOPTlazEryvqN6uEoUTz2BpRSXOtE36z-J94GK-=w254-h298-k-no
ChIJb6_Oa9yY0DsRRoLrnhO3qF0,Masjid-e-Ali,Dome,https://lh5.googleusercontent.com/p/AF1QipPd4AvM6Pu57pQtG-MY7EN-YLpBHT7LnxQdsB8V=w224-h523-k-no
ChIJXeDHocGY0DsRcCMwyYiLo3Q,Mehkar Eidgah,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BDh9wXKpJIbQqyDJO0ANwA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=267.7218&pitch=0&thumbfov=100
ChIJXeDHocGY0DsRcCMwyYiLo3Q,Mehkar Eidgah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BDh9wXKpJIbQqyDJO0ANwA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=267.7218&pitch=0&thumbfov=100
ChIJi478nMSY0DsRkmdn5P5h9UE,Raza-e-Mustafa Dar-ul-Uloom & Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PNKV0huslBm7_XxZHv1eWw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=2.0175688&pitch=0&thumbfov=100
ChIJi478nMSY0DsRkmdn5P5h9UE,Raza-e-Mustafa Dar-ul-Uloom & Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PNKV0huslBm7_XxZHv1eWw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=2.0175688&pitch=0&thumbfov=100
ChIJdafagduY0DsResQHrMcC7Uc,Nagina Masjid & Markaz,All,https://lh5.googleusercontent.com/p/AF1QipP764AxupNZrSHMc8XYE_li7SCgLFyMp6A27Gp9=w224-h398-k-no
ChIJdafagduY0DsResQHrMcC7Uc,Nagina Masjid & Markaz,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PX5KkSb18QHyFNP8l7Eqpw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=209.04707&pitch=0&thumbfov=100
ChIJRaq_kOCY0DsRpmMAYeHiUCo,Usmaniya Masjid Square,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iEGKub2EacOCeI7HoanPxg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=16.019585&pitch=0&thumbfov=100
ChIJRaq_kOCY0DsRpmMAYeHiUCo,Usmaniya Masjid Square,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iEGKub2EacOCeI7HoanPxg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=16.019585&pitch=0&thumbfov=100
ChIJ6wTsRNyY0DsRXNNbzNP1l8k,Wahed Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPbNnQm4DpYyftU2dFsoEqUPUN8sw9Vd5bn6Mrh=w224-h298-k-no
ChIJ6wTsRNyY0DsRXNNbzNP1l8k,Wahed Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipO6f_iDoWiruSRrrq5bupLN0THY_B_CVKFWRbWC=w224-h298-k-no
ChIJ6wTsRNyY0DsRXNNbzNP1l8k,Wahed Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l19otuGBVRZGvluOdcibTQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=49.806377&pitch=0&thumbfov=100
