place_id,place_name,about,link
ChIJl_vwPeYykTkR2hwkP6bEIe0,Kadiriya Zama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMibpPhF-hX9i4N6BWggBCoZ7inWca9X9BKDHHM=w529-h298-k-no
ChIJl_vwPeYykTkR2hwkP6bEIe0,Kadiriya Zama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOSNgV9iCBZFINV9BNS02Fe9q06bAZb1Tnspu0n=w224-h398-k-no
ChIJl_vwPeYykTkR2hwkP6bEIe0,Kadiriya Zama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ZwGZnoYpHHwOkz-hSFP7Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=236.67488&pitch=0&thumbfov=100
ChIJ7_-p--4ykTkRonMoZolfNKc,Sunni Jama Masjid Menhdawal,All,https://lh5.googleusercontent.com/p/AF1QipPJxQwaQcpvhD2r_-S6d1VIzf-KQcR_IvRC5aCl=w529-h298-k-no
ChIJ7_-p--4ykTkRonMoZolfNKc,Sunni Jama Masjid Menhdawal,Dome,https://lh5.googleusercontent.com/p/AF1QipPUJAW-BnkEuswMUQE3D0ovBwzk_INAttEfVRZU=w529-h298-k-no
ChIJ7_-p--4ykTkRonMoZolfNKc,Sunni Jama Masjid Menhdawal,Videos,https://lh5.googleusercontent.com/p/AF1QipPH2CT4QJvgBzMFddQ5KdPLQWl-QOSpRUvHZVlP=w224-h398-k-no
ChIJ7_-p--4ykTkRonMoZolfNKc,Sunni Jama Masjid Menhdawal,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Sjo635HJvnSuhIiu_acuJw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=355.92126&pitch=0&thumbfov=100
ChIJeybKue8ykTkRE_Feln5KQoY,Sunni Raza Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMFGEGg1bnQJpADALtXlrVevaaYFqelBGGhvjme=w397-h298-k-no
ChIJeybKue8ykTkRE_Feln5KQoY,Sunni Raza Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOdTUzReGSQWlfJShB7WgEKpErUnS8V9CtQjupJ=w224-h434-k-no
ChIJeybKue8ykTkRE_Feln5KQoY,Sunni Raza Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMdoXrRuoukmjQJ-xYAD5TYezkbEKSW3H5dVVWg=w224-h398-k-no
ChIJoVpKQ64zkTkRHsNCrD9X4NE,Rahmaniya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNrafyM8gkD6d7afYKAKY1cH0F5BBlS3EgzRDbO=w224-h298-k-no
ChIJoVpKQ64zkTkRHsNCrD9X4NE,Rahmaniya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPhK0Pqmzlo_CFiVaG4kV5Q8lwRLSVC0CqqR0PC=w224-h398-k-no
ChIJ82P0xu4ykTkRm5aRwJEnpzU,Moti Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNqh1pZeHQuvt9ytZ88-J8w6LAwFrt1Zgnr0JeH=w498-h298-k-no
ChIJ82P0xu4ykTkRm5aRwJEnpzU,Moti Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipM81qVvHz2z75OuBcHSSQJGrqkMf_wYqbJuGNIZ=w224-h298-k-no
ChIJZyI-KukykTkR8O6uF7NyVX0,Mohammadi Masjid (paschim tola menhdawal),All,https://lh5.googleusercontent.com/p/AF1QipPMJpVdpK-QjA7WLau2SXAErZASoozAetwfjUDT=w224-h398-k-no
ChIJZyI-KukykTkR8O6uF7NyVX0,Mohammadi Masjid (paschim tola menhdawal),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D5NSeRkaVHxEm4OCPD1UEw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=257.1845&pitch=0&thumbfov=100
ChIJZyI-KukykTkR8O6uF7NyVX0,Mohammadi Masjid (paschim tola menhdawal),Videos,https://lh5.googleusercontent.com/p/AF1QipPY261rho5RU6MMvrnZLbxYy1l9m5SRHliDKRtl=w224-h398-k-no
ChIJs55Bxu8ykTkRaj7OSOX0bYI,Nurani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN2dg715HPnPbpavUH6taNAsGf-Qvnr48_x8dwO=w529-h298-k-no
ChIJs55Bxu8ykTkRaj7OSOX0bYI,Nurani Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOsQW2ctqqYEdVTpx-9IK1ZCHlsEpYxGSL208S9=w529-h298-k-no
