place_id,place_name,about,link
ChIJ9WJGfQr1CzkRuJ3AGaVLDPY,Thawar Wali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPwwUEyLmWKqwYet_EB4Q_ZzSSOdmYoYfC81Ws=w224-h298-k-no
ChIJ9WJGfQr1CzkRuJ3AGaVLDPY,Thawar Wali Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNGJSBM8_D9QtS6OitbXQzzwmgxr5_oBPQYB-z0=w224-h298-k-no
ChIJ9WJGfQr1CzkRuJ3AGaVLDPY,Thawar Wali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XpOQkyxM0OMUmQIHPz9eBQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=225.89508&pitch=0&thumbfov=100
ChIJoxYVy7z1CzkRJlrAxqvoey4,Masjid And Madarsa,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y3ud8kquqqUZ7HCATHMC5Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=41.66175&pitch=0&thumbfov=100
ChIJoxYVy7z1CzkRJlrAxqvoey4,Masjid And Madarsa,Dome,https://lh5.googleusercontent.com/p/AF1QipOsFdwwDR9C-KhLLfJR2P3_TWFtbAcYYCoTq1JH=w224-h398-k-no
ChIJoxYVy7z1CzkRJlrAxqvoey4,Masjid And Madarsa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y3ud8kquqqUZ7HCATHMC5Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=41.66175&pitch=0&thumbfov=100
ChIJx21SFJ71CzkRJosU84sSeEA,Jannat Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPWKPrEcIeqhPlgnENESDJ-aKD-k_HzxhJT3B7o=w224-h398-k-no
ChIJx21SFJ71CzkRJosU84sSeEA,Jannat Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNQDW5ETi7nn9wnJr8OE-aw9V8lbIxrAsVXlrB2=w298-h298-k-no
ChIJx21SFJ71CzkRJosU84sSeEA,Jannat Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPhYiM5qb69ZpaY0LwOvfBeOO0hCS7z7PmUczNp=w224-h398-k-no
ChIJx21SFJ71CzkRJosU84sSeEA,Jannat Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vpLZp1FG5_vK-zdnfbzUWg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=249.66298&pitch=0&thumbfov=100
ChIJsY1u45_1CzkRI5PyK6wrVxY,Masjid Chand Mubarak Kotla Darbar,All,https://lh5.googleusercontent.com/p/AF1QipMg_zeYEWVorD9NbNg0i0gj_w_LKRVkcM_XvP65=w224-h398-k-no
ChIJE7JRZWj1CzkR0lh-p2zzipI,Iqra Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNDEFSI10xHrbH4L8TO-D76hs0qFZRv1sR6jPF_=w224-h298-k-no
ChIJNwi112T1CzkRCCeSZ1eoAvg,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP4jJRXXYTGliNQUry2Wj0EVcj-eqKMJ7i5RuL1=w224-h298-k-no
ChIJNwi112T1CzkRCCeSZ1eoAvg,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wlclA1JfHEv0Cjb4cd8pHw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=313.6632&pitch=0&thumbfov=100
ChIJ0xKSw4kLDDkRWN-Z01gzleE,Jama Masjid Narsinghpur Muzaffarnagar U P,All,https://lh5.googleusercontent.com/p/AF1QipNiPMiMdmryBxKSJ4-FjpdhDUq55iOi6duiE9P6=w529-h298-k-no
ChIJ0xKSw4kLDDkRWN-Z01gzleE,Jama Masjid Narsinghpur Muzaffarnagar U P,Videos,https://lh5.googleusercontent.com/p/AF1QipNN3PO_oxo1FQnyXqIdcEZsufHpjsRehNBAFQ_E=w529-h298-k-no
ChIJ2SjF_J_1CzkRmhdrsa18v5Y,Imambargah Waqf Kotla Darbaar,All,https://lh5.googleusercontent.com/p/AF1QipOpWWXX1QSlpSAVFVYyGiW1wmyasxj4fEWtQwyQ=w529-h298-k-no
ChIJ2SjF_J_1CzkRmhdrsa18v5Y,Imambargah Waqf Kotla Darbaar,Videos,https://lh5.googleusercontent.com/p/AF1QipN7V15PkPtJuXKYklUrw_pfx_lwpKcu7mWXva8_=w238-h298-k-no
ChIJX02Jsdj1CzkRSF783tM9i_0,Masjid Baitul Mukarram,All,https://lh5.googleusercontent.com/p/AF1QipN_ma1xP88DjtI0f5HZFZeSl9JxXTAJOSUhuCs=w224-h398-k-no
ChIJX02Jsdj1CzkRSF783tM9i_0,Masjid Baitul Mukarram,Dome,https://lh5.googleusercontent.com/p/AF1QipPVMdA4xzTr98HD7UVzUE7RadORUgRmqt-MLT0=w224-h472-k-no
ChIJX02Jsdj1CzkRSF783tM9i_0,Masjid Baitul Mukarram,Videos,https://lh5.googleusercontent.com/p/AF1QipN2TKy3Wabguj7pQ65PGVlc2q_zTlCLXzOds5ju=w224-h398-k-no
ChIJv7934-r1CzkRrwniNMImhNg,Abu Baqr Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNOkAAe4Yn7FhFVP28u0x-HrLBTszjofgB8ovd_=w224-h398-k-no
ChIJv7934-r1CzkRrwniNMImhNg,Abu Baqr Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPtqynWdpdJcFisj7mREAHXIbbd150v9EbpZqBU=w662-h298-k-no
ChIJR654K4j1CzkRw3qaXJbRlxM,Masjid Sharif,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bXhjM6UuN_GpIldSrX4jZg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=27.576006&pitch=0&thumbfov=100
ChIJR654K4j1CzkRw3qaXJbRlxM,Masjid Sharif,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bXhjM6UuN_GpIldSrX4jZg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=27.576006&pitch=0&thumbfov=100
ChIJU7lrQYr1CzkRNoT1DvSjlfo,Shahi Jama Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ITTLefS6l5XiVQPqJiH8xA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=309.3438&pitch=0&thumbfov=100
ChIJU7lrQYr1CzkRNoT1DvSjlfo,Shahi Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ITTLefS6l5XiVQPqJiH8xA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=309.3438&pitch=0&thumbfov=100
ChIJw-y1IaD1CzkRtVhBmGdW2Cc,Chand Tara Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO2PVXj06evZZ4Qw7lqXP5X8kaRRD2LjBc_8rNP=w639-h298-k-no
ChIJw-y1IaD1CzkRtVhBmGdW2Cc,Chand Tara Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipM64dtzds1aDo80GqhagiaLZME11pNYxAqPJzZ8=w452-h298-k-no
ChIJ9zJCSB71CzkRrkDe15_2_OI,Eid gaah miranpur,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W_lIkjDM7Ft50yo3RONhfw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=213.02719&pitch=0&thumbfov=100
ChIJ9zJCSB71CzkRrkDe15_2_OI,Eid gaah miranpur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W_lIkjDM7Ft50yo3RONhfw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=213.02719&pitch=0&thumbfov=100
ChIJ0TWJm7f1CzkR7dTmBcYb9P8,Mahal Wali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOd_PDe-FYlQvZ_TRy-7OsB7AN7zyplW1BCa93H=w224-h298-k-no
ChIJ0TWJm7f1CzkR7dTmBcYb9P8,Mahal Wali Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPYDYwCz_9Q489d53jNv0Vsd4FuH6knphCCPZZq=w224-h485-k-no
ChIJAQAAwHT1CzkR-M-3LfMW8vs,Al Zehra Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMCFtqMc7vjX3IiW-G3hdgO0YOG06dwu_Jk8rw=w224-h398-k-no
ChIJAQAAwHT1CzkR-M-3LfMW8vs,Al Zehra Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMCFtqMc7vjX3IiW-G3hdgO0YOG06dwu_Jk8rw=w224-h398-k-no
ChIJ79KBQZT1CzkRy9_dp8cdcCw,Masjid Zahra,All,https://lh5.googleusercontent.com/p/AF1QipMNAQQ54KNfEWglUL8ElJEnD5w6S_M_bckIksQ=w224-h298-k-no
ChIJ79KBQZT1CzkRy9_dp8cdcCw,Masjid Zahra,Dome,https://lh5.googleusercontent.com/p/AF1QipMNAQQ54KNfEWglUL8ElJEnD5w6S_M_bckIksQ=w224-h298-k-no
ChIJ-eBHqnr1CzkRDq-3f_17gSQ,Shiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO4kx9MrmpHisBr1uvQM_fmscoJ1Lmb3mmozyip=w529-h298-k-no
