name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jamia Millia Islamia Central Mosque - jm` msjdi jm`h mlyh slmyh,Mosque,"Jamia Millia Islamia Central Mosque - jm` msjdi jm`h mlyh slmyh, Maulana Mohammad Ali Jauhar Marg, Jamia Millia Islamia, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Jamia Millia Islamia, Jamia Nagar, Okhla",Maulana Mohammad Ali Jauhar Marg,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jamia+Millia+Islamia+Central+Mosque+-+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%D9%90+%D8%AC%D8%A7%D9%85%D8%B9%DB%81+%D9%85%D9%84%DB%8C%DB%81+%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C%DB%81%E2%80%AD/data=!4m7!3m6!1s0x390ce38b112f4ff9:0xb882674201afdc30!8m2!3d28.5625429!4d77.2826111!16s%2Fg%2F1hhjtj1db!19sChIJ-U8vEYvjDDkRMNyvAUJngrg?authuser=0&hl=en&rclk=1,"28.5625429,77.2826111"
Ishaat e Islam Masjid - sh`t  slm msjd,Mosque,"Ishaat e Islam Masjid - sh`t  slm msjd, Ishat E Islam, Hari Kothi Rd, Abul Fazal Enclave Part 1, Abul Fazal Enclave, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Abul Fazal Enclave Part 1, Abul Fazal Enclave, Jamia Nagar, Okhla","Ishat E Islam, Hari Kothi Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Ishaat+e+Islam+Masjid+-+%D8%A7%D8%B4%D8%A7%D8%B9%D8%AA+%D8%A1+%D8%A7%D8%B3%D9%84%D8%A7%D9%85+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390ce40c2ff9b231:0x608aa5b5af203426!8m2!3d28.5567717!4d77.2942062!16s%2Fg%2F1tvt8qxd!19sChIJMbL5LwzkDDkRJjQgr7WlimA?authuser=0&hl=en&rclk=1,"28.5567717,77.29420619999999"
Jama Masjid (Okhla),Mosque,"Jama Masjid (Okhla), 21/4,Okhla Bazar, Okhla Main Market Rd, Jamia Nagar, Okhla Village, Okhla, New Delhi, Delhi 110025","Jamia Nagar, Okhla Village, Okhla","21/4,Okhla Bazar, Okhla Main Market Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid+%28Okhla%29/data=!4m7!3m6!1s0x390ce474e657e7f9:0x9680577c25554efa!8m2!3d28.5631627!4d77.2900565!16s%2Fg%2F1tk6ywjp!19sChIJ-edX5nTkDDkR-k5VJXxXgJY?authuser=0&hl=en&rclk=1,"28.5631627,77.29005649999999"
Masjid Nabi (msjd nby) Johri farm,Mosque,"Masjid Nabi (msjd nby) Johri farm, C7, 1st Lane Johri Farm, Noor Nagar Extension, Noor Nagar, Okhla, New Delhi, Delhi 110025","Noor Nagar Extension, Noor Nagar, Okhla","C7, 1st Lane Johri Farm",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Nabi+%28%D9%85%D8%B3%D8%AC%D8%AF+%D9%86%D8%A8%DB%8C%29+Johri+farm%E2%80%AD/data=!4m7!3m6!1s0x390ce5082fe1ad5f:0x5775343e83da2a45!8m2!3d28.555116!4d77.2871876!16s%2Fg%2F11mvgvl28g!19sChIJX63hLwjlDDkRRSragz40dVc?authuser=0&hl=en&rclk=1,"28.555115999999998,77.2871876"
Jamia Boys Hostel Masjid jmyh bwys hwsttl msjd,Mosque,"Jamia Boys Hostel Masjid jmyh bwys hwsttl msjd, Gate no. 4, Hall of boys residence, Jamia Millia Islamia, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Jamia Millia Islamia, Jamia Nagar, Okhla","Gate no. 4, Hall of boys residence",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jamia+Boys+Hostel+Masjid+%D8%AC%D8%A7%D9%85%DB%8C%DB%81+%D8%A8%D9%88%D8%A7%DB%8C%D8%B3+%DB%81%D9%88%D8%B3%D9%B9%D9%84+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390ce38bf66899d1:0x57e8df6a5a7d6b2!8m2!3d28.5651793!4d77.2806872!16s%2Fg%2F11c5rpv6_6!19sChIJ0Zlo9ovjDDkRstanpfaNfgU?authuser=0&hl=en&rclk=1,"28.565179299999997,77.2806872"
Masjid Mujeeb Bagh,Mosque,"H74R+R4J Masjid Mujeeb Bagh, Mujeeb Bagh, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Mujeeb Bagh, Jamia Nagar, Okhla",H74R+R4J,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Mujeeb+Bagh/data=!4m7!3m6!1s0x390ce40bc79e1ce9:0x18ab01f5fdcf10b3!8m2!3d28.5570856!4d77.2902574!16s%2Fg%2F11hbvrlrnj!19sChIJ6RyexwvkDDkRsxDP_fUBqxg?authuser=0&hl=en&rclk=1,"28.557085599999997,77.2902574"
Jama Masjid Jamia,Mosque,"H77M+9CQ Jama Masjid Jamia, Jamia Jama Masjid Rd, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Jamia Nagar, Okhla","H77M+9CQ, Jamia Jama Masjid Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid+Jamia/data=!4m7!3m6!1s0x390ce329e5e9fe39:0xfdadee6422dd6abd!8m2!3d28.5634592!4d77.2836065!16s%2Fg%2F11fnyd14qm!19sChIJOf7p5SnjDDkRvWrdImTurf0?authuser=0&hl=en&rclk=1,"28.563459199999997,77.28360649999999"
Jama Masjid of Zakir Nagar,Mosque,"631, Jama Masjid of Zakir Nagar, Street Number 9, 9a, Zakir Nagar Main Rd, Jogabai Extension, Zakir Nagar, Okhla, New Delhi, Delhi 110025","Jogabai Extension, Zakir Nagar, Okhla","631, Street Number 9, 9a, Zakir Nagar Main Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid+of+Zakir+Nagar/data=!4m7!3m6!1s0x390ce3894ca4c9fb:0x90f48aa56d1e920d!8m2!3d28.5673307!4d77.2807872!16s%2Fg%2F1tcxbl1z!19sChIJ-8mkTInjDDkRDZIebaWK9JA?authuser=0&hl=en&rclk=1,"28.5673307,77.28078719999999"
Khalilullah Masjid,Mosque,"Khalilullah Masjid, KHALILULLAH masjid, I 80/A, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Batla House, Jamia Nagar, Okhla","KHALILULLAH masjid, I 80/A",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Khalilullah+Masjid/data=!4m7!3m6!1s0x390ce475d1de5d13:0xe00156a6e547ab99!8m2!3d28.566411!4d77.2889085!16s%2Fg%2F1tj1kwt5!19sChIJE13e0XXkDDkRmatH5aZWAeA?authuser=0&hl=en&rclk=1,"28.566411,77.28890849999999"
Al Noor Masjid,Mosque,"Al Noor Masjid, Nafees Rd, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Batla House, Jamia Nagar, Okhla",Nafees Rd,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Al+Noor+Masjid/data=!4m7!3m6!1s0x390ce476496a23f3:0xa12d95c7c3bb68ab!8m2!3d28.569068!4d77.2862973!16s%2Fg%2F1tg_7v_w!19sChIJ8yNqSXbkDDkRq2i7w8eVLaE?authuser=0&hl=en&rclk=1,"28.569067999999998,77.2862973"
