place_id,place_name,about,link
ChIJpTSy17_qtTsRQbPrxl9UG5Y,Masjid e Abubakar Siddique,All,https://lh5.googleusercontent.com/p/AF1QipNgwavQ466hQcUvgflMsX8wId2rgjvFSGCr7w0-=w530-h298-k-no
ChIJpTSy17_qtTsRQbPrxl9UG5Y,Masjid e Abubakar Siddique,Dome,https://lh5.googleusercontent.com/p/AF1QipN2MYWtXOW5_ra9NC-yx0hJJz2b3WCBzED7MKdr=w529-h298-k-no
ChIJpTSy17_qtTsRQbPrxl9UG5Y,Masjid e Abubakar Siddique,By owner,https://lh5.googleusercontent.com/p/AF1QipMztZqIV14RCdwokLmn0XkG4Z0j0HgJema2xVjl=w529-h298-k-no
ChIJb31JGpPqtTsRg1SP0l3i4rE,Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNBPgNcuLhbjDLoO_Fos3gCZptkqKF76K9gqseS=w224-h298-k-no
ChIJb31JGpPqtTsRg1SP0l3i4rE,Jamia Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipM4z3UTl20MccdNq7vZbUoBDS5Yj_oJUG4gBIZI=w529-h298-k-no
ChIJXQfcecDqtTsRxJwfjqK9WyU,Masjid e Salsabeel,All,https://lh5.googleusercontent.com/p/AF1QipNaIxgNB0YdZmFO93Bi0wt8NA9-fc3DEG-fpmQO=w529-h298-k-no
ChIJN56NEpTqtTsRC2oV1zkaInY,Husaini Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNJx8u9r0khxAeYHuBjSxcq9J9qwvCZ-I0NDru_=w530-h298-k-no
ChIJN56NEpTqtTsRC2oV1zkaInY,Husaini Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipNJx8u9r0khxAeYHuBjSxcq9J9qwvCZ-I0NDru_=w530-h298-k-no
ChIJN56NEpTqtTsRC2oV1zkaInY,Husaini Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO-3gpB6f7OTKAEqfpFd8BAKzaRAAIGzxZ_MxK7=w298-h298-k-no
ChIJs9-FX5TqtTsRud2CQX0pANU,Masjid E Muhammadia Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipOrYWf-J_UMcLPuKKbwcP34P72R-n9IogH6HIiW=w529-h298-k-no
ChIJCej8a5LqtTsR-KelVB1iYmQ,Noorani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNBkAjYx-gP5AUfV9T3WdDZmSursu4EOwcJdpxF=w529-h298-k-no
ChIJCej8a5LqtTsR-KelVB1iYmQ,Noorani Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipM4Wng_gGTdK1sWmMzQ8sR97WQ6_ygaaeZb4kyk=w280-h298-k-no
ChIJCej8a5LqtTsR-KelVB1iYmQ,Noorani Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipMMDuFZ6sckEj-b3TG8_FRWGXPI35rANkbOjJBR=w529-h298-k-no
ChIJjcCPIpfqtTsRLxPyt6hVwes,Masjid-e-Salafia Jamiat-e-Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipPf_HGJv0XuOtoO1aWrBqyQX_b0gs_okQCuqqCY=w529-h298-k-no
ChIJjcCPIpfqtTsRLxPyt6hVwes,Masjid-e-Salafia Jamiat-e-Ahle Hadees,Videos,https://lh5.googleusercontent.com/p/AF1QipNfIbp85ZSvtQXv9GKlJcIa4V3GX2lO55R4STRU=w529-h298-k-no
ChIJ86p4oJDqtTsR-gg39BhLr1U,Bilal Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMDPMIMdWvNm8SQXIzhRWJWlv1XzlezNw35G0x4=w527-h298-k-no
ChIJvW9m-pDqtTsR7zdF_E97FKw,MADEENA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipO8lBM9_mqaol6z-yVWiqnrZyN3md7D_LinOTsg=w397-h298-k-no
ChIJvW9m-pDqtTsR7zdF_E97FKw,MADEENA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipMTWM8jxFt7SgQ4RkO5yjJGaSrHdogz4q0khCOa=w541-h298-k-no
ChIJ06JK3b7qtTsRQVubiO7G_ck,Masjid E Usman Gani,All,https://lh5.googleusercontent.com/p/AF1QipM51GpM8DWlz_nV_0uDZKSJefiP-MqyCOgwr3aF=w224-h496-k-no
ChIJq76XR5HqtTsRruBVitkgaX4,SHAHI Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNzvu5fgJQ9gy0KVxm-vKRlnjrlTVJKNFbQOVew=w529-h298-k-no
ChIJ12nTaZXqtTsRTa_86GFTVlY,Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP3iNhxB0mW9MPvVH9Lh-eu1qfI8JF_TyxE2fAf=w529-h298-k-no
ChIJ12nTaZXqtTsRTa_86GFTVlY,Jamia Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO6UklIr0t1ugvWcWjxCcStRgOrq9fD_Smi2juL=w529-h298-k-no
ChIJJbLTB-rrtTsRLTpqldQlYt0,Masid-E-Abu hurairah,All,https://lh5.googleusercontent.com/p/AF1QipM-m5HvT1l1qepRlm0GnqRtg6C6CepYz2gxEscY=w397-h298-k-no
ChIJJbLTB-rrtTsRLTpqldQlYt0,Masid-E-Abu hurairah,Videos,https://lh5.googleusercontent.com/p/AF1QipMjNLtx--N4CzhBfWNJ83YcZoTagiVfuICU_nhn=w224-h398-k-no
