place_id,place_name,about,link
ChIJ9UaR2SxorzsR38pg67tR5dg,Jamiya Masjid Nanjangud,All,https://lh5.googleusercontent.com/p/AF1QipM4Syq2LqqhADpbCCas9vThUet27wSUqDh7dVs6=w224-h298-k-no
ChIJ9UaR2SxorzsR38pg67tR5dg,Jamiya Masjid Nanjangud,Dome,https://lh5.googleusercontent.com/p/AF1QipMJFsxCyfL05pQJt7-JozXQ6XccjAeJ28IB1jYA=w298-h298-k-no
ChIJ9UaR2SxorzsR38pg67tR5dg,Jamiya Masjid Nanjangud,Videos,https://lh5.googleusercontent.com/p/AF1QipMhrKLE24yuLv-nTsSpuVnwd2xmRux9EVsJ5lN3=w298-h298-k-no
ChIJ9UaR2SxorzsR38pg67tR5dg,Jamiya Masjid Nanjangud,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pM-_D2uhBl9ChoUgqORdpA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=334.58597&pitch=0&thumbfov=100
ChIJtSOwmIJCrzsRtaUXeUnK_ok,Masjid-e-noor,All,https://lh5.googleusercontent.com/p/AF1QipOLoU0QosvdwOB6Gm3JbaWA0cwFJUbY_RxjF0gM=w397-h298-k-no
ChIJfb3O4y5orzsRlNXVxo5YRuk,Eidgah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOJueFe4XFdE9598LbVnv3xGDEfudHUGCxupxmS=w224-h298-k-no
ChIJfb3O4y5orzsRlNXVxo5YRuk,Eidgah Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s-VyFpcZvEw_2z5F_mA5Iw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=20.87698&pitch=0&thumbfov=100
ChIJfb3O4y5orzsRlNXVxo5YRuk,Eidgah Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipODQQENodgAKkGBfzvrJqxpNmdUfJcp0R95EJao=w298-h298-k-no
ChIJAzJDVitorzsRCKBpwZHidJo,MASJID E SALAFIYA- AHLE HADEES,All,https://lh5.googleusercontent.com/p/AF1QipN9BIBPQUwK-3wSBFzFG_sv1bbB-QODVmu4nGzk=w224-h298-k-no
ChIJAzJDVitorzsRCKBpwZHidJo,MASJID E SALAFIYA- AHLE HADEES,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pfSgk_v_FVXmAtennRBwVA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=23.284342&pitch=0&thumbfov=100
ChIJAzJDVitorzsRCKBpwZHidJo,MASJID E SALAFIYA- AHLE HADEES,Videos,https://lh5.googleusercontent.com/p/AF1QipO6BxUMs-SPXlzmHFz1GMrPv9DIxUShy9B9zNxG=w224-h398-k-no
ChIJhUyu7SporzsRBLhrwHfI__0,Bilal Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMJj_B0stkGHl_lRvZmNmvpoIuke1jetQPU_Axm=w298-h298-k-no
ChIJE1wDxy5orzsRUcCcIIC5ylU,MASJID E NOOR MADRASA E NOORUL HUDA,All,https://lh5.googleusercontent.com/p/AF1QipPJB4BIHHifaNR6KUlGUWoDncQAVIGDFFPV2GpK=w397-h298-k-no
ChIJE1wDxy5orzsRUcCcIIC5ylU,MASJID E NOOR MADRASA E NOORUL HUDA,Dome,https://lh5.googleusercontent.com/p/AF1QipPIiILc7KbIxagJRZgXIcR-KXejdiJau8B5cSj-=w397-h298-k-no
ChIJE1wDxy5orzsRUcCcIIC5ylU,MASJID E NOOR MADRASA E NOORUL HUDA,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pPKaYDZy6KQMG8LAs2pLUg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=222.08194&pitch=0&thumbfov=100
