place_id,place_name,about,link
ChIJRWob1N-ASjoRku6ZkskdvOM,Islampet Mosque,All,https://lh5.googleusercontent.com/p/AF1QipN-KViqbVSuRtGkNiBDPZGlu2594U7PPh0d-tCi=w224-h398-k-no
ChIJRWob1N-ASjoRku6ZkskdvOM,Islampet Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipMI3xvRxJG0h9NtZE1jCdEY0w_f-cYZxJHIznHl=w224-h398-k-no
ChIJRWob1N-ASjoRku6ZkskdvOM,Islampet Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipPqDObIzNUf86-6c1OzfxDS-fyFxfw5ZnwulRVO=w224-h398-k-no
ChIJRWob1N-ASjoRku6ZkskdvOM,Islampet Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uBKj8R0WpP7kN4UAYB8fDQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=348.75104&pitch=0&thumbfov=100
ChIJbTyo6RiBSjoR8cEc1L7UmkM,Usman E Gani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM7jmWEkYlby9F1pYLMZ7R2duJS91gQWJ47QW-0=w529-h298-k-no
ChIJbTyo6RiBSjoR8cEc1L7UmkM,Usman E Gani Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-aWZIN_x83WBLrZLVWP4Lg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=38.723354&pitch=0&thumbfov=100
ChIJ4V4BaBeBSjoRbSUWmNhy_8U,Munavvar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO0G08DK4l0csq4W5paDJ03Z3Ms12OE7dwtr1RX=w531-h298-k-no
ChIJ4V4BaBeBSjoRbSUWmNhy_8U,Munavvar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dEAP7iez7hO6_aAPXpCj3g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=215.61964&pitch=0&thumbfov=100
ChIJ4V4BaBeBSjoRbSUWmNhy_8U,Munavvar Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipM_wiyEO9QlfyhjCxC8xKNNgzC0zVLMnJQuQCjR=w224-h398-k-no
ChIJc6piL-KASjoRBaiX6nsFrFA,Badi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMYSj-54kdLdrpWoYwxsGePEyWOB44oli3KymhS=w528-h298-k-no
ChIJc6piL-KASjoRBaiX6nsFrFA,Badi Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPK5rkHv25cyYCtSqPdW2TvPzJns3PLwKl-QdsS=w662-h298-k-no
ChIJc6piL-KASjoRBaiX6nsFrFA,Badi Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V0PLtDGoUu0D8Y1T80Bsmg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=74.304115&pitch=0&thumbfov=100
