place_id,place_name,about,link
ChIJuYmk6WyjyTsRMTF8gajoyA0,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO4fbh64mwV031hMCKsnvzSgQcfexdbr4zQG-1-=w397-h298-k-no
ChIJuYmk6WyjyTsRMTF8gajoyA0,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOvEr_Nt8vjhf8bhaYNVn0ohgQgoOPpmodRfLIJ=w397-h298-k-no
ChIJuYmk6WyjyTsRMTF8gajoyA0,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K-sRSL754q-tdTXnKeIFbQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=261.1945&pitch=0&thumbfov=100
ChIJM70KXBSjyTsRHc3qHQ45pFU,Masjid-E-Haji Khan,All,https://lh5.googleusercontent.com/p/AF1QipPgJDajzLuKrbn58fbzBsjULbx3dBGYLFLPuY55=w397-h298-k-no
ChIJM70KXBSjyTsRHc3qHQ45pFU,Masjid-E-Haji Khan,Dome,https://lh5.googleusercontent.com/p/AF1QipOwWoupRW6SS7ssoOOtI8MDwI0sRAd6NMfLfSrG=w224-h298-k-no
ChIJM70KXBSjyTsRHc3qHQ45pFU,Masjid-E-Haji Khan,Videos,https://lh5.googleusercontent.com/p/AF1QipOwOCp2mzWnvBw3FVoo_XlKkMmnc6pMrqTdcgZi=w224-h398-k-no
ChIJM70KXBSjyTsRHc3qHQ45pFU,Masjid-E-Haji Khan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=piGDEFQXXl3zA18NUvAHVg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=12.470764&pitch=0&thumbfov=100
ChIJI1BTyTyjyTsRRMRNrM9uIUs,Masjid-e-Firdaus,All,https://lh5.googleusercontent.com/p/AF1QipMPf5down_cOJzlYZrm7ipYtufKV3ND2Cn1kTL_=w397-h298-k-no
ChIJI1BTyTyjyTsRRMRNrM9uIUs,Masjid-e-Firdaus,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VvzODMnHm2Q9pqgx2bgspg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=166.44218&pitch=0&thumbfov=100
ChIJnZSGsGyjyTsRmw43lHBJDNc,"Madina masjid, Narayanpet",All,https://lh5.googleusercontent.com/p/AF1QipPcHnntrsWajJJtkg-aa7Pz80Y-OJxVUMtvx9Jn=w397-h298-k-no
ChIJnZSGsGyjyTsRmw43lHBJDNc,"Madina masjid, Narayanpet",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dbsDMZ29F-UnBO25Ypw2WA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=177.85864&pitch=0&thumbfov=100
ChIJI7iq8WyjyTsRYmhotOeNLVI,Makkah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOpqCMvH3LawwUuNnEF-zda_hntjP456_fY-apJ=w397-h298-k-no
ChIJI7iq8WyjyTsRYmhotOeNLVI,Makkah Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOpqCMvH3LawwUuNnEF-zda_hntjP456_fY-apJ=w397-h298-k-no
ChIJm7pI_RKjyTsRHRjgflS91As,Tekri Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMRcE7bph2koGEAoOL3o4Te4ZQwu4NKdOb7zA28=w224-h298-k-no
ChIJm7pI_RKjyTsRHRjgflS91As,Tekri Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMRcE7bph2koGEAoOL3o4Te4ZQwu4NKdOb7zA28=w224-h298-k-no
ChIJd5Micz6jyTsRWer30eC4FlU,Majid E Rahmania Ahle Hadees,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0dX3epQ6h5ImtBJSvDBovQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=29.499533&pitch=0&thumbfov=100
ChIJd5Micz6jyTsRWer30eC4FlU,Majid E Rahmania Ahle Hadees,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0dX3epQ6h5ImtBJSvDBovQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=29.499533&pitch=0&thumbfov=100
ChIJ07DVJf-jyTsRm8zfW4JAJog,Lal Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNGhVSXeoNhhFmtM50UuR7ndyTLSwj3XLpU0uOk=w529-h298-k-no
ChIJ07DVJf-jyTsRm8zfW4JAJog,Lal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zdRlAKOZ-Bv--0m_-kL0iw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=312.80554&pitch=0&thumbfov=100
ChIJ0d8kcKijyTsRzpxeNHdW5k8,MASJID ..NOOR E HAFEEZ,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DCn6K9-yDhKXtyr6sd0VDQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=150.5905&pitch=0&thumbfov=100
ChIJ0d8kcKijyTsRzpxeNHdW5k8,MASJID ..NOOR E HAFEEZ,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DCn6K9-yDhKXtyr6sd0VDQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=150.5905&pitch=0&thumbfov=100
