place_id,place_name,about,link
ChIJXTp4k1k68DkRT2Tt3JwoxjE,Millat Masjid Maniyamore,All,https://lh5.googleusercontent.com/p/AF1QipPSZZrooi0xq_aMD_-wN1u5H6KP8GP_iARnDpV7=w224-h298-k-no
ChIJXTp4k1k68DkRT2Tt3JwoxjE,Millat Masjid Maniyamore,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FSl7cas2tKlYzbM9N5wuAw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=188.04808&pitch=0&thumbfov=100
ChIJXTp4k1k68DkRT2Tt3JwoxjE,Millat Masjid Maniyamore,Videos,https://lh5.googleusercontent.com/p/AF1QipN4V4hl-XvRq3oCp3f5mMxORbNF_RpXb7tq65lS=w224-h395-k-no
ChIJBbcQg7A78DkRc15tVBL-CZ0,Chhoti Masjid Ujani,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VUsozcjhdMPNunbYTPvS7Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=205.4834&pitch=0&thumbfov=100
ChIJBbcQg7A78DkRc15tVBL-CZ0,Chhoti Masjid Ujani,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VUsozcjhdMPNunbYTPvS7Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=205.4834&pitch=0&thumbfov=100
ChIJp1-HRsU78DkRZqgxASSQNzQ,Chhoti Masjid mumtaz mohalla,All,https://lh5.googleusercontent.com/p/AF1QipOkYv9NKa_ADzOW28L9ds1prxLWQn93WSl0iREX=w224-h298-k-no
ChIJp1-HRsU78DkRZqgxASSQNzQ,Chhoti Masjid mumtaz mohalla,Videos,https://lh5.googleusercontent.com/p/AF1QipNzdMjEs1r1n7kQEdZ12VQoNHFzNlQKZqpN_ynH=w224-h398-k-no
ChIJAXb6eJc78DkRZpSmgf-2GDs,"Jama masjid, jm`h lmzyd, jaamaa msjid,",All,https://lh5.googleusercontent.com/p/AF1QipPzNKoQviAtGn1pOSQh-GQTF4Jpe7sNeOCmRze3=w662-h298-k-no
ChIJAXb6eJc78DkRZpSmgf-2GDs,"Jama masjid, jm`h lmzyd, jaamaa msjid,",Videos,https://lh5.googleusercontent.com/p/AF1QipN8RfFKaxVguW-od8BHXihc-cQ3IxH-Vj3DHVnQ=w662-h298-k-no
ChIJVYbNrFI78DkR2gM7_d69WC4,Imbara maniyamor,All,https://lh5.googleusercontent.com/p/AF1QipObfdsFY91t_fCFDilXjopQSfxH51a01LlxNTFf=w224-h497-k-no
ChIJ31arT1478DkRwh-4Pvwfb_Y,Jha ji,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7Cs258-TUYBMmpc0Z5vUcA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=66.96195&pitch=0&thumbfov=100
ChIJ31arT1478DkRwh-4Pvwfb_Y,Jha ji,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7Cs258-TUYBMmpc0Z5vUcA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=66.96195&pitch=0&thumbfov=100
