name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid Thothibari,Mosque,"CCMH+JVF Masjid Thothibari, Nautanwa, Uttar Pradesh 273164",,CCMH+JVF,Nautanwa,273164,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Thothibari/data=!4m7!3m6!1s0x3996982ef620770d:0xac0a0f5619acbfb6!8m2!3d27.4340588!4d83.4296678!16s%2Fg%2F11g9jjb3rn!19sChIJDXcg9i6YljkRtr-sGVYPCqw?authuser=0&hl=en&rclk=1,"27.4340588,83.42966779999999"
Masjid,Mosque,"CCJF+P48 Masjid, Nautanwa Bazar, Nautanwa, Uttar Pradesh 273164",Nautanwa Bazar,CCJF+P48,Nautanwa,273164,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3996982838fcd2ad:0x3f99a47e8e9b3f18!8m2!3d27.4317812!4d83.422842!16s%2Fg%2F11fxc2r5g3!19sChIJrdL8OCiYljkRGD-bjn6kmT8?authuser=0&hl=en&rclk=1,"27.4317812,83.422842"
Masjid & Madarsa Persohiya,Mosque,"CCJG+G2M Masjid & Madarsa Persohiya, Nautanwa Bazar, Nautanwa, Uttar Pradesh 273164",Nautanwa Bazar,CCJG+G2M,Nautanwa,273164,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+%26+Madarsa+Persohiya/data=!4m7!3m6!1s0x3996982892b83cc5:0xea068d3fb26bfb77!8m2!3d27.4313435!4d83.4250525!16s%2Fg%2F11d_yqxpsl!19sChIJxTy4kiiYljkRd_trsj-NBuo?authuser=0&hl=en&rclk=1,"27.431343499999997,83.42505249999999"
Markaji Jama Masjid,Mosque,"CCG8+MPC Markaji Jama Masjid, Nautanwa, Uttar Pradesh 273164",,CCG8+MPC,Nautanwa,273164,Uttar Pradesh,IN,https://www.google.com/maps/place/Markaji+Jama+Masjid/data=!4m7!3m6!1s0x399697892891156b:0xf6bea1400df6a30f!8m2!3d27.4266833!4d83.4167607!16s%2Fg%2F11dz_wll3q!19sChIJaxWRKImXljkRD6P2DUChvvY?authuser=0&hl=en&rclk=1,"27.426683299999997,83.4167607"
Jama Masjid,Mosque,"5H74+28C Jama Masjid, Nautanwa, Bihar 845451",,5H74+28C,Nautanwa,845451,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x39949919a5218f47:0x4a2e3ebae6c137d1!8m2!3d27.1625573!4d84.5557608!16s%2Fg%2F11j5h345tf!19sChIJR48hpRmZlDkR0TfB5ro-Lko?authuser=0&hl=en&rclk=1,"27.1625573,84.5557608"
Masjid Madarsawali,Mosque,"CCG8+JHR Masjid Madarsawali, Araji Sarkar Urf Bairiha, Nautanwa, Uttar Pradesh 273164",,CCG8+JHR,"Araji Sarkar Urf Bairiha, Nautanwa",273164,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Madarsawali/data=!4m7!3m6!1s0x3996978ed4aba77f:0x375a194063c80dc2!8m2!3d27.4266062!4d83.4164033!16s%2Fg%2F11fy4pwwjk!19sChIJf6er1I6XljkRwg3IY0AZWjc?authuser=0&hl=en&rclk=1,"27.4266062,83.4164033"
Masjid,Mosque,"5H9G+77R Masjid, Nautanwa, Bihar 845306",,5H9G+77R,Nautanwa,845306,Bihar,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x399499345f3e9b5b:0x71de141cc605989b!8m2!3d27.1682264!4d84.5756551!16s%2Fg%2F11rrphp22t!19sChIJW5s-XzSZlDkRm5gFxhwU3nE?authuser=0&hl=en&rclk=1,"27.168226399999998,84.57565509999999"
Masjid Umar Farooq,Mosque,"CC98+P6V Masjid Umar Farooq, Nautanwa, Uttar Pradesh 273164",,CC98+P6V,Nautanwa,,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Umar+Farooq/data=!4m7!3m6!1s0x39969771db58728b:0x156af1b2d38f39d7!8m2!3d27.4193593!4d83.4155507!16s%2Fg%2F11swlqc69q!19sChIJi3JY23GXljkR1zmP07LxahU?authuser=0&hl=en&rclk=1,"27.4193593,83.4155507"
Bahrupiya masjid,Mosque,"Bahrupiya masjid, 273164, bahrupiya street, Nautanwa, Uttar Pradesh 273164",,"273164, bahrupiya street",Nautanwa,273164,Uttar Pradesh,IN,https://www.google.com/maps/place/Bahrupiya+masjid/data=!4m7!3m6!1s0x399699a757dc9dcd:0x1cc3ec25392c128f!8m2!3d27.4241659!4d83.4269996!16s%2Fg%2F11q9dbld52!19sChIJzZ3cV6eZljkRjxIsOSXswxw?authuser=0&hl=en&rclk=1,"27.4241659,83.4269996"
Masjid,Mosque,"CCHF+HCJ Masjid, Nautanwa Bazar, Nautanwa, Uttar Pradesh 273164",Nautanwa Bazar,CCHF+HCJ,Nautanwa,273164,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x399699c4bbc46ab9:0x8aa5a615224dbfd1!8m2!3d27.4289174!4d83.4235892!16s%2Fg%2F11kbtj0hc6!19sChIJuWrEu8SZljkR0b9NIhWmpYo?authuser=0&hl=en&rclk=1,"27.4289174,83.4235892"
