name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid Nawabganj,Mosque,"F8W7+F3J Jama Masjid Nawabganj, Nawabganj, Kanpur, Uttar Pradesh 208002",Nawabganj,F8W7+F3J,Kanpur,208002,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Nawabganj/data=!4m7!3m6!1s0x399c385c82753579:0xe69f3efbf97ca61!8m2!3d26.4962138!4d80.312649!16s%2Fg%2F1hhjsm1sk!19sChIJeTV1glw4nDkRYcqXv-_zaQ4?authuser=0&hl=en&rclk=1,"26.4962138,80.312649"
Gulam Nabi Masjid,Mosque,"Gulam Nabi Masjid, 2851-52, Sitaram Bazar Road, Shanker gali, Asaf Ali Rd, Old Delhi, New Delhi, Delhi 110006","Bazar Sirkiwalan, Sita Ram Bazar, Old Delhi","2851-52, Sitaram Bazar Road, Shanker gali, Asaf Ali Rd","New Delhi, Delhi",110006,Delhi,IN,https://www.google.com/maps/place/Gulam+Nabi+Masjid/data=!4m7!3m6!1s0x390cfd22df889cab:0x4d6f70c56e899829!8m2!3d28.6466912!4d77.2298392!16s%2Fg%2F11c5ssnxdy!19sChIJq5yI3yL9DDkRKZiJbsVwb00?authuser=0&hl=en&rclk=1,"28.6466912,77.2298392"
Jama masjid,School,"GJVM+F6H Jama masjid, Nawabganj, Uttar Pradesh 262406",,GJVM+F6H,Nawabganj,262406,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+masjid/data=!4m7!3m6!1s0x39a0115caad0ed7b:0x53184915bdadf3f1!8m2!3d28.5436885!4d79.6331207!16s%2Fg%2F11c30qm901!19sChIJe-3QqlwRoDkR8fOtvRVJGFM?authuser=0&hl=en&rclk=1,"28.5436885,79.63312069999999"
Jama Masjid Nawabganj,Mosque,"Jama Masjid Nawabganj, Nawab Gang, Chaugorwa, Uttar Pradesh 271865",,Nawab Gang,Chaugorwa,271865,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Nawabganj/data=!4m7!3m6!1s0x39985af791f70e61:0x6e39bf9a3d8fae44!8m2!3d27.8933071!4d81.6490347!16s%2Fg%2F11gcwtyvmh!19sChIJYQ73kfdamDkRRK6PPZq_OW4?authuser=0&hl=en&rclk=1,"27.893307099999998,81.6490347"
Shahi Masjid Nawotganj,Mosque,"CCM4+4GC Shahi Masjid Nawotganj, Nawabganj, Ganipur Jogpur, Uttar Pradesh 209501",Nawabganj,CCM4+4GC,Ganipur Jogpur,209501,Uttar Pradesh,IN,https://www.google.com/maps/place/Shahi+Masjid+Nawotganj/data=!4m7!3m6!1s0x399e2a18dafc4f15:0xf65832209f7ed12b!8m2!3d27.4328236!4d79.4062698!16s%2Fg%2F11hcj7h5fc!19sChIJFU_82hgqnjkRK9F-nyAyWPY?authuser=0&hl=en&rclk=1,"27.4328236,79.40626979999999"
Sabri Masjid,Mosque,"GJQH+WRG Sabri Masjid, Nawabganj, Uttar Pradesh 262406",,GJQH+WRG,Nawabganj,262406,Uttar Pradesh,IN,https://www.google.com/maps/place/Sabri+Masjid/data=!4m7!3m6!1s0x39a011425b417a5b:0x5a3b648adf7be94b!8m2!3d28.5398164!4d79.6295751!16s%2Fg%2F11g9gs6q1p!19sChIJW3pBW0IRoDkRS-l734pkO1o?authuser=0&hl=en&rclk=1,"28.5398164,79.6295751"
Chhoti masjid,Religious destination,"GJVM+4J5 Chhoti masjid, Cement Road mohalla banjaran, Nawabganj",,"GJVM+4J5, Cement Road mohalla banjaran",Nawabganj,,Uttar Pradesh,IN,https://www.google.com/maps/place/Chhoti+masjid/data=!4m7!3m6!1s0x39a01167198ec5e9:0x6e2e95af8d5828bd!8m2!3d28.5427536!4d79.6341245!16s%2Fg%2F11jgxw6ppq!19sChIJ6cWOGWcRoDkRvShYja-VLm4?authuser=0&hl=en&rclk=1,"28.542753599999998,79.6341245"
Masjid Haji Fakhruddin,Mosque,"M675+W9G Masjid Haji Fakhruddin, Nawabganj, Tis Hazari, New Delhi, Delhi, 110006","Nawabganj, Tis Hazari",M675+W9G,"New Delhi, Delhi",110006,Delhi,IN,https://www.google.com/maps/place/Masjid+Haji+Fakhruddin/data=!4m7!3m6!1s0x390cfd3828bdce11:0x33cd8ff3b7a4fedb!8m2!3d28.6648087!4d77.20846!16s%2Fg%2F11fmz5xjh3!19sChIJEc69KDj9DDkR2_6kt_OPzTM?authuser=0&hl=en&rclk=1,"28.6648087,77.20846"
Sabeel Wali Masjid,Mosque,"M676+PJQ Sabeel Wali Masjid, Gali Zameer Wali, Nawabganj, Tis Hazari, New Delhi, Delhi, 110055","Nawabganj, Tis Hazari","M676+PJQ, Gali Zameer Wali","New Delhi, Delhi",110055,Delhi,IN,https://www.google.com/maps/place/Sabeel+Wali+Masjid/data=!4m7!3m6!1s0x390cfda2f2270c4d:0x9587bec3bb500c1f!8m2!3d28.6643348!4d77.2116016!16s%2Fg%2F11fpd01gx9!19sChIJTQwn8qL9DDkRHwxQu8O-h5U?authuser=0&hl=en&rclk=1,"28.6643348,77.2116016"
Aam Wali Masjid,Mosque,"M685+79C Aam Wali Masjid, Naya Mohalla, Nawabganj, Tis Hazari, New Delhi, Delhi, 110006","Naya Mohalla, Nawabganj, Tis Hazari",M685+79C,"New Delhi, Delhi",110006,Delhi,IN,https://www.google.com/maps/place/Aam+Wali+Masjid/data=!4m7!3m6!1s0x390cfd45dddc5949:0xc1926a04e5dd1b6e!8m2!3d28.665686!4d77.2083977!16s%2Fg%2F11h8705k2v!19sChIJSVnc3UX9DDkRbhvd5QRqksE?authuser=0&hl=en&rclk=1,"28.665685999999997,77.20839769999999"
