place_id,place_name,about,link
ChIJyVQYzAYBSzoRmQli7NwD0Zk,Markaz Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM1N4e4Yr7KpncXOBZN7y_pPOhQ4vmd2vGwPB-U=w529-h298-k-no
ChIJyVQYzAYBSzoRmQli7NwD0Zk,Markaz Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SkiT_zwfZUpycN90GNXf6A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=244.65094&pitch=0&thumbfov=100
ChIJyY1Ijh4BSzoRVMQg5tBsvLM,MADINA MASJID 2,All,https://lh5.googleusercontent.com/p/AF1QipMtXafk_XUcFzWZbeRv1VoATjX-clh3yp71zmA5=w336-h298-k-no
ChIJyY1Ijh4BSzoRVMQg5tBsvLM,MADINA MASJID 2,Videos,https://lh5.googleusercontent.com/p/AF1QipNrNBxA7dSqLlxacrHpcVMRDiGw6eWu_0n2oWx0=w529-h298-k-no
ChIJc4mGfQEBSzoR0eQ-Co-evU8,Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMXOldrM54pfOaHGC9-K80LiVD7Omoh7ohGU_yg=w430-h298-k-no
ChIJc4mGfQEBSzoR0eQ-Co-evU8,Jamia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ghEI4vZLUxFmj0usOhLn2w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=131.59175&pitch=0&thumbfov=100
ChIJR_110qsBSzoRN5bkF23q8jU,Madeena Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOjZJ-_EyyjXwyatviQrmFHo3wTgZwc9ADz3Rru=w224-h298-k-no
ChIJR_110qsBSzoRN5bkF23q8jU,Madeena Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0XN-NacoGX2DnNCc5b8WRQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=51.88547&pitch=0&thumbfov=100
ChIJJ6FYm6cBSzoRlz4IWubjN2I,Masjid-A-Nissar,All,https://lh5.googleusercontent.com/p/AF1QipOeeHcTfbwHWKwG8KlHm1azjuQT4RNzLHcNhNsw=w397-h298-k-no
ChIJJ6FYm6cBSzoRlz4IWubjN2I,Masjid-A-Nissar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=t2zlzYmRPPeljv2Np9oneQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=352.40848&pitch=0&thumbfov=100
