place_id,place_name,about,link
ChIJWUw5BBFo2TsRWO5iwPPiF4w,Masjid-e-Noor,All,https://lh5.googleusercontent.com/p/AF1QipM7eHSy8doj7RFn89cPC1k4exIw4WH7H64nz-9F=w224-h298-k-no
ChIJrWx5Hxdo2TsR008aNuf9GmI,Majid-e-Bibi Fatema,All,https://lh5.googleusercontent.com/p/AF1QipPIRYMHM5MROhwdp7GOs3-OebMKOjcAs_SEgP1s=w529-h298-k-no
ChIJrWx5Hxdo2TsR008aNuf9GmI,Majid-e-Bibi Fatema,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p-tzGM0Zn7jcClV7N68dHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=301.8447&pitch=0&thumbfov=100
ChIJ9dsILhFo2TsRWypQbIWS7J8,Masjid-E-Noor,All,https://lh5.googleusercontent.com/p/AF1QipNMi3flhjEcWra9rBAl8Z3ruiphhJS07mEBsAY7=w397-h298-k-no
ChIJ9dsILhFo2TsRWypQbIWS7J8,Masjid-E-Noor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lO6jnk38M_FDFzsua1pB7w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=0.3152625&pitch=0&thumbfov=100
ChIJb0EsOJhp2TsRPsdItRHJsEQ,Bismillah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPM-U3j8aLoey27ZkrVIQuuEQ9W_xG_G29W0YSX=w529-h298-k-no
ChIJr0Qmnb9p2TsR-_IjprgeSxw,Masjide-E-Tahira_hajjin,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UkUmgGMG9JUIRuIfJZkM9A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=204.67482&pitch=0&thumbfov=100
ChIJr0Qmnb9p2TsR-_IjprgeSxw,Masjide-E-Tahira_hajjin,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UkUmgGMG9JUIRuIfJZkM9A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=204.67482&pitch=0&thumbfov=100
ChIJi2lNyadp2TsRnMJd7z2iCV0,Masjid e Ayesha,All,https://lh5.googleusercontent.com/p/AF1QipOlADK-PV3fEDRNyYS8XU-xOjf-Bak8y0ri5lI=w224-h435-k-no
ChIJi2lNyadp2TsRnMJd7z2iCV0,Masjid e Ayesha,Dome,https://lh5.googleusercontent.com/p/AF1QipNItfZtK7h0WGKSXYPuc0r2Fr76sXNxCWpl--rg=w224-h298-k-no
ChIJsX3sviFp2TsR8o_RmstLgYk,Ahle'Sunnat Masjid Gareeb Nawaz,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mCI-BBqg1fu5oGcT5zH8NQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=213.71053&pitch=0&thumbfov=100
ChIJsX3sviFp2TsR8o_RmstLgYk,Ahle'Sunnat Masjid Gareeb Nawaz,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mCI-BBqg1fu5oGcT5zH8NQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=213.71053&pitch=0&thumbfov=100
ChIJsTyhyoZp2TsRnMG_UFZdLTM,Jama masjid pachora,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IyAOmnn2YIFGk_Ehn4507g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=153.751&pitch=0&thumbfov=100
ChIJsTyhyoZp2TsRnMG_UFZdLTM,Jama masjid pachora,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IyAOmnn2YIFGk_Ehn4507g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=153.751&pitch=0&thumbfov=100
ChIJK-xY94tp2TsRJxBMUo3boKI,Jargaon,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UH3ffFwpVJqBttp8lDEWfQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=255.86816&pitch=0&thumbfov=100
ChIJK-xY94tp2TsRJxBMUo3boKI,Jargaon,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UH3ffFwpVJqBttp8lDEWfQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=255.86816&pitch=0&thumbfov=100
