name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Padmanabhapuram Palace,Historical landmark,"Padmanabhapuram Palace, Chakala, Thuckalay, Tamil Nadu 629175",Chakala,,Thuckalay,629175,Tamil Nadu,IN,https://www.google.com/maps/place/Padmanabhapuram+Palace/data=!4m7!3m6!1s0x3b04f8f729d2073d:0x257c390ae191b06f!8m2!3d8.2507431!4d77.3266987!16zL20vMDV0c2M3!19sChIJPQfSKff4BDsRb7CR4Qo5fCU?authuser=0&hl=en&rclk=1,"8.2507431,77.3266987"
Jumma masjid,Mosque,"6FHJ+7XF Jumma masjid, mosque st,layam, Madhavalayam",,"6FHJ+7XF, mosque st,layam",Madhavalayam,,Tamil Nadu,IN,https://www.google.com/maps/place/Jumma+masjid/data=!4m7!3m6!1s0x3b04f43b16649e99:0xb2035a2fe9d5c90a!8m2!3d8.2281868!4d77.4824202!16s%2Fg%2F11b8_rt74_!19sChIJmZ5kFjv0BDsRCsnV6S9aA7I?authuser=0&hl=en&rclk=1,"8.2281868,77.48242019999999"
Kanjampuram Jummah Masjid,Mosque,"Kanjampuram Jummah Masjid, Mampazhanji Rd, Kanjampuram, Ezhudesam, Tamil Nadu 629154",Kanjampuram,Mampazhanji Rd,Ezhudesam,629154,Tamil Nadu,IN,https://www.google.com/maps/place/Kanjampuram+Jummah+Masjid/data=!4m7!3m6!1s0x3b05007de46d328d:0xae769dc7ca11aa0d!8m2!3d8.2709761!4d77.1511404!16s%2Fg%2F11b6wjrlwv!19sChIJjTJt5H0ABTsRDaoRyseddq4?authuser=0&hl=en&rclk=1,"8.2709761,77.1511404"
Jamiul Manar (JAQH),Mosque,"77V4+96G Jamiul Manar (JAQH), kuruvilaikadu Eraviputhoorkadai, Tamil Nadu 629158",,77V4+96G,kuruvilaikadu Eraviputhoorkadai,629158,Tamil Nadu,IN,https://www.google.com/maps/place/Jamiul+Manar+%28JAQH%29/data=!4m7!3m6!1s0x3b045543d7effd31:0x7b5d117f4a35526c!8m2!3d8.2934296!4d77.2555718!16s%2Fg%2F11g0lh0f28!19sChIJMf3v10NVBDsRbFI1Sn8RXXs?authuser=0&hl=en&rclk=1,"8.2934296,77.2555718"
Beemapally Masjid,Mosque,"Beemapally Masjid, Valiyathura - Beemapally - Poonthura Rd, Muttathara, Thiruvananthapuram, Kerala 695008",Muttathara,Valiyathura - Beemapally - Poonthura Rd,Thiruvananthapuram,695008,Kerala,IN,https://www.google.com/maps/place/Beemapally+Masjid/data=!4m7!3m6!1s0x3b05bb43dccbd943:0xaf56d0d115090a60!8m2!3d8.4560269!4d76.9344003!16s%2Fg%2F1q5blpfnb!19sChIJQ9nL3EO7BTsRYAoJFdHQVq8?authuser=0&hl=en&rclk=1,"8.4560269,76.9344003"
Peer Mohammed Appa Dargha and Auditorium,Mosque,"68W8+RCX Peer Mohammed Appa Dargha and Auditorium, Dargha Road, Thuckalay, Tamil Nadu 629175",Chakala,"68W8+RCX, Dargha Road",Thuckalay,629175,Tamil Nadu,IN,https://www.google.com/maps/place/Peer+Mohammed+Appa+Dargha+and+Auditorium/data=!4m7!3m6!1s0x3b04f8e5efa20c59:0x24d09e8c1d90d1af!8m2!3d8.2471189!4d77.3161091!16s%2Fg%2F124ypl0h4!19sChIJWQyi7-X4BDsRr9GQHYye0CQ?authuser=0&hl=en&rclk=1,"8.2471189,77.31610909999999"
Thittuvilai Jumma Masjid,Mosque,"7CFR+C55 Thittuvilai Jumma Masjid, SH 45, Thittuvilai, Tamil Nadu 629852",,"7CFR+C55, SH 45",Thittuvilai,629852,Tamil Nadu,IN,https://www.google.com/maps/place/Thittuvilai+Jumma+Masjid/data=!4m7!3m6!1s0x3b04f624b3771081:0xe4c41988dfa4b15d!8m2!3d8.2735062!4d77.4404892!16s%2Fg%2F11cfhlg_c!19sChIJgRB3syT2BDsRXbGk34gZxOQ?authuser=0&hl=en&rclk=1,"8.2735062,77.4404892"
Masjid-E-Salma,Mosque,"Masjid-E-Salma, 12-2-709/C/139, Karol Bagh Rd, Padmanabha Nagar, Rethibowli, Hyderabad, Telangana 500008","Padmanabha Nagar, Rethibowli, Mehdipatnam","12-2-709/C/139, Karol Bagh Rd",Hyderabad,500008,Telangana,IN,https://www.google.com/maps/place/Masjid-E-Salma/data=!4m7!3m6!1s0x3bcb96e28b3e2b75:0xbc53ee0736eeee10!8m2!3d17.3923515!4d78.4284125!16s%2Fg%2F1pp2tybry!19sChIJdSs-i-KWyzsREO7uNgfuU7w?authuser=0&hl=en&rclk=1,"17.3923515,78.4284125"
Puthumanai Jumma Masjid Kothba Pallivasal,Mosque,"PP35+HC4 Puthumanai Jumma Masjid Kothba Pallivasal, Melapalayam, Tirunelveli, Tamil Nadu 627005",Melapalayam,PP35+HC4,Tirunelveli,627005,Tamil Nadu,IN,https://www.google.com/maps/place/Puthumanai+Jumma+Masjid+Kothba+Pallivasal/data=!4m7!3m6!1s0x3b041237a84ab483:0xe4c5596758a6b4f3!8m2!3d8.7038894!4d77.7085687!16s%2Fg%2F1w6_m7pr!19sChIJg7RKqDcSBDsR87SmWGdZxeQ?authuser=0&hl=en&rclk=1,"8.7038894,77.7085687"
Kulasekharam Mosque,Mosque,"977X+95W Kulasekharam Mosque, SH 90, Kulasekharam, Tamil Nadu 629161",,"977X+95W, SH 90",Kulasekharam,629161,Tamil Nadu,IN,https://www.google.com/maps/place/Kulasekharam+Mosque/data=!4m7!3m6!1s0x3b0456ad627c18e1:0x66af1869bcda6890!8m2!3d8.3634953!4d77.297953!16s%2Fg%2F1tlzyltx!19sChIJ4Rh8Yq1WBDsRkGjavGkYr2Y?authuser=0&hl=en&rclk=1,"8.3634953,77.29795299999999"
