place_id,place_name,about,link
ChIJBwqySVOMkzkRAIvhaf11VSA,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPr-zLnAl0ZJtDt1WbtmGB_2s8QREOUS4vm2sxv=w529-h298-k-no
ChIJBwqySVOMkzkRAIvhaf11VSA,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9wa7OghzJhjiGTtREWkZsg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=242.32452&pitch=0&thumbfov=100
ChIJBwqySVOMkzkRAIvhaf11VSA,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOGPJJKl4JD3y0MJ716svKnvLnjhQmhfSCx0X0k=w224-h397-k-no
ChIJ52Fa-QmNkzkR7pzOfKGY1Ws,"Madina Masjid, Chhawani, Padrauna",All,https://lh5.googleusercontent.com/p/AF1QipNGsMPd9SUAORO5yGZ33nGLqQOpe0i7FXJlk712=w397-h298-k-no
ChIJ52Fa-QmNkzkR7pzOfKGY1Ws,"Madina Masjid, Chhawani, Padrauna",Dome,https://lh5.googleusercontent.com/p/AF1QipP60nNpz23KXWDjivyiKME2yxbte7G-crIX4go=w224-h298-k-no
ChIJ52Fa-QmNkzkR7pzOfKGY1Ws,"Madina Masjid, Chhawani, Padrauna",Videos,https://lh5.googleusercontent.com/p/AF1QipPVeLeKVhdS6tgQHmdyK_8izxFEiyt2eCm0ugmI=w224-h398-k-no
ChIJ52Fa-QmNkzkR7pzOfKGY1Ws,"Madina Masjid, Chhawani, Padrauna",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PlVvQKIi5TLLCbftp0-uGA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=71.278915&pitch=0&thumbfov=100
ChIJ2WocTVWMkzkRj4DD0ZCQPP0,Dalmandi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMF3Z6dILS4Ptr-0JH6kln8GsajR29v55U_AH4r=w224-h298-k-no
ChIJ2WocTVWMkzkRj4DD0ZCQPP0,Dalmandi Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E6tcdw-kehJQ4cWGNNBuFw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=269.5074&pitch=0&thumbfov=100
ChIJkW7VegCNkzkRTw3BHUGdHM8,Idgah Nauka Tola,All,https://lh5.googleusercontent.com/p/AF1QipOSKEVXOM_LVHTsLerxuIdJSwI8vgYx-qJq5F5W=w662-h298-k-no
ChIJkW7VegCNkzkRTw3BHUGdHM8,Idgah Nauka Tola,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=naJskcvXHPGnXyspeuY8Nw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=248.81705&pitch=0&thumbfov=100
ChIJkW7VegCNkzkRTw3BHUGdHM8,Idgah Nauka Tola,Videos,https://lh5.googleusercontent.com/p/AF1QipNWwfzW9IJa9rN4yAA7pnjFVbk8FnkzNMXU1-rO=w224-h398-k-no
ChIJMdIPhrqNkzkRPHnJyUV9nqE,Jamma Maszid,All,https://lh5.googleusercontent.com/p/AF1QipMt2g_bjfht621vzFt5PKNbgsE1A8d6Me39vq3D=w397-h298-k-no
ChIJMdIPhrqNkzkRPHnJyUV9nqE,Jamma Maszid,Videos,https://lh5.googleusercontent.com/p/AF1QipNPyAnHJNorS22JJVwe86ueZqAowPq8o40Agj0u=w532-h298-k-no
ChIJrXCQ9E2MkzkRwxnWCyAfFkc,Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QBDN95bDe-K8Spk8zOsRjg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=8.652074&pitch=0&thumbfov=100
ChIJrXCQ9E2MkzkRwxnWCyAfFkc,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QBDN95bDe-K8Spk8zOsRjg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=8.652074&pitch=0&thumbfov=100
ChIJMwhNF62NkzkRqsUUECgf-dQ,Jamalpur Sunni Mosque,All,https://lh5.googleusercontent.com/p/AF1QipNv8caK56IN0jc71fkZNMARWfVNAE1N5VKXL488=w224-h298-k-no
ChIJMwhNF62NkzkRqsUUECgf-dQ,Jamalpur Sunni Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=szsb1Ia8LocAMc8CFtRwHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.0651&pitch=0&thumbfov=100
ChIJMwhNF62NkzkRqsUUECgf-dQ,Jamalpur Sunni Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipOaiInv1o_PGFsTR2piJoaWaQ-sdZI1PI1mBLyj=w529-h298-k-no
ChIJN7-I9E2MkzkRNjfYo_C5bZc,Madina Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOvi5nVgouRzsmvA5eK-01_jJX8Oj7-aOC-qGdl=w662-h298-k-no
ChIJN7-I9E2MkzkRNjfYo_C5bZc,Madina Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QBDN95bDe-K8Spk8zOsRjg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=9.46297&pitch=0&thumbfov=100
ChIJe-21CbWNkzkRepy8bZ1A_tU,Matiyarwa masjid,All,https://lh5.googleusercontent.com/p/AF1QipN-PSXlBJWhfpzQq0FhKHK6L5DkMdHlDpGI88n1=w529-h298-k-no
ChIJe-21CbWNkzkRepy8bZ1A_tU,Matiyarwa masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNUbh3u8askxSuphoUWij1L72VnRhVe9NtBl5c7=w224-h398-k-no
ChIJe-21CbWNkzkRepy8bZ1A_tU,Matiyarwa masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNUbh3u8askxSuphoUWij1L72VnRhVe9NtBl5c7=w224-h398-k-no
ChIJe-21CbWNkzkRepy8bZ1A_tU,Matiyarwa masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dWT5vxe-8m6UwSh3OQ6k6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.526154&pitch=0&thumbfov=100
ChIJv6qFSpWNkzkRcRuv7TmMK4E,Khiriya Tola Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOnXCGfyMpPZ6xhSJxcgbdRycRqp3xwxSAW9Qmh=w257-h298-k-no
ChIJv6qFSpWNkzkRcRuv7TmMK4E,Khiriya Tola Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2_Fg_x80yWXpE1jTDh_m4Auh9HAEolV8P6p07=w224-h323-k-no
ChIJv6qFSpWNkzkRcRuv7TmMK4E,Khiriya Tola Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipOnXCGfyMpPZ6xhSJxcgbdRycRqp3xwxSAW9Qmh=w257-h298-k-no
ChIJv6qFSpWNkzkRcRuv7TmMK4E,Khiriya Tola Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PxFh7r-OmPjwPqsJKiIi-w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=352.14856&pitch=0&thumbfov=100
ChIJXY5JPFuNkzkRvfDdryIUjW4,Madeena Maszid,All,https://lh5.googleusercontent.com/p/AF1QipM-kTkArHqoOeS_PGFWnbhN3SL07WxbkNPBgZCg=w224-h398-k-no
ChIJXY5JPFuNkzkRvfDdryIUjW4,Madeena Maszid,Videos,https://lh5.googleusercontent.com/p/AF1QipOO8GnBQaE9_kNg8EZErK1ulxnc0TaNvaVVZC3j=w224-h398-k-no
ChIJQY_6N3qOkzkRlZHzpytQuRo,Noori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNW4GkkgyjSmhyv790_7I-_BJR8ieGt1pkH8BM2=w552-h298-k-no
ChIJQY_6N3qOkzkRlZHzpytQuRo,Noori Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipM1hm3Ei1ADHmV-TBLCiMfyP7F8GdNfTl1bgpKJ=w224-h398-k-no
ChIJQY_6N3qOkzkRlZHzpytQuRo,Noori Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipM1hm3Ei1ADHmV-TBLCiMfyP7F8GdNfTl1bgpKJ=w224-h398-k-no
ChIJQY_6N3qOkzkRlZHzpytQuRo,Noori Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMh-d9Iak6pChVQHOJblWdz3j6C-ZLv11XFitKl=w224-h298-k-no
ChIJQY_6N3qOkzkRlZHzpytQuRo,Noori Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tTJ0_gavc8n_QqVnsOOXZA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=274.5546&pitch=0&thumbfov=100
ChIJ02noR1OMkzkRUX1gX0c1T2I,Friends Electronic Jama Masjid Padrauna,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UQmyN4wPE62fHpPZeWOqww&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=279.2097&pitch=0&thumbfov=100
ChIJ02noR1OMkzkRUX1gX0c1T2I,Friends Electronic Jama Masjid Padrauna,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UQmyN4wPE62fHpPZeWOqww&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=279.2097&pitch=0&thumbfov=100
ChIJEZL2nR-NkzkR-zs1HLi0kAA,Abu Bakar JAMA Masjid Ahle Hadees,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RZAcs6p-fzmof66q45WBlw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=206.45091&pitch=0&thumbfov=100
ChIJEZL2nR-NkzkR-zs1HLi0kAA,Abu Bakar JAMA Masjid Ahle Hadees,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RZAcs6p-fzmof66q45WBlw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=206.45091&pitch=0&thumbfov=100
ChIJrzrm3omNkzkRsQ8VV6jZG2I,Matiyarwa sunni masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hjv6tBs3kZkB_q1nTJWMlA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=21.4675&pitch=0&thumbfov=100
ChIJrzrm3omNkzkRsQ8VV6jZG2I,Matiyarwa sunni masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hjv6tBs3kZkB_q1nTJWMlA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=21.4675&pitch=0&thumbfov=100
