name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jumma Masjid,Mosque,"834F+7H2 Jumma Masjid, Hosur - Krishnagiri Rd, Palacode, Tamil Nadu 636808",,"834F+7H2, Hosur - Krishnagiri Rd",Palacode,636808,Tamil Nadu,IN,https://www.google.com/maps/place/Jumma+Masjid/data=!4m7!3m6!1s0x3bac24fb752ca6d3:0xc6f2c2eac973f968!8m2!3d12.305643!4d78.0738848!16s%2Fg%2F11bbrgxgkq!19sChIJ06YsdfskrDsRaPlzyerC8sY?authuser=0&hl=en&rclk=1,"12.305643,78.0738848"
Sunnath Jamath Jamiya Masjid,Mosque,"833C+VC4 Sunnath Jamath Jamiya Masjid, Kesarkuli Road, Palacode, Tamil Nadu",,"833C+VC4, Kesarkuli Road",Palacode,,Tamil Nadu,IN,https://www.google.com/maps/place/Sunnath+Jamath+Jamiya+Masjid/data=!4m7!3m6!1s0x3bac24fbd7aab479:0x8f823df6f376f5c5!8m2!3d12.3046258!4d78.0710782!16s%2Fg%2F11c0pzyc4g!19sChIJebSq1_skrDsRxfV28_Y9go8?authuser=0&hl=en&rclk=1,"12.3046258,78.0710782"
"Masjid-E-Taqwa, TNTJ Markaz",Mosque,"833F+PGH Masjid-E-Taqwa, TNTJ Markaz, Palacode, Tamil Nadu 636808",,833F+PGH,Palacode,636808,Tamil Nadu,IN,"https://www.google.com/maps/place/Masjid-E-Taqwa,+TNTJ+Markaz/data=!4m7!3m6!1s0x3bac24fb005d0795:0xcf34143644342cf0!8m2!3d12.3043125!4d78.0738594!16s%2Fg%2F11g8whz_0s!19sChIJlQddAPskrDsR8Cw0RDYUNM8?authuser=0&hl=en&rclk=1","12.3043125,78.0738594"
Ajmal Miyan Saheb Masjid,Mosque,"834F+JJ4 Ajmal Miyan Saheb Masjid, Palacode, Tamil Nadu 636808",,834F+JJ4,Palacode,636808,Tamil Nadu,IN,https://www.google.com/maps/place/Ajmal+Miyan+Saheb+Masjid/data=!4m7!3m6!1s0x3bac24fb797a4839:0x1b6a788dffb70a9f!8m2!3d12.3065045!4d78.0740719!16s%2Fg%2F11c14z3gm8!19sChIJOUh6efskrDsRnwq3_414ahs?authuser=0&hl=en&rclk=1,"12.306504499999999,78.07407189999999"
"Jamia Masjid, Dalavahalli, Palakkodu",Mosque,"73W8+VVH Jamia Masjid, Dalavahalli, Palakkodu, Palacode, Tamil Nadu 636808",,73W8+VVH,Palacode,636808,Tamil Nadu,IN,"https://www.google.com/maps/place/Jamia+Masjid,+Dalavahalli,+Palakkodu/data=!4m7!3m6!1s0x3bac24f644a7ba83:0xc3f1750d6f812e22!8m2!3d12.2971921!4d78.0672291!16s%2Fg%2F11d_1nr7gy!19sChIJg7qnRPYkrDsRIi6Bbw118cM?authuser=0&hl=en&rclk=1","12.2971921,78.06722909999999"
Masjid E Azam,Mosque,"834F+667 Masjid E Azam, syed peer street, Palacode, Tamil Nadu",,"834F+667, syed peer street",Palacode,,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+E+Azam/data=!4m7!3m6!1s0x3bac24fba2a988e3:0x4fdcab441f0100c!8m2!3d12.3055456!4d78.0730611!16s%2Fg%2F11bv3y6bxx!19sChIJ44ipovskrDsRDBDwQbTK_QQ?authuser=0&hl=en&rclk=1,"12.3055456,78.07306109999999"
Ansaar Masjid,Mosque,"835G+56V Ansaar Masjid, Chikkardanahalli, Tamil Nadu 636808",,835G+56V,Chikkardanahalli,636808,Tamil Nadu,IN,https://www.google.com/maps/place/Ansaar+Masjid/data=!4m7!3m6!1s0x3bac24fcbc83808f:0x72f1bda048d12245!8m2!3d12.3079832!4d78.0755434!16s%2Fg%2F11c30xc3dv!19sChIJj4CDvPwkrDsRRSLRSKC98XI?authuser=0&hl=en&rclk=1,"12.307983199999999,78.0755434"
Khundmeer Miya Masjid,Mosque,"833F+W96 Khundmeer Miya Masjid, Palacode, Tamil Nadu 636808",,833F+W96,Palacode,636808,Tamil Nadu,IN,https://www.google.com/maps/place/Khundmeer+Miya+Masjid/data=!4m7!3m6!1s0x3bac24fbaf4ad7c9:0x3f16a89bd0f6b27f!8m2!3d12.3047874!4d78.0733923!16s%2Fg%2F11f4xg_2gz!19sChIJyddKr_skrDsRf7L20JuoFj8?authuser=0&hl=en&rclk=1,"12.304787399999999,78.0733923"
"Noor Masjid, Dalvahalli, Palakkodu",Mosque,"73W9+M6F Noor Masjid, Dalvahalli, Palakkodu, Unnamed Road, Palacode, Tamil Nadu 636808",,"73W9+M6F, Unnamed Road",Palacode,636808,Tamil Nadu,IN,"https://www.google.com/maps/place/Noor+Masjid,+Dalvahalli,+Palakkodu/data=!4m7!3m6!1s0x3bac24f68a79a135:0x471329769e31d3b2!8m2!3d12.2966906!4d78.0680398!16s%2Fg%2F11dfj2l3w7!19sChIJNaF5ivYkrDsRstMxnnYpE0c?authuser=0&hl=en&rclk=1","12.2966906,78.0680398"
Madina Masjid,Mosque,"834G+VRM Madina Masjid, Chikkardanahalli, Tamil Nadu 636808",,834G+VRM,Chikkardanahalli,636808,Tamil Nadu,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3bac24e35639f711:0xdb925e006c0c27b5!8m2!3d12.3072054!4d78.0770409!16s%2Fg%2F11dx94wrcg!19sChIJEfc5VuMkrDsRtScMbABekts?authuser=0&hl=en&rclk=1,"12.307205399999999,78.0770409"
