place_id,place_name,about,link
ChIJMyuw7SYVrTsRXasxlD7Y9kM,TNTJ Pallikonda Branch Office,All,https://lh5.googleusercontent.com/p/AF1QipOnpOkoZOwDgHK9c7Cr69Yn9QbChqHX1cg-6yls=w298-h298-k-no
ChIJ-w4d5Y8UrTsRi1YeD6J57a4,MASJID-E-AZAM,All,https://lh5.googleusercontent.com/p/AF1QipMEMVzF-Fp9zfDBi-t7Y5o_dycmqRNopsMiL-Hx=w397-h298-k-no
ChIJ-w4d5Y8UrTsRi1YeD6J57a4,MASJID-E-AZAM,Dome,https://lh5.googleusercontent.com/p/AF1QipO28mn__Yh3UIdldL5gfQ9KuSU8knhqS2fv62RZ=w529-h298-k-no
ChIJeR_p2ZkUrTsRW6JgtFBf1Dg,Masjid-E-Qadeem,All,https://lh5.googleusercontent.com/p/AF1QipNhsg9XwXgtB353Msa43s6nfmX1T494fQ_hVofd=w224-h465-k-no
ChIJCwwrRI4UrTsR0E0zKv4mF3E,Masjid E Saleem,All,https://lh5.googleusercontent.com/p/AF1QipMXRCaNE-3HojU-A1Y3h_MrasEdlHKyNKUsGbCp=w397-h298-k-no
ChIJCwwrRI4UrTsR0E0zKv4mF3E,Masjid E Saleem,Videos,https://lh5.googleusercontent.com/p/AF1QipMSRsJo9nbx0D_jrAPoQ6YbZuame4fVaH8AFkWv=w298-h298-k-no
ChIJH5o6dgkVrTsRnlL3bMbqKec,Masjid e karima,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xwbAfV7ACYoOo7I-gg-t8g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.83682&pitch=0&thumbfov=100
ChIJH5o6dgkVrTsRnlL3bMbqKec,Masjid e karima,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xwbAfV7ACYoOo7I-gg-t8g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.83682&pitch=0&thumbfov=100
ChIJH5o6dgkVrTsRnlL3bMbqKec,Masjid e karima,Videos,https://lh5.googleusercontent.com/p/AF1QipPAc7mgoHlYFdSuEZop-jeJJEt4cPW8ZV3gBGmB=w541-h298-k-no
ChIJxxqp3hoVrTsRqltqYXGH6W8,Razak Ali Khan Mosque and idga ground,All,https://lh5.googleusercontent.com/p/AF1QipPYLpLulE8hCC5A5a0xnzba12j2hfbjktFdfDDb=w397-h298-k-no
ChIJxxqp3hoVrTsRqltqYXGH6W8,Razak Ali Khan Mosque and idga ground,By owner,https://lh5.googleusercontent.com/p/AF1QipMj1SWU8NVXP9vcrsri_hreMf7emltND8_0bzwL=w529-h298-k-no
ChIJxxqp3hoVrTsRqltqYXGH6W8,Razak Ali Khan Mosque and idga ground,Videos,https://lh5.googleusercontent.com/p/AF1QipO5RvEgZSvAIMOxI-5opfV-Y213vYs_hEZszhvN=w529-h298-k-no
ChIJxxqp3hoVrTsRqltqYXGH6W8,Razak Ali Khan Mosque and idga ground,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gfTukVeo_qGAC7dkgtjL0A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=71.22157&pitch=0&thumbfov=100
