name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Madina Masjid,Mosque,"XRRR+6HJ Madina Masjid, Nagla Shahu, Uttar Pradesh 250406",,XRRR+6HJ,Nagla Shahu,250406,Uttar Pradesh,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x390c7964ac657beb:0x1fe3c896ad6ea604!8m2!3d28.9905967!4d77.8414037!16s%2Fg%2F11g8cyd48h!19sChIJ63tlrGR5DDkRBKZurZbI4x8?authuser=0&hl=en&rclk=1,"28.990596699999998,77.8414037"
Jama Masjid,Mosque,"XVP2+42R Jama Masjid, Jae, Uttar Pradesh 250001",,XVP2+42R,Jae,250001,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390c7968bf5876c9:0xa91c98fe8710b950!8m2!3d28.985366!4d77.8500083!16s%2Fg%2F11d_9fkqml!19sChIJyXZYv2h5DDkRULkQh_6YHKk?authuser=0&hl=en&rclk=1,"28.985366,77.8500083"
Jama Masjid Agwanpur,Mosque,"Jama Masjid Agwanpur, Agwanpur Rd, Parikshitgarh, Agwanpur, Uttar Pradesh 250406",,Agwanpur Rd,"Parikshitgarh, Agwanpur",250406,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Agwanpur/data=!4m7!3m6!1s0x390b86952f8ae995:0x4b56dd870debdf39!8m2!3d28.9961424!4d77.9974107!16s%2Fg%2F11f3b2cbbl!19sChIJlemKL5WGCzkROd_rDYfdVks?authuser=0&hl=en&rclk=1,"28.9961424,77.9974107"
Masjid Qureshiyan Parikshitgarh,Mosque,"XWGM+HF7 Masjid Qureshiyan Parikshitgarh, Parikshitgarh, Uttar Pradesh 250406",,XWGM+HF7,Parikshitgarh,250406,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Qureshiyan+Parikshitgarh/data=!4m7!3m6!1s0x390b87575449ab3b:0xd82f91ebc8e49559!8m2!3d28.9764216!4d77.9336729!16s%2Fg%2F11csr_l41z!19sChIJO6tJVFeHCzkRWZXkyOuRL9g?authuser=0&hl=en&rclk=1,"28.9764216,77.93367289999999"
Haji Toshif wali masjid,Mosque,"WW6R+WJ3 Haji Toshif wali masjid, Mawana Kithaur Hapur Road, Radhna Inayatpur, Uttar Pradesh 250106",,"WW6R+WJ3, Mawana Kithaur Hapur Road",Radhna Inayatpur,250106,Uttar Pradesh,IN,https://www.google.com/maps/place/Haji+Toshif+wali+masjid/data=!4m7!3m6!1s0x390b8064ef0b027b:0xb9c8665bb3d74d5!8m2!3d28.9122575!4d77.941535!16s%2Fg%2F11g9w091jv!19sChIJewIL72SACzkR1XQ9u2WGnAs?authuser=0&hl=en&rclk=1,"28.9122575,77.941535"
Ghante wali Masjid,Mosque,"WW5V+WMC Ghante wali Masjid, goviNdpurii maarg, Govindpuri, Radhna Inayatpur, Uttar Pradesh 250106",,"WW5V+WMC, goviNdpurii maarg","Govindpuri, Radhna Inayatpur",250106,Uttar Pradesh,IN,https://www.google.com/maps/place/Ghante+wali+Masjid/data=!4m7!3m6!1s0x390b8065677eade7:0x9971a787b41605f6!8m2!3d28.9098199!4d77.9441366!16s%2Fg%2F11g8yf58c8!19sChIJ561-Z2WACzkR9gUWtIencZk?authuser=0&hl=en&rclk=1,"28.9098199,77.9441366"
Masjid,Mosque,"3XX2+GW2 Masjid, Meerut, Uttar Pradesh 250402",,3XX2+GW2,Meerut,250402,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x390b884a1e33ac8d:0xff3e2ff1c48f93b7!8m2!3d29.0987562!4d77.9522574!16s%2Fg%2F11f10dts33!19sChIJjawzHkqICzkRt5OPxPEvPv8?authuser=0&hl=en&rclk=1,"29.0987562,77.9522574"
Jama Masjid Asilpur,Mosque,"V2WF+272 Jama Masjid Asilpur, Asilpur, Jarauda, Uttar Pradesh 250104",,V2WF+272,"Asilpur, Jarauda",250104,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Asilpur/data=!4m7!3m6!1s0x390b838f99b2d9c3:0xf71d206f7005f2c0!8m2!3d28.8950239!4d78.0231267!16s%2Fg%2F11h7kl1hkl!19sChIJw9mymY-DCzkRwPIFcG8gHfc?authuser=0&hl=en&rclk=1,"28.895023899999998,78.02312669999999"
Madina Masjid,Mosque,"XVQQ+8R3 Madina Masjid, Khajoori, Uttar Pradesh 250406",,XVQQ+8R3,Khajoori,250406,Uttar Pradesh,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x390c78e6b3b2a6e3:0xb387cd6efb0c24df!8m2!3d28.9882705!4d77.8895327!16s%2Fg%2F11g8jrjdn8!19sChIJ46ays-Z4DDkR3yQM-27Nh7M?authuser=0&hl=en&rclk=1,"28.9882705,77.88953269999999"
Bilal Masjid kayasth Baddha,Mosque,"WRQW+4R2 Bilal Masjid kayasth Baddha, Kayastha Badha, Kayasth Barha, Uttar Pradesh 250001",,WRQW+4R2,"Kayastha Badha, Kayasth Barha",250001,Uttar Pradesh,IN,https://www.google.com/maps/place/Bilal+Masjid+kayasth+Baddha/data=!4m7!3m6!1s0x390c7fe1a1814635:0x466f923c1fd34464!8m2!3d28.9377562!4d77.8470126!16s%2Fg%2F11fmys7xzr!19sChIJNUaBoeF_DDkRZETTHzySb0Y?authuser=0&hl=en&rclk=1,"28.9377562,77.8470126"
