place_id,place_name,about,link
ChIJzcEYB0vHGzoRyi0LFlT2XI0,Sunni Bareilly Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPhYwv8ZgpwRC6vccnILpCGCK-Wcopkw3AB4KOh=w224-h395-k-no
ChIJzcEYB0vHGzoRyi0LFlT2XI0,Sunni Bareilly Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipNp1CoHxNiCzL5PrHpYnEAvinCOAavCf_O2_agc=w224-h485-k-no
ChIJzcEYB0vHGzoRyi0LFlT2XI0,Sunni Bareilly Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPNguetCRwDgh_bdjxsZMYiOp7xc7FoQaDVko_I=w224-h398-k-no
ChIJm_f1-Qm_GzoRStSvRjap_5Q,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNMMANfTi_YrlSCP2HOeYHU_tBcwhuhKcs2M4sU=w224-h298-k-no
ChIJm_f1-Qm_GzoRStSvRjap_5Q,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP3PlAT2cl16hoeSK7g1IbynSfPloIanv-ltdZU=w224-h398-k-no
ChIJm_f1-Qm_GzoRStSvRjap_5Q,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPOEyeMJUMD5AHnM8AjcXCTtM1NyhuOjnxx4K4=w224-h398-k-no
ChIJm_f1-Qm_GzoRStSvRjap_5Q,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Jdcm_2dMFYrlbDOSeQdKBg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=28.16672&pitch=0&thumbfov=100
ChIJs2JfzWa_GzoReXkymFAQhQw,SUNNI MASJID (imtaj),All,https://lh5.googleusercontent.com/p/AF1QipOr-pIK1IlOv93DquKqXcCy8QoqwARooryS14uH=w224-h298-k-no
ChIJs2JfzWa_GzoReXkymFAQhQw,SUNNI MASJID (imtaj),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Cw4tA4yPGQXkkX6V9uMHdw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=71.55037&pitch=0&thumbfov=100
ChIJs2JfzWa_GzoReXkymFAQhQw,SUNNI MASJID (imtaj),Videos,https://lh5.googleusercontent.com/p/AF1QipOoVyZRjdR65LbePCj5g85DgUY9yy8np7LG5ftx=w529-h298-k-no
ChIJFaNznU_HGzoRZmCGZLvnrOE,Sayed Noor Ali Shah Baba (R.a),All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sSDTvyTMK6039LE6jm-AUw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=92.21485&pitch=0&thumbfov=100
ChIJFaNznU_HGzoRZmCGZLvnrOE,Sayed Noor Ali Shah Baba (R.a),Shrine,https://lh5.googleusercontent.com/p/AF1QipN98Pp1Ru2hh7RQhy9gdvYXCV-y_SQreWpD9p9_=w261-h298-k-no
ChIJFaNznU_HGzoRZmCGZLvnrOE,Sayed Noor Ali Shah Baba (R.a),By owner,https://lh5.googleusercontent.com/p/AF1QipMYwx0L-veKiGIT2A3YZZieOzsd-lMJsE1fpPYK=w298-h298-k-no
ChIJFaNznU_HGzoRZmCGZLvnrOE,Sayed Noor Ali Shah Baba (R.a),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sSDTvyTMK6039LE6jm-AUw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=92.21485&pitch=0&thumbfov=100
