place_id,place_name,about,link
ChIJS73PPwyY9jkRvMaGdiLkMUg,Haidri Masjid Ramzanpur,All,https://lh5.googleusercontent.com/p/AF1QipM97JrutiP5c-h1gPwXode043-KZDoHD_NnAT76=w224-h311-k-no
ChIJS73PPwyY9jkRvMaGdiLkMUg,Haidri Masjid Ramzanpur,Dome,https://lh5.googleusercontent.com/p/AF1QipNkBs8zEj72yA0s15atAO0lJUubsK-bHgMBuxuF=w529-h298-k-no
ChIJdeZZ9IKX9jkRaJxvTfW4cqk,Gausia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOTYJ-oIp4POsdlPI0MEjuDC2vPPdqN86OsYvPD=w646-h298-k-no
ChIJnzpqvT6X9jkROWTgSJc-Xsc,Jama Masjid Bhojudih (Islampur),All,https://lh5.googleusercontent.com/p/AF1QipPzpbjz1esHUOVgNMK74BbFqSEKyX86ynCS0jnd=w530-h298-k-no
ChIJnzpqvT6X9jkROWTgSJc-Xsc,Jama Masjid Bhojudih (Islampur),Dome,https://lh5.googleusercontent.com/p/AF1QipOwptc3CM1slCV1FrwtnUm08MnV32vudEv-sF8=w224-h298-k-no
ChIJnzpqvT6X9jkROWTgSJc-Xsc,Jama Masjid Bhojudih (Islampur),Videos,https://lh5.googleusercontent.com/p/AF1QipOkmWRbfLjz6eukY_kXKFJBsbQFCChzAM9vino=w529-h298-k-no
ChIJnzpqvT6X9jkROWTgSJc-Xsc,Jama Masjid Bhojudih (Islampur),By owner,https://lh5.googleusercontent.com/p/AF1QipMf7FzUEGeXeTaokW-Dq7vyv9suzJrTslrIDG3L=w397-h298-k-no
ChIJFyKUEoOX9jkRW4wXx7sFexE,Masjid Mohalla,All,https://lh5.googleusercontent.com/p/AF1QipOWb5kN5_cBGIMRgXZ7jdnMqu1xfq6J8FgnU7PJ=w224-h471-k-no
ChIJFyKUEoOX9jkRW4wXx7sFexE,Masjid Mohalla,Dome,https://lh5.googleusercontent.com/p/AF1QipNmoSeLx7tACNX6UWoroxNN0SaaTbj2iJpOum3z=w224-h471-k-no
ChIJFyKUEoOX9jkRW4wXx7sFexE,Masjid Mohalla,By owner,https://lh5.googleusercontent.com/p/AF1QipN6LkTqUTlD2rX69bTitgQ8WbBqmn4s5-2tpjf6=w268-h298-k-no
ChIJV0FUvEKY9jkRlAxNGI_fCHQ,"Dumri Maszid, Bhowra Dumri No 7",All,https://lh5.googleusercontent.com/p/AF1QipNvfTj4oKAx_ZRV90rb5VX0YJw77JtQOQC5L-AV=w224-h398-k-no
ChIJV0FUvEKY9jkRlAxNGI_fCHQ,"Dumri Maszid, Bhowra Dumri No 7",Videos,https://lh5.googleusercontent.com/p/AF1QipN0Y8GvP5cl2iCOEKBMP0KlvTSwGGt3_ABIwX0s=w224-h398-k-no
ChIJI60tH7CZ9jkRMPvDcXrlHFg,Raza nagar masjid bhowra no 7,All,https://lh5.googleusercontent.com/p/AF1QipNkVe95MunamaCdmAwFOgkq4ww7w9gmbGVAP9ky=w224-h398-k-no
ChIJI60tH7CZ9jkRMPvDcXrlHFg,Raza nagar masjid bhowra no 7,Videos,https://lh5.googleusercontent.com/p/AF1QipNDLnkDCW42001GxNGSmjxfCj2TXyii6E4W-Z-r=w541-h298-k-no
ChIJEQAAf9WZ9jkREmp3Xy1zAnk,Sudamdih Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U10hZc7iHncXnASoKbvSHg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=270.0953&pitch=0&thumbfov=100
ChIJEQAAf9WZ9jkREmp3Xy1zAnk,Sudamdih Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U10hZc7iHncXnASoKbvSHg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=270.0953&pitch=0&thumbfov=100
ChIJN7DtNXKX9jkRrqUISSbnogU,Chasnalla Masjid caasnaalaa msjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jPbPtB1XMAU3IteH9oDyjw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=66.11244&pitch=0&thumbfov=100
ChIJN7DtNXKX9jkRrqUISSbnogU,Chasnalla Masjid caasnaalaa msjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jPbPtB1XMAU3IteH9oDyjw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=66.11244&pitch=0&thumbfov=100
ChIJHbTiyq-X9jkR-qttdrzk4-M,Dangal Dhowra Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPtm8A0d9Qq-IpI-R7K5bt0xnAr4FffwIzUPGWA=w397-h298-k-no
ChIJHbTiyq-X9jkR-qttdrzk4-M,Dangal Dhowra Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPtm8A0d9Qq-IpI-R7K5bt0xnAr4FffwIzUPGWA=w397-h298-k-no
ChIJHbTiyq-X9jkR-qttdrzk4-M,Dangal Dhowra Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipPtm8A0d9Qq-IpI-R7K5bt0xnAr4FffwIzUPGWA=w397-h298-k-no
ChIJ4YmXW3CX9jkRVIvc8Tkp450,Noori Masjid Hattallah,All,https://lh5.googleusercontent.com/p/AF1QipOqtVmkWFnhAaGRG-Odr6hAxnd-egU9kEE-uf63=w662-h298-k-no
ChIJbT7h6_2Z9jkRgfvU1_vA6ho,Nunikdih Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOd_GWdHDxils-9QBzcMFKnEeWUF3DYOvmcK9Fj=w224-h398-k-no
