name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jamia Masjid,Mosque,"WPQ9+CC3 Jamia Masjid, Peranampattu, Tamil Nadu 635810",,WPQ9+CC3,Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Jamia+Masjid/data=!4m7!3m6!1s0x3bad74cf458989bb:0x8f96e8986966d2bd!8m2!3d12.9385027!4d78.7185615!16s%2Fg%2F11ddw_mcpr!19sChIJu4mJRc90rTsRvdJmaZjolo8?authuser=0&hl=en&rclk=1,"12.938502699999999,78.71856149999999"
Masjid - E - Fazal,Mosque,"Masjid - E - Fazal, Masjid-e- fazal, High Rd, Peranampattu, Tamil Nadu 635810",,"Masjid-e- fazal, High Rd",Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+E+-+Fazal/data=!4m7!3m6!1s0x3bad74c663ef5055:0xd194e638a192db92!8m2!3d12.9421077!4d78.7202362!16s%2Fg%2F11c5_8r15v!19sChIJVVDvY8Z0rTsRktuSoTjmlNE?authuser=0&hl=en&rclk=1,"12.9421077,78.7202362"
Road Masjid Ahle Hadees,Mosque,"WPP9+524 Road Masjid Ahle Hadees, Islamia High School Street, Peranampattu, Tamil Nadu 635810",,"WPP9+524, Islamia High School Street",Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Road+Masjid+Ahle+Hadees/data=!4m7!3m6!1s0x3bad74ceeb9819b7:0x9824b5117a2cd849!8m2!3d12.9353801!4d78.7175898!16s%2Fg%2F11c7vvxqk8!19sChIJtxmY6850rTsRSdgsehG1JJg?authuser=0&hl=en&rclk=1,"12.9353801,78.7175898"
Chowk Masjid,Mosque,"WPM9+PHC Chowk Masjid, Peranampattu, Tamil Nadu 635810",,WPM9+PHC,Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Chowk+Masjid/data=!4m7!3m6!1s0x3bad74ceb1ed6829:0xd336387b877a7b63!8m2!3d12.9343092!4d78.7189005!16s%2Fg%2F11cm3qb2c5!19sChIJKWjtsc50rTsRY3t6h3s4NtM?authuser=0&hl=en&rclk=1,"12.9343092,78.71890049999999"
Rasheedabad Masjid,Mosque,"WPJC+324 Rasheedabad Masjid, Hak St, Peranampattu, Tamil Nadu 635810",,"WPJC+324, Hak St",Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Rasheedabad+Masjid/data=!4m7!3m6!1s0x3bad74cb6fa98917:0xff64a68fb62a45b1!8m2!3d12.9301468!4d78.7200708!16s%2Fg%2F11g732yqbz!19sChIJF4mpb8t0rTsRsUUqto-mZP8?authuser=0&hl=en&rclk=1,"12.9301468,78.7200708"
Park Mosque,Mosque,"WPP8+768 Park Mosque, Rahamadabad, Peranampattu, Tamil Nadu 635810",Rahamadabad,WPP8+768,Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Park+Mosque/data=!4m7!3m6!1s0x3bad74ce5fc782fb:0xe9e91c464fb16b35!8m2!3d12.9356697!4d78.7155822!16s%2Fg%2F11c6055p29!19sChIJ-4LHX850rTsRNWuxT0Yc6ek?authuser=0&hl=en&rclk=1,"12.9356697,78.7155822"
Lal Masjid,Mosque,"WPP9+VV9 Lal Masjid, Lal Mosque St, Peranampattu, Tamil Nadu 635810",,"WPP9+VV9, Lal Mosque St",Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Lal+Masjid/data=!4m7!3m6!1s0x3bad74c8d0e600df:0x3c48f7850b15a98b!8m2!3d12.9371726!4d78.7197435!16s%2Fg%2F11dfj84zg2!19sChIJ3wDm0Mh0rTsRi6kVC4X3SDw?authuser=0&hl=en&rclk=1,"12.9371726,78.71974349999999"
Masjid-e-Bilal,Mosque,"WPQ5+287 Masjid-e-Bilal, Peranampattu, Tamil Nadu 635810",,WPQ5+287,Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-e-Bilal/data=!4m7!3m6!1s0x3bad74d0c9ddb82d:0xd7d7f0e24c295715!8m2!3d12.9375394!4d78.7082866!16s%2Fg%2F11f03rnb0d!19sChIJLbjdydB0rTsRFVcpTOLw19c?authuser=0&hl=en&rclk=1,"12.937539399999999,78.7082866"
Masjid-e-Mahmood,Mosque,"WPPG+W82 Masjid-e-Mahmood, Peranampattu, Tamil Nadu 635810",,WPPG+W82,Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-e-Mahmood/data=!4m7!3m6!1s0x3bad74b7d2ad8c25:0x3cd4ba15c834f2c5!8m2!3d12.9372515!4d78.725777!16s%2Fg%2F11g7yb3rp6!19sChIJJYyt0rd0rTsRxfI0yBW61Dw?authuser=0&hl=en&rclk=1,"12.937251499999999,78.725777"
Masjid e Shaikh ul hadith,Mosque,"WPMF+Q74 Masjid e Shaikh ul hadith, Peranampattu, Tamil Nadu 635810",,WPMF+Q74,Peranampattu,635810,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+e+Shaikh+ul+hadith/data=!4m7!3m6!1s0x3bad74c98c1a9b2b:0x97a99368f4b4fe65!8m2!3d12.9343959!4d78.7232175!16s%2Fg%2F11gb3tr5v7!19sChIJK5sajMl0rTsRZf609GiTqZc?authuser=0&hl=en&rclk=1,"12.9343959,78.72321749999999"
