place_id,place_name,about,link
ChIJG4SD-3hzDDkRF55Egbz8Fc8,Masjid Darbar,All,https://lh5.googleusercontent.com/p/AF1QipO0ZsqehSfARvXhrAnkPT9VdMI7QVMSclqoGol4=w397-h298-k-no
ChIJG4SD-3hzDDkRF55Egbz8Fc8,Masjid Darbar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=H6HTnx9IZPCowm5CmWzwWw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=7.4465957&pitch=0&thumbfov=100
ChIJAxC2mp1zDDkR8W13GEHHLNY,Eid Gah Phalauda,All,https://lh5.googleusercontent.com/p/AF1QipOd2xRbTbpdPpytmQ2m-Dg2KTSW3o3Gyn04Zqug=w529-h298-k-no
ChIJAxC2mp1zDDkR8W13GEHHLNY,Eid Gah Phalauda,Videos,https://lh5.googleusercontent.com/p/AF1QipP_wwMhSlX5k85DQb5UprBNv1gRRQHfLvczUqxP=w298-h298-k-no
ChIJWTu9EXhzDDkRZQI12kD-8pQ,Madina Masjid mdynh msjd,All,https://lh5.googleusercontent.com/p/AF1QipNW0TKrTBc6p-IFISaMJ3A6vl80EZOurgGE09zz=w224-h398-k-no
ChIJWTu9EXhzDDkRZQI12kD-8pQ,Madina Masjid mdynh msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipMNA36jAd6kuzALobhDe1bAgrgyPyZmTaNFKYzF=w224-h398-k-no
ChIJWTu9EXhzDDkRZQI12kD-8pQ,Madina Masjid mdynh msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipNRHx87ubpFyxq-0q7p5BuNEjynbe1qFjloRcWT=w224-h398-k-no
ChIJWTu9EXhzDDkRZQI12kD-8pQ,Madina Masjid mdynh msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Zsu9jQFjXiVvavSuh0xRtQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=5.3907027&pitch=0&thumbfov=100
ChIJ_4jRtnhzDDkRdSSthjNv3E0,Masjid-E-Allah Daad (msjd llh dd),All,https://lh5.googleusercontent.com/p/AF1QipPxEATrs7cFRlcM8WXOMO9RREz-sN6TrE7VFyw1=w452-h298-k-no
ChIJ_4jRtnhzDDkRdSSthjNv3E0,Masjid-E-Allah Daad (msjd llh dd),Dome,https://lh5.googleusercontent.com/p/AF1QipMRpjXG6aejkmVVg15oGZ4jikmzbOhl8LWHL_8c=w447-h298-k-no
ChIJ_4jRtnhzDDkRdSSthjNv3E0,Masjid-E-Allah Daad (msjd llh dd),Videos,https://lh5.googleusercontent.com/p/AF1QipO7a7N4VsoGrfguntw0z4PgPa_x9CXRpfgp1rsL=w224-h398-k-no
ChIJ_4jRtnhzDDkRdSSthjNv3E0,Masjid-E-Allah Daad (msjd llh dd),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0p9r7YCc9myU4PeuaZRkGg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=72.60249&pitch=0&thumbfov=100
ChIJwWiO9IFzDDkRbBvBxm4HKpE,Masjid Abubakar,All,https://lh5.googleusercontent.com/p/AF1QipO8B240wD-RFty1g1_-lpo-X65BYuFY6KmvLl1U=w398-h298-k-no
ChIJwWiO9IFzDDkRbBvBxm4HKpE,Masjid Abubakar,Dome,https://lh5.googleusercontent.com/p/AF1QipMCtG3vlNGyExIGK70wG39yDLTdzOcq6uwS31iV=w397-h298-k-no
ChIJwWiO9IFzDDkRbBvBxm4HKpE,Masjid Abubakar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=03o9gKuks9nGP7sYkqAGvQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=46.169544&pitch=0&thumbfov=100
ChIJ18g-kXhzDDkR4qFtJnnwDXc,Masjid Kuraishiyan,All,https://lh5.googleusercontent.com/p/AF1QipPNtKYNiJvZkpUcKTCGokQfRErlWkHzOqPXEZ7F=w224-h298-k-no
ChIJ18g-kXhzDDkR4qFtJnnwDXc,Masjid Kuraishiyan,Dome,https://lh5.googleusercontent.com/p/AF1QipM930DJ7_SrfLvGziTB2sQjwFe98MT5LRAcF-TW=w452-h298-k-no
ChIJd6AU33hzDDkRYk-oiOErwEM,Khara Kunva Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN2mgifNrp9jsJalCarI9rfi7JFypsuto2Ytgk-=w529-h298-k-no
ChIJd6AU33hzDDkRYk-oiOErwEM,Khara Kunva Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNasDPL2acH3WIOYXZHZbkv-rsXkMx-8jqQrn0_=w224-h399-k-no
ChIJmfUgFH1zDDkRGV1vowe3Jts,Makki masjid,All,https://lh5.googleusercontent.com/p/AF1QipObEXB5oY5xyNSWSb4G1BVTLzPMyew7RtZVbdih=w224-h398-k-no
ChIJmfUgFH1zDDkRGV1vowe3Jts,Makki masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOiR5RpmIdd4YH8Un2Xamv9NkBFQoY9dIZYQmNW=w224-h398-k-no
ChIJz1irAtVzDDkRlCVVCD8srqg,Masjid Husainul Madani (msjd Hsyn lmdny),All,https://lh5.googleusercontent.com/p/AF1QipNn8opB6FR3UVmNBNariWNtzPt1CHejL8iE_vgX=w224-h497-k-no
