name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Madina Tul Uloom,Masjid",Mosque,"49JF+Q64 Madina Tul Uloom,Masjid, Dholabala govind nagr, Phalodi, Rajasthan 342301",Dholabala Harijan Basti,"49JF+Q64, Dholabala govind nagr",Phalodi,342301,Rajasthan,IN,"https://www.google.com/maps/place/Madina+Tul+Uloom,Masjid/data=!4m7!3m6!1s0x3940eae35da132f5:0xe52f9e738230f602!8m2!3d27.1318795!4d72.373089!16s%2Fg%2F11dybhch5c!19sChIJ9TKhXePqQDkRAvYwgnOeL-U?authuser=0&hl=en&rclk=1","27.1318795,72.373089"
"Jama Maszid, Phalodi - 342301",Mosque,"49M4+CWF Jama Maszid, Phalodi - 342301, Khadi Bhawan Rd, Phalodi, Rajasthan 342301",,"49M4+CWF, Khadi Bhawan Rd",Phalodi,342301,Rajasthan,IN,"https://www.google.com/maps/place/Jama+Maszid,+Phalodi+-+342301/data=!4m7!3m6!1s0x3940eaec85912bf1:0x821b32fd44050cc5!8m2!3d27.1335657!4d72.3573029!16s%2Fg%2F12qfvryt8!19sChIJ8SuRhezqQDkRxQwFRP0yG4I?authuser=0&hl=en&rclk=1","27.1335657,72.3573029"
Jama Masjid Zam Zam Nagar,Mosque,"49J5+FHF Jama Masjid Zam Zam Nagar, Phalodi, Rajasthan 342301",,49J5+FHF,Phalodi,342301,Rajasthan,IN,https://www.google.com/maps/place/Jama+Masjid+Zam+Zam+Nagar/data=!4m7!3m6!1s0x3940eb79dc46886b:0xd69a9a95c344bda5!8m2!3d27.131186!4d72.3589321!16s%2Fg%2F11h1m48sd5!19sChIJa4hG3HnrQDkRpb1Ew5WamtY?authuser=0&hl=en&rclk=1,"27.131186,72.35893209999999"
Fatema Masjid Barkat kaloni Phalodi,Mosque,"49JG+223 Fatema Masjid Barkat kaloni Phalodi, Fatema Masjid Barkat kaloni, Phalodi, Rajasthan 342301",Dholabala Harijan Basti,"49JG+223, Fatema Masjid Barkat kaloni",Phalodi,342301,Rajasthan,IN,https://www.google.com/maps/place/Fatema+Masjid+Barkat+kaloni+Phalodi/data=!4m7!3m6!1s0x3940ebd9d36fde2f:0xaa68dcdf77734c94!8m2!3d27.1300035!4d72.375038!16s%2Fg%2F11s50174tk!19sChIJL95v09nrQDkRlExzd9_caKo?authuser=0&hl=en&rclk=1,"27.130003499999997,72.375038"
Jame Masjid e Zulekha,Mosque,"49MC+8PG Jame Masjid e Zulekha, Dholabala Harijan Basti, Phalodi, Rajasthan 342301",Dholabala Harijan Basti,49MC+8PG,Phalodi,342301,Rajasthan,IN,https://www.google.com/maps/place/Jame+Masjid+e+Zulekha/data=!4m7!3m6!1s0x3940eb39cc1b5c85:0xe49fe0718eab7989!8m2!3d27.1337921!4d72.3724124!16s%2Fg%2F11rp2pqrgk!19sChIJhVwbzDnrQDkRiXmrjnHgn-Q?authuser=0&hl=en&rclk=1,"27.133792099999997,72.3724124"
"Madarsa Faisul Quran, Markaz PHALODI",Mosque,"49M8+HV6 Madarsa Faisul Quran, Markaz PHALODI, Bhaiya Nadi, Phalodi, Rajasthan 342301",Bhaiya Nadi,49M8+HV6,Phalodi,342301,Rajasthan,IN,"https://www.google.com/maps/place/Madarsa+Faisul+Quran,+Markaz+PHALODI/data=!4m7!3m6!1s0x3940eb309ffeb831:0x604e9d9b48f09e9a!8m2!3d27.1339231!4d72.3671257!16s%2Fg%2F11kk_8lrzl!19sChIJMbj-nzDrQDkRmp7wSJudTmA?authuser=0&hl=en&rclk=1","27.1339231,72.3671257"
(Masjid e aaeshaa) msjd `y'shh Sdyqh Thrh rDy llh t`ly `nh,Mosque,"49W3+MQ3 (Masjid e aaeshaa) msjd `y'shh Sdyqh Thrh rDy llh t`ly `nh, Phalodi, Rajasthan 342301",,49W3+MQ3,Phalodi,342301,Rajasthan,IN,https://www.google.com/maps/place/%28Masjid+e+aaeshaa%29+%D9%85%D8%B3%D8%AC%D8%AF+%D8%B9%D8%A7%D8%A6%D8%B4%DB%81+%D8%B5%D8%AF%DB%8C%D9%82%DB%81+%D8%B7%D8%A7%DB%81%D8%B1%DB%81+%D8%B1%D8%B6%DB%8C+%D8%A7%D9%84%D9%84%DB%81+%D8%AA%D8%B9%D8%A7%D9%84%DB%8C%D9%B0+%D8%B9%D9%86%DB%81%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3940eb64f909a6b3:0x7839e3d2afd4d9ec!8m2!3d27.1466391!4d72.3544355!16s%2Fg%2F11s7swz712!19sChIJs6YJ-WTrQDkR7NnUr9LjOXg?authuser=0&hl=en&rclk=1,"27.146639099999998,72.3544355"
Madina Masjid Phalodi (mdiinaa msjid) Qureshiyon ka mohalla,Mosque,"49Q5+C7 Madina Masjid Phalodi (mdiinaa msjid) Qureshiyon ka mohalla, Phalodi, Rajasthan 342301",,49Q5+C7,Phalodi,,Rajasthan,IN,https://www.google.com/maps/place/Madina+Masjid+Phalodi+%28%E0%A4%AE%E0%A4%A6%E0%A5%80%E0%A4%A8%E0%A4%BE+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6%29+Qureshiyon+ka+mohalla/data=!4m7!3m6!1s0x3940eb64a4c318a7:0x61b8a191b7033848!8m2!3d27.1385087!4d72.3582245!16s%2Fg%2F11s7pt0_z6!19sChIJpxjDpGTrQDkRSDgDt5GhuGE?authuser=0&hl=en&rclk=1,"27.1385087,72.35822449999999"
Masjid,Mosque,"48MH+7MG Masjid, Phalodi, Rajasthan 342301",,48MH+7MG,Phalodi,342301,Rajasthan,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3940c12e07cf6b97:0xd56b7ecd081bfb1c!8m2!3d27.1331941!4d72.3292052!16s%2Fg%2F11vdksvx5q!19sChIJl2vPBy7BQDkRHPsbCM1-a9U?authuser=0&hl=en&rclk=1,"27.133194099999997,72.32920519999999"
Kohinoor tent house phalodi,Mosque,"49J5+FHM Kohinoor tent house phalodi, Phalodi, Rajasthan 342301",,49J5+FHM,Phalodi,,Rajasthan,IN,https://www.google.com/maps/place/Kohinoor+tent+house+phalodi/data=!4m7!3m6!1s0x3940eb5e4c5a2317:0x1e461a39f948b061!8m2!3d27.1312164!4d72.3589278!16s%2Fg%2F11s75pkqb9!19sChIJFyNaTF7rQDkRYbBI-TkaRh4?authuser=0&hl=en&rclk=1,"27.1312164,72.3589278"
