name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid Islam gNj,Mosque,"J6G2+HCC Masjid Islam gNj, Mohalla-Nagar, Pihani, Pihani Dehat, Uttar Pradesh 241406",Mohalla-Nagar,J6G2+HCC,"Pihani, Pihani Dehat",241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Islam+%E0%A4%97%E0%A4%82%E0%A4%9C/data=!4m7!3m6!1s0x399f03cd1b6cf21d:0x1d4d2fd4ff26d2d7!8m2!3d27.6264456!4d80.2010268!16s%2Fg%2F11b8v6t0bk!19sChIJHfJsG80DnzkR19Im_9QvTR0?authuser=0&hl=en&rclk=1,"27.6264456,80.2010268"
Masjid Bada Kuwan,Mosque,"J693+34C Masjid Bada Kuwan, Pihani, Uttar Pradesh 241406",,J693+34C,Pihani,241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Bada+Kuwan/data=!4m7!3m6!1s0x399f023169e0e035:0x5f01b7fd81b0e98!8m2!3d27.6176931!4d80.2027663!16s%2Fg%2F11c1vn5850!19sChIJNeDgaTECnzkRmA4b2H8b8AU?authuser=0&hl=en&rclk=1,"27.6176931,80.2027663"
Jama Masjid,Mosque,"J6C3+C7G Jama Masjid, Pihani, Uttar Pradesh 241406",,J6C3+C7G,Pihani,241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x399f02339972b31d:0xa55e7a0440d2df0c!8m2!3d27.6210678!4d80.203215!16s%2Fg%2F11css7tt04!19sChIJHbNymTMCnzkRDN_SQAR6XqU?authuser=0&hl=en&rclk=1,"27.6210678,80.203215"
Farooq E Azam Mosque,Mosque,"J5HX+3PJ Farooq E Azam Mosque, Pihani, Pihani Dehat, Uttar Pradesh 241406",,J5HX+3PJ,"Pihani, Pihani Dehat",241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Farooq+E+Azam+Mosque/data=!4m7!3m6!1s0x399f03cd84e072db:0x9744c6f89aed51cd!8m2!3d27.6277063!4d80.199273!16s%2Fg%2F11c1xddwg2!19sChIJ23LghM0DnzkRzVHtmvjGRJc?authuser=0&hl=en&rclk=1,"27.6277063,80.19927299999999"
Masjid Rashidiya,Mosque,"J682+JQH Masjid Rashidiya, Pihani, Uttar Pradesh 241406",,J682+JQH,Pihani,241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Rashidiya/data=!4m7!3m6!1s0x399f02310f0a157f:0x73f78440b41fba28!8m2!3d27.6165563!4d80.2019894!16s%2Fg%2F11c5wm959w!19sChIJfxUKDzECnzkRKLoftECE93M?authuser=0&hl=en&rclk=1,"27.6165563,80.2019894"
msjd ddkh bnglh Masjid Dak Bangla,Mosque,"J6F5+7XV msjd ddkh bnglh Masjid Dak Bangla, near Pwd guest house, Pihani, Pihani Dehat, Uttar Pradesh 241406",,"J6F5+7XV, near Pwd guest house","Pihani, Pihani Dehat",241406,Uttar Pradesh,IN,https://www.google.com/maps/place/%D9%85%D8%B3%D8%AC%D8%AF+%DA%88%D8%A7%DA%A9+%D8%A8%D9%86%DA%AF%D9%84%DB%81+Masjid+Dak+Bangla%E2%80%AD/data=!4m7!3m6!1s0x399f024a9e73b395:0xddf22848db51d0e5!8m2!3d27.6232368!4d80.2099237!16s%2Fg%2F11dxhkl5my!19sChIJlbNznkoCnzkR5dBR20go8t0?authuser=0&hl=en&rclk=1,"27.623236799999997,80.20992369999999"
Masjid Habsa,Mosque,"J6F2+V43 Masjid Habsa, Pihani, Pihani Dehat, Uttar Pradesh 241406",,J6F2+V43,"Pihani, Pihani Dehat",241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Habsa/data=!4m7!3m6!1s0x399f03cd343654a5:0xe6f50114c3b6ebf2!8m2!3d27.6246389!4d80.2003093!16s%2Fg%2F11bz_3vn3j!19sChIJpVQ2NM0DnzkR8uu2wxQB9eY?authuser=0&hl=en&rclk=1,"27.624638899999997,80.2003093"
Masjid Abrar,Mosque,"J5GX+CH8 Masjid Abrar, Mohalla Nagar, Pihani, Pihani Dehat, Uttar Pradesh 241406",Mohalla Nagar,J5GX+CH8,"Pihani, Pihani Dehat",241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Abrar/data=!4m7!3m6!1s0x399f03cd61769775:0x11b5a1eaeac20b2f!8m2!3d27.62603!4d80.1989403!16s%2Fg%2F11f2rqrsr_!19sChIJdZd2Yc0DnzkRLwvC6uqhtRE?authuser=0&hl=en&rclk=1,"27.62603,80.19894029999999"
Idgah,Mosque,"J5GQ+J9G Idgah, Karawan Road, Pihani, Uttar Pradesh 241406",,"J5GQ+J9G, Karawan Road","Pihani, Pihani Dehat",241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Idgah/data=!4m7!3m6!1s0x399f03d59db4957d:0x7d974275f381c97f!8m2!3d27.6265748!4d80.1884486!16s%2Fg%2F11f_z9s551!19sChIJfZW0ndUDnzkRf8mB83VCl30?authuser=0&hl=en&rclk=1,"27.6265748,80.1884486"
Masjid Ibraahem,Mosque,"J695+F8G Masjid Ibraahem, Pihani, Uttar Pradesh 241406",,J695+F8G,Pihani,241406,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Ibraahem/data=!4m7!3m6!1s0x399f0236736f2191:0xdaeba3923d3bf1f4!8m2!3d27.6186777!4d80.2083134!16s%2Fg%2F11f03lfnkr!19sChIJkSFvczYCnzkR9PE7PZKj69o?authuser=0&hl=en&rclk=1,"27.6186777,80.2083134"
