name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Kumaran Nagar Mosque,Mosque,"MX5V+J67 Kumaran Nagar Mosque, Kumaran nagar, Pollachi, Tamil Nadu 642001",K.V.R.Layout,"MX5V+J67, Kumaran nagar",Pollachi,642001,Tamil Nadu,IN,https://www.google.com/maps/place/Kumaran+Nagar+Mosque/data=!4m7!3m6!1s0x3ba839cb7e1996c3:0xaf97db611e990047!8m2!3d10.659033!4d76.9930374!16s%2Fg%2F12jbt0dwl!19sChIJw5YZfss5qDsRRwCZHmHbl68?authuser=0&hl=en&rclk=1,"10.659032999999999,76.99303739999999"
Masjid E Shafia,Mosque,"Masjid E Shafia, 82/6, SH 78, Periyapodhu, Suleeswaranpatti, Tamil Nadu 642001",Periyapodhu,"82/6, SH 78",Suleeswaranpatti,642001,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+E+Shafia/data=!4m7!3m6!1s0x3ba839d7ada5a11d:0x56eaded77b06e2bd!8m2!3d10.653592!4d77.0080615!16s%2Fg%2F11csqz3yxl!19sChIJHaGlrdc5qDsRveIGe9fe6lY?authuser=0&hl=en&rclk=1,"10.653592,77.0080615"
Market Road Masjid cntai viiti msjit,Mosque,"Market Road Masjid cntai viiti msjit, Railway Junction, Meenkarai Rd, Periyapodhu, Pollachi, Tamil Nadu 642001",Periyapodhu,"Railway Junction, Meenkarai Rd",Pollachi,642001,Tamil Nadu,IN,https://www.google.com/maps/place/Market+Road+Masjid+%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%88+%E0%AE%B5%E0%AF%80%E0%AE%A4%E0%AE%BF+%E0%AE%AE%E0%AE%B8%E0%AF%8D%E0%AE%9C%E0%AE%BF%E0%AE%A4%E0%AF%8D/data=!4m7!3m6!1s0x3ba839d1a32f6053:0xb537c97a44f2bd22!8m2!3d10.6546771!4d77.001071!16s%2Fg%2F126153tk4!19sChIJU2Avo9E5qDsRIr3yRHrJN7U?authuser=0&hl=en&rclk=1,"10.654677099999999,77.001071"
Raulah Mosque,Mosque,"M276+PF7 Raulah Mosque, Mahalingapuram, Tamil Nadu 642002",,M276+PF7,Mahalingapuram,642002,Tamil Nadu,IN,https://www.google.com/maps/place/Raulah+Mosque/data=!4m7!3m6!1s0x3ba83780655b18f5:0xd9d22d1da01c0302!8m2!3d10.6642989!4d77.0111631!16s%2Fg%2F11cmsx9r1x!19sChIJ9RhbZYA3qDsRAgMcoB0t0tk?authuser=0&hl=en&rclk=1,"10.6642989,77.01116309999999"
Tntj Mosque Pollachi,Mosque,"Tntj Mosque Pollachi, 124, tiruniilknnttr viiti, Periyapodhu, Pollachi, Tamil Nadu 642001",Periyapodhu,"124, tiruniilknnttr viiti",Pollachi,642001,Tamil Nadu,IN,https://www.google.com/maps/place/Tntj+Mosque+Pollachi/data=!4m7!3m6!1s0x3ba839d727322607:0x276fc969c3122e42!8m2!3d10.653537!4d77.0056616!16s%2Fg%2F11gclzc2fs!19sChIJByYyJ9c5qDsRQi4Sw2nJbyc?authuser=0&hl=en&rclk=1,"10.653537,77.0056616"
Masjidhe Rahmaniyya -(Sunnath Jamaath Masjid) msjite rhmaannniyaa,Mosque,"J2V4+Q2R Masjidhe Rahmaniyya -(Sunnath Jamaath Masjid) msjite rhmaannniyaa, Alagappa Colony, Pollachi, Tamil Nadu 642006",Alagappa Colony,J2V4+Q2R,Pollachi,642006,Tamil Nadu,IN,https://www.google.com/maps/place/Masjidhe+Rahmaniyya+-%28Sunnath+Jamaath+Masjid%29+%E0%AE%AE%E0%AE%B8%E0%AF%8D%E0%AE%9C%E0%AE%BF%E0%AE%A4%E0%AF%86+%E0%AE%B0%E0%AE%B9%E0%AF%8D%E0%AE%AE%E0%AE%BE%E0%AE%A9%E0%AE%BF%E0%AE%AF%E0%AE%BE/data=!4m7!3m6!1s0x3ba839dea42fda9f:0x49f67f4f72d563d1!8m2!3d10.6444968!4d77.0050286!16s%2Fg%2F11gbffvl8q!19sChIJn9ovpN45qDsR0WPVck9_9kk?authuser=0&hl=en&rclk=1,"10.644496799999999,77.0050286"
tntj Mosque S L PATTY,Mosque,"J2V3+956 tntj Mosque S L PATTY, Unnamed Road, Alagappa Colony, Pollachi, Tamil Nadu 642006",Alagappa Colony,"J2V3+956, Unnamed Road",Pollachi,642006,Tamil Nadu,IN,https://www.google.com/maps/place/tntj+Mosque+S+L+PATTY/data=!4m7!3m6!1s0x3ba839dc4649debb:0xb09e668b63957b56!8m2!3d10.6434081!4d77.0028997!16s%2Fg%2F11f30kc_dq!19sChIJu95JRtw5qDsRVnuVY4tmnrA?authuser=0&hl=en&rclk=1,"10.6434081,77.0028997"
Juma Masjid,Mosque,"Juma Masjid, 174, Bazaar St, Palaghat, Pollachi, Tamil Nadu 642001",Palaghat,"174, Bazaar St",Pollachi,642001,Tamil Nadu,IN,https://www.google.com/maps/place/Juma+Masjid/data=!4m7!3m6!1s0x3ba839d204d68b51:0xa1d125bd3addfe52!8m2!3d10.6587908!4d77.0081661!16s%2Fg%2F11h451gyc7!19sChIJUYvWBNI5qDsRUv7dOr0l0aE?authuser=0&hl=en&rclk=1,"10.6587908,77.0081661"
Masjid,Mosque,"MX2R+XPW Masjid, Kannappan Nagar, Pollachi, Tamil Nadu 642006",Kannappan Nagar,MX2R+XPW,Pollachi,642006,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3ba839f5125fda2d:0x380372a9d4679919!8m2!3d10.6524998!4d76.9918267!16s%2Fg%2F11h3kzhj1l!19sChIJLdpfEvU5qDsRGZln1KlyAzg?authuser=0&hl=en&rclk=1,"10.6524998,76.99182669999999"
MASJID-E-MOHAMMED SAL SUNNATH VAL JAMAATH,Mosque,"J2R3+7R6 MASJID-E-MOHAMMED SAL SUNNATH VAL JAMAATH, Alagappa Colony, Pollachi, Tamil Nadu 642006",Alagappa Colony,J2R3+7R6,Pollachi,642006,Tamil Nadu,IN,https://www.google.com/maps/place/MASJID-E-MOHAMMED+SAL+SUNNATH+VAL+JAMAATH/data=!4m7!3m6!1s0x3ba8396915767737:0x65342d07b686a45e!8m2!3d10.6406505!4d77.0045169!16s%2Fg%2F11fmmmt815!19sChIJN3d2FWk5qDsRXqSGtgctNGU?authuser=0&hl=en&rclk=1,"10.6406505,77.0045169"
Masjid un Noor,Mosque,"sinivasapuram, Masjid un Noor, pallivasal buliding, Narikkalpathy, Zamin Uthukuli, Akilandapuram, Pollachi, Tamil Nadu 642004","Narikkalpathy, Zamin Uthukuli, Akilandapuram","sinivasapuram, pallivasal buliding",Pollachi,642004,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+un+Noor/data=!4m7!3m6!1s0x3ba839f02176101f:0x68d1f3809f2f864b!8m2!3d10.6500326!4d76.9849303!16s%2Fg%2F11p0_knkbj!19sChIJHxB2IfA5qDsRS4Yvn4Dz0Wg?authuser=0&hl=en&rclk=1,"10.6500326,76.9849303"
