place_id,place_name,about,link
ChIJcQ-Ghuy6vzsRuM81ZARgpNw,Safa Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPNDc9xNoZcWTu-lxWAKy_szI066XlZzeV4-Yw=w224-h299-k-no
ChIJcQ-Ghuy6vzsRuM81ZARgpNw,Safa Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipPAcux98c8IQCLFuKUweorvYPfKFH4AOu_6Rpwq=w224-h298-k-no
ChIJcQ-Ghuy6vzsRuM81ZARgpNw,Safa Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPjIJdJsMUz1FR3f88zXAhNwxwglbJavfIb7_bE=w529-h298-k-no
ChIJcQ-Ghuy6vzsRuM81ZARgpNw,Safa Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipN0lBknAJ7VcGygJBBNpq1Ut3gQ0LXg5IJgPsjR=w224-h298-k-no
ChIJcQ-Ghuy6vzsRuM81ZARgpNw,Safa Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipN8fdhhgf24Jmypd7_c8uY1TQ952tWXygRkeMG1=w224-h298-k-no-pi-20-ya340-ro-0-fo100
ChIJEwArKcC6vzsRzPYVKcPFqpQ,Masjid E Noorani,All,https://lh5.googleusercontent.com/p/AF1QipPajoGcpP_9-2E70wOkP0T4p1Ff9kbC3SUfKMjB=w397-h298-k-no
ChIJEwArKcC6vzsRzPYVKcPFqpQ,Masjid E Noorani,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YZUk7pVc3J4Oo1VTtA3Bcg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=36.58919&pitch=0&thumbfov=100
ChIJAWhzEMG6vzsRd5-Hmp-Zwxo,Sunni Shahi Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNXntKEjIx6xXh8_GLk15AeoA3hn0mMJ_rnVYBx=w397-h298-k-no
ChIJAWhzEMG6vzsRd5-Hmp-Zwxo,Sunni Shahi Madina Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNFOwbHfStx4hf7qrFfyiClz7DREobTD-BVGM6B=w397-h298-k-no
ChIJAWhzEMG6vzsRd5-Hmp-Zwxo,Sunni Shahi Madina Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMIvKSxQhvdgjR1HcuHfdFC-eky589-H5UdHdFw=w224-h361-k-no
ChIJAWhzEMG6vzsRd5-Hmp-Zwxo,Sunni Shahi Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mlg6OYPk_K2HP8VCEi-Kpg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=324.09244&pitch=0&thumbfov=100
ChIJewAJDLm6vzsRKQPuS1FUcqA,Masjid E Fatima,All,https://lh5.googleusercontent.com/p/AF1QipPjI7ET-fIHfRuXpRz8SQp7WV_cg5aLm_BYfZWh=w397-h298-k-no
ChIJewAJDLm6vzsRKQPuS1FUcqA,Masjid E Fatima,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DUzmcxzPuhQBRkdgOtHXtw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=293.92947&pitch=0&thumbfov=100
ChIJX8fhP2m7vzsRK6yVEd8ZK2M,Naga masjid ponda Goa,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FXyGkCcRksM-O-gIafmKvw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.53784&pitch=0&thumbfov=100
ChIJX8fhP2m7vzsRK6yVEd8ZK2M,Naga masjid ponda Goa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FXyGkCcRksM-O-gIafmKvw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.53784&pitch=0&thumbfov=100
ChIJ3eDagMe7vzsRoNxDfM_60M4,Nagzri ponda,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UcAl-0Ac_bW9k2Qu1er6ZQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=342.57217&pitch=0&thumbfov=100
ChIJ3eDagMe7vzsRoNxDfM_60M4,Nagzri ponda,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UcAl-0Ac_bW9k2Qu1er6ZQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=342.57217&pitch=0&thumbfov=100
