place_id,place_name,about,link
ChIJdZFuOuRjUzoREb0Gbg9t2LQ,Kottakuppam Jamiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOIRnSO5c_Mla1YYv2mICYqyFqbN2E9pTr1yTWf=w397-h298-k-no
ChIJdZFuOuRjUzoREb0Gbg9t2LQ,Kottakuppam Jamiya Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMAMbx13I7l5dPYZCIEFabBStgSkUYR6tqdp8k=w446-h298-k-no
ChIJdZFuOuRjUzoREb0Gbg9t2LQ,Kottakuppam Jamiya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPO-z2fKJC_Ou6QRsZx9S5v92j7hmjXzevWeErm=w224-h398-k-no
ChIJdZFuOuRjUzoREb0Gbg9t2LQ,Kottakuppam Jamiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7BkuErFsynpatoVij88BPw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=235.36754&pitch=0&thumbfov=100
ChIJLZuNyOVjUzoRJ0Q0R-wEz9A,Jamia Masjid Shadi Mahal,All,https://lh5.googleusercontent.com/p/AF1QipNy3OrCC4O-VbhS4tNLOGgdUWutu6eQeHt6g3y8=w224-h398-k-no
ChIJ0abemqxhUzoRKAfY9ruovDI,TNTJ Gandhinagar Markas,All,https://lh5.googleusercontent.com/p/AF1QipOmIZvJnRkozxLsfNa1ESobaaz8sXbbg4xfXAlP=w397-h298-k-no
ChIJ0abemqxhUzoRKAfY9ruovDI,TNTJ Gandhinagar Markas,By owner,https://lh5.googleusercontent.com/p/AF1QipMs1vsoBxNvzba3NhLDbYGjbWCRq6ARWw5XF5tn=w224-h298-k-no
ChIJ0abemqxhUzoRKAfY9ruovDI,TNTJ Gandhinagar Markas,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=14zde0FQDoMUpz3gQv5uvQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=12.239871&pitch=0&thumbfov=100
ChIJa8zpIJhhUzoR1tqPWirV0ZY,Masjid Al Noor,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pYCLoGIzl_qCKG-BPF25MQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.45332&pitch=0&thumbfov=100
ChIJa8zpIJhhUzoR1tqPWirV0ZY,Masjid Al Noor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pYCLoGIzl_qCKG-BPF25MQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.45332&pitch=0&thumbfov=100
ChIJJecZo2dgUzoRaVudEApfK5Y,Muhammadiya Pallivasal Mosque,All,https://lh5.googleusercontent.com/p/AF1QipMkkhL9Nuct9KqOzVBnUxNxeD2DIuizqjsufFvx=w529-h298-k-no
ChIJJecZo2dgUzoRaVudEApfK5Y,Muhammadiya Pallivasal Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipPQ8YNdcNVdh1c1JN9aMbLlQm2xKc4PL3TF3mO-=w397-h298-k-no
ChIJJecZo2dgUzoRaVudEApfK5Y,Muhammadiya Pallivasal Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=slAfkcxVW5QwrxPp2MUQbg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=35.75144&pitch=0&thumbfov=100
ChIJk2gH1IFhUzoRT7F5Q6vYWLw,JUMMA MASJID MOHAMMED BHURA MOSQUE,All,https://lh5.googleusercontent.com/p/AF1QipM8Srve00ZBwfo7yQ91Ce68wwY1uLTmupWZpiZt=w224-h298-k-no
ChIJk2gH1IFhUzoRT7F5Q6vYWLw,JUMMA MASJID MOHAMMED BHURA MOSQUE,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E92NR3LFqfQrfiPoN3vjJA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=329.71445&pitch=0&thumbfov=100
ChIJk2gH1IFhUzoRT7F5Q6vYWLw,JUMMA MASJID MOHAMMED BHURA MOSQUE,Videos,https://lh5.googleusercontent.com/p/AF1QipNp_r8df1MGo9Q7EfKnwgr3DiaI_N-J7Ul5dSRr=w224-h398-k-no
ChIJ2-jOyN5hUzoRqfj-AG7lDN8,jannathul firdhouse mosque ariyankuppam,All,https://lh5.googleusercontent.com/p/AF1QipP96mk6E_2Hy14NpuGFOHVcxq-O6G6IXpXkNamv=w396-h298-k-no
ChIJ2-jOyN5hUzoRqfj-AG7lDN8,jannathul firdhouse mosque ariyankuppam,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K9gaUCNxGXQKLwrZfz8iYA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=86.56886&pitch=0&thumbfov=100
ChIJSW4Z8yliUzoRQV1YNx9UpPk,MUVAHIDHIYA MASJID (Jama'ath -e- Ahle Hadees),All,https://lh5.googleusercontent.com/p/AF1QipOUeKn_RezFAAvJfIx7-PcEowTCCaKzRNW8og3d=w480-h298-k-no
ChIJSW4Z8yliUzoRQV1YNx9UpPk,MUVAHIDHIYA MASJID (Jama'ath -e- Ahle Hadees),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6bo0_mOCSCkTWo6wfoomGQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=289.5667&pitch=0&thumbfov=100
ChIJSW4Z8yliUzoRQV1YNx9UpPk,MUVAHIDHIYA MASJID (Jama'ath -e- Ahle Hadees),Videos,https://lh5.googleusercontent.com/p/AF1QipNWFeWU4pCIA6TUdnjVa5cdGc1xCYvsIoo0DaTb=w224-h398-k-no
ChIJKVkdCCpiUzoRJybxBAuDLqs,MeeraPalli,All,https://lh5.googleusercontent.com/p/AF1QipMQd4z2JWrUs8xHb7brNzA3q8WQoPULgcoXgleN=w397-h298-k-no
ChIJKVkdCCpiUzoRJybxBAuDLqs,MeeraPalli,Latest,https://lh5.googleusercontent.com/p/AF1QipNEYl0mAF2Qxf9LfI0w-uXZ3RS_8HpeZlJlkCW5=w224-h298-k-no
ChIJKVkdCCpiUzoRJybxBAuDLqs,MeeraPalli,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eF9ew4rYeadL_fni_HGAvw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=306.12665&pitch=0&thumbfov=100
ChIJzbH-FX5hUzoR2DTCwXtcTbM,Puducherry Mosque,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lg6ZVMA0mUufGEgf8JVo_g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=219.05354&pitch=0&thumbfov=100
ChIJzbH-FX5hUzoR2DTCwXtcTbM,Puducherry Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lg6ZVMA0mUufGEgf8JVo_g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=219.05354&pitch=0&thumbfov=100
ChIJV9bO5eBjUzoR2r5VZSn-31M,Masjid Busthaniya palli vasal,All,https://lh5.googleusercontent.com/p/AF1QipP-trK62Ze9ZeDO0yw9R17uNNK069u_3BWpKRun=w224-h298-k-no
ChIJV9bO5eBjUzoR2r5VZSn-31M,Masjid Busthaniya palli vasal,Dome,https://lh5.googleusercontent.com/p/AF1QipPFy9syVEPdNaoxCN6EeIPWV8_hi6A5ZhBiQOW4=w224-h298-k-no
ChIJV9bO5eBjUzoR2r5VZSn-31M,Masjid Busthaniya palli vasal,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_kISqOblElDTyjKdID-kIQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=293.3213&pitch=0&thumbfov=100
ChIJO3DzSw1hUzoRIMNbEXOBlxo,Masjid and Madarasa,All,https://lh5.googleusercontent.com/p/AF1QipO2aCQd0PS8hugAegAekOSLtOGCM6RNBz5yaRVp=w529-h298-k-no
ChIJO3DzSw1hUzoRIMNbEXOBlxo,Masjid and Madarasa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FhXAvxNUf_Km-0zIZKJCwQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=186.17&pitch=0&thumbfov=100
ChIJyenlkHVhUzoRah6CZvLGf4M,Sultaniyya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN7-5_KTFU9HQyqXkLgiQOWpuXXBUJdyhS7Y9A7=w397-h298-k-no
ChIJyenlkHVhUzoRah6CZvLGf4M,Sultaniyya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8y-BxZe6tyMvwjOpojvvwQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=114.87449&pitch=0&thumbfov=100
ChIJyenlkHVhUzoRah6CZvLGf4M,Sultaniyya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPBpp71VTiFtOod00foj0EEHC0GEDtIdBoERjIl=w224-h497-k-no
ChIJC1ICVYdhUzoRDoHC0dn_m4Y,KuthbaPalli,All,https://lh5.googleusercontent.com/p/AF1QipM-v4rFNtVeax3n_OTlDKmHIat-J7onoLpTkR90=w397-h298-k-no
ChIJC1ICVYdhUzoRDoHC0dn_m4Y,KuthbaPalli,Dome,https://lh5.googleusercontent.com/p/AF1QipN0xbYrgJ1LpNQIam6YEriTvjIl77Zc7vcNf8B-=w397-h298-k-no
