place_id,place_name,about,link
ChIJiwAMOGGGAjoRCLtWbcZmZcs,Parijat Road Mosjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipO9c6duCIYqJSPweX6sJmv7xocBItTQXm2IGWgN=w279-h298-k-no
ChIJiwAMOGGGAjoRCLtWbcZmZcs,Parijat Road Mosjid msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-FaDlNT20lk7jvqFo6kZIw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=242.71762&pitch=0&thumbfov=100
ChIJiwAMOGGGAjoRCLtWbcZmZcs,Parijat Road Mosjid msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipMARH0mNFBgTeZAmyKH71_-WbLSBEI7Xiqm65WM=w529-h298-k-no
ChIJF5nw9n6HAjoRwCohwg-xvGE,Kalipur Jama Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipOf2J53PPxcWdBHhL1FaKMGP_kgylilZ-pAmy7Z=w232-h298-k-no
ChIJF5nw9n6HAjoRwCohwg-xvGE,Kalipur Jama Masjid msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipPV8oU9Ia6mfHhklWdlnvTZSN6JEciCfbewY1B-=w224-h473-k-no
ChIJF5nw9n6HAjoRwCohwg-xvGE,Kalipur Jama Masjid msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yQp9kAF-VgMmIaK59HhtJQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=329.8307&pitch=0&thumbfov=100
ChIJFwSOcYV9AjoR53DHQl9CXdI,Badi Jama Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipO5-SbD4gNxliyOaZw4IRbUyjgUiEWc9LOoiOkX=w224-h298-k-no
ChIJFwSOcYV9AjoR53DHQl9CXdI,Badi Jama Masjid msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipPF7cTiAfDK2_B6hntfozsqfCrI0rjdeYOSewYa=w224-h398-k-no
ChIJWTix45t9AjoRZhJXpVxy6ZA,Benjanheria Mollickpara Matir Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipOnTUkDgTSbN1gKGEKTU6Sf_E-CQk-06VDf2ck=w529-h298-k-no
ChIJWTix45t9AjoRZhJXpVxy6ZA,Benjanheria Mollickpara Matir Masjid msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipM7gnwBwvk9AuSdEpqiyzqKsgoH9gW5kdhsa2k=w224-h398-k-no
ChIJ_-1h0LOHAjoRCqyjRn71LQM,Achipur Jamma Mosjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipMLlJr7Q8sqW1Ra5GupcCzF75whSbHvKJB4KPDh=w224-h298-k-no
ChIJXSf0jIF9AjoROsiijc3ZLPM,Baitus Salam Jame Masjid baay'tush saalaam jaame msjid,All,https://lh5.googleusercontent.com/p/AF1QipMz-bmRPt1Y8zhiRgO0a4rh8eWkbYbZ22jHzPbp=w224-h298-k-no
ChIJXSf0jIF9AjoROsiijc3ZLPM,Baitus Salam Jame Masjid baay'tush saalaam jaame msjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNY3L2SZ3IHMk4seN97fc-VGwU9o-dXc8SOxQ0N=w224-h401-k-no
ChIJNaxkaUSGAjoRBAUGTdWlOVQ,Jagadishpur Bastola Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipPjZ6qhYgyWPTR7ZqVqBN-UC8uL99VL88ky1an0=w397-h298-k-no
ChIJNaxkaUSGAjoRBAUGTdWlOVQ,Jagadishpur Bastola Masjid msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipOvc-86cjenpmL6OCuIjoCkKcfidKdRi6At0s7e=w529-h298-k-no
